parameter,value,MCMCprob
expPragFlip,false,7.890242401893061e-99
alpha,9.8,1.379514142001237e-16
beta,0.825,1.379514142001237e-16
expPragFlip,true,1.379514142001237e-16
alpha,9.8,2.9787183922498264e-98
beta,0.8,2.9787183922498264e-98
expPragFlip,false,2.9787183922498264e-98
alpha,9.8,3.238147033019935e-15
beta,0.8,3.238147033019935e-15
expPragFlip,true,3.238147033019935e-15
alpha,9.8,7.963139983515391e-98
beta,0.775,7.963139983515391e-98
expPragFlip,false,7.963139983515391e-98
alpha,9.8,6.229466224739778e-14
beta,0.775,6.229466224739778e-14
expPragFlip,true,6.229466224739778e-14
alpha,9.8,1.5533087333596527e-97
beta,0.75,1.5533087333596527e-97
expPragFlip,false,1.5533087333596527e-97
alpha,9.8,9.779099534976868e-13
beta,0.75,9.779099534976868e-13
expPragFlip,true,9.779099534976868e-13
alpha,9.8,2.2632599680470132e-97
beta,0.725,2.2632599680470132e-97
expPragFlip,false,2.2632599680470132e-97
alpha,9.8,1.2466996963713482e-11
beta,0.725,1.2466996963713482e-11
expPragFlip,true,1.2466996963713482e-11
alpha,9.8,2.509969453893135e-97
beta,0.7,2.509969453893135e-97
expPragFlip,false,2.509969453893135e-97
alpha,9.8,1.2842530839096296e-10
beta,0.7,1.2842530839096296e-10
expPragFlip,true,1.2842530839096296e-10
alpha,9.8,2.1512239416148922e-97
beta,0.675,2.1512239416148922e-97
expPragFlip,false,2.1512239416148922e-97
alpha,9.8,1.0634820878985534e-9
beta,0.675,1.0634820878985534e-9
expPragFlip,true,1.0634820878985534e-9
alpha,9.8,1.4428464182619782e-97
beta,0.65,1.4428464182619782e-97
expPragFlip,false,1.4428464182619782e-97
alpha,9.8,7.043174999154566e-9
beta,0.65,7.043174999154566e-9
expPragFlip,true,7.043174999154566e-9
alpha,9.8,7.651532350091405e-98
beta,0.625,7.651532350091405e-98
expPragFlip,false,7.651532350091405e-98
alpha,9.8,3.7116730395653524e-8
beta,0.625,3.7116730395653524e-8
expPragFlip,true,3.7116730395653524e-8
alpha,9.8,3.2356184748930665e-98
beta,0.6,3.2356184748930665e-98
expPragFlip,false,3.2356184748930665e-98
alpha,9.8,1.548799228156576e-7
beta,0.6,1.548799228156576e-7
expPragFlip,true,1.548799228156576e-7
alpha,9.8,1.0986680294054239e-98
beta,0.575,1.0986680294054239e-98
expPragFlip,false,1.0986680294054239e-98
alpha,9.8,5.093021704372909e-7
beta,0.575,5.093021704372909e-7
expPragFlip,true,5.093021704372909e-7
alpha,9.8,3.01244850210135e-99
beta,0.55,3.01244850210135e-99
expPragFlip,false,3.01244850210135e-99
alpha,9.8,0.0000013137719757440798
beta,0.55,0.0000013137719757440798
expPragFlip,true,0.0000013137719757440798
alpha,9.8,6.699648333751799e-100
beta,0.525,6.699648333751799e-100
expPragFlip,false,6.699648333751799e-100
alpha,9.8,0.0000026468175533010447
beta,0.525,0.0000026468175533010447
expPragFlip,true,0.0000026468175533010447
alpha,9.8,1.212663380453808e-100
beta,0.5,1.212663380453808e-100
expPragFlip,false,1.212663380453808e-100
alpha,9.8,0.00000414742308801854
beta,0.5,0.00000414742308801854
expPragFlip,true,0.00000414742308801854
alpha,9.8,1.7907621170660888e-101
beta,0.475,1.7907621170660888e-101
expPragFlip,false,1.7907621170660888e-101
alpha,9.8,0.000005034747597415141
beta,0.475,0.000005034747597415141
expPragFlip,true,0.000005034747597415141
alpha,9.8,2.160720531776363e-102
beta,0.45,2.160720531776363e-102
expPragFlip,false,2.160720531776363e-102
alpha,9.8,0.000004717658116266587
beta,0.45,0.000004717658116266587
expPragFlip,true,0.000004717658116266587
alpha,9.8,2.1315159416349275e-103
beta,0.425,2.1315159416349275e-103
expPragFlip,false,2.1315159416349275e-103
alpha,9.8,0.000003400464724033958
beta,0.425,0.000003400464724033958
expPragFlip,true,0.000003400464724033958
alpha,9.8,1.7186530286123075e-104
beta,0.4,1.7186530286123075e-104
expPragFlip,false,1.7186530286123075e-104
alpha,9.8,0.0000018794333706640724
beta,0.4,0.0000018794333706640724
expPragFlip,true,0.0000018794333706640724
alpha,9.8,1.1313111812343001e-105
beta,0.375,1.1313111812343001e-105
expPragFlip,false,1.1313111812343001e-105
alpha,9.8,7.94122347064558e-7
beta,0.375,7.94122347064558e-7
expPragFlip,true,7.94122347064558e-7
alpha,9.8,6.066468034508083e-107
beta,0.35,6.066468034508083e-107
expPragFlip,false,6.066468034508083e-107
alpha,9.8,2.5578056014936833e-7
beta,0.35,2.5578056014936833e-7
expPragFlip,true,2.5578056014936833e-7
alpha,9.8,2.6415368116486265e-108
beta,0.325,2.6415368116486265e-108
expPragFlip,false,2.6415368116486265e-108
alpha,9.8,6.262270879817842e-8
beta,0.325,6.262270879817842e-8
expPragFlip,true,6.262270879817842e-8
alpha,9.8,9.298870856317399e-110
beta,0.3,9.298870856317399e-110
expPragFlip,false,9.298870856317399e-110
alpha,9.8,1.1620357611164555e-8
beta,0.3,1.1620357611164555e-8
expPragFlip,true,1.1620357611164555e-8
alpha,9.8,2.6310366476585937e-111
beta,0.275,2.6310366476585937e-111
expPragFlip,false,2.6310366476585937e-111
alpha,9.8,1.6292824168211538e-9
beta,0.275,1.6292824168211538e-9
expPragFlip,true,1.6292824168211538e-9
alpha,9.8,5.938250693305814e-113
beta,0.25,5.938250693305814e-113
expPragFlip,false,5.938250693305814e-113
alpha,9.8,1.7202848644621802e-10
beta,0.25,1.7202848644621802e-10
expPragFlip,true,1.7202848644621802e-10
alpha,9.8,1.058664134498797e-114
beta,0.225,1.058664134498797e-114
expPragFlip,false,1.058664134498797e-114
alpha,9.8,1.362624213776149e-11
beta,0.225,1.362624213776149e-11
expPragFlip,true,1.362624213776149e-11
alpha,9.8,1.4717373453909255e-116
beta,0.2,1.4717373453909255e-116
expPragFlip,false,1.4717373453909255e-116
alpha,9.8,8.061100882186653e-13
beta,0.2,8.061100882186653e-13
expPragFlip,true,8.061100882186653e-13
alpha,9.8,1.5680827743617994e-118
beta,0.175,1.5680827743617994e-118
expPragFlip,false,1.5680827743617994e-118
alpha,9.8,3.542839079177985e-14
beta,0.175,3.542839079177985e-14
expPragFlip,true,3.542839079177985e-14
alpha,9.8,1.2500654275712344e-120
beta,0.15,1.2500654275712344e-120
expPragFlip,false,1.2500654275712344e-120
alpha,9.8,1.1493321744698717e-15
beta,0.15,1.1493321744698717e-15
expPragFlip,true,1.1493321744698717e-15
alpha,9.8,7.197654194694817e-123
beta,0.125,7.197654194694817e-123
expPragFlip,false,7.197654194694817e-123
alpha,9.8,2.7304346076062467e-17
beta,0.125,2.7304346076062467e-17
expPragFlip,true,2.7304346076062467e-17
alpha,9.8,2.8300503259574283e-125
beta,0.1,2.8300503259574283e-125
expPragFlip,false,2.8300503259574283e-125
alpha,9.8,4.703942072911292e-19
beta,0.1,4.703942072911292e-19
expPragFlip,true,4.703942072911292e-19
alpha,9.8,6.874927552830416e-128
beta,0.075,6.874927552830416e-128
expPragFlip,false,6.874927552830416e-128
alpha,9.8,5.806624081940532e-21
beta,0.075,5.806624081940532e-21
expPragFlip,true,5.806624081940532e-21
alpha,9.8,8.318541593356173e-131
beta,0.05,8.318541593356173e-131
expPragFlip,false,8.318541593356173e-131
alpha,9.8,5.061705072485514e-23
beta,0.05,5.061705072485514e-23
expPragFlip,true,5.061705072485514e-23
alpha,9.8,2.5879501918471077e-134
beta,0.025,2.5879501918471077e-134
