alpha,beta,modelType,logLikelihood,posteriorProb
13.7,0.7,A2_emp,-667.874634455659,-75.72394289486988
13.7,0.6,A2_emp,-659.7195989769153,-67.5689074161262
13.7,0.5,A2_emp,-656.4304689084382,-64.27977734764909
13.7,0.4,A2_emp,-658.054334232828,-65.90364267203881
13.7,0.3,A2_emp,-664.5522252537554,-72.40153369296627
13.7,0.2,A2_emp,-675.9890050544917,-83.83831349370259
13.7,0.1,A2_emp,-692.7387983663409,-100.58810680555167
13.7,0,A2_emp,-715.6450103303889,-123.49431876959966
13.6,1,A2_emp,-715.7788793168726,-123.62818775608345
13.6,0.9,A2_emp,-695.6797424001032,-103.5290508393141
13.6,0.8,A2_emp,-678.9340824878097,-86.78339092702049
13.6,0.7,A2_emp,-666.1740243141853,-74.02333275339606
13.6,0.6,A2_emp,-658.029879981148,-65.87918842035879
13.6,0.5,A2_emp,-654.7200292227824,-62.56933766199314
13.6,0.4,A2_emp,-656.3001328789151,-64.14944131812581
13.6,0.3,A2_emp,-662.741461281584,-70.5907697207947
13.6,0.2,A2_emp,-674.1143479081287,-81.96365634733957
13.6,0.1,A2_emp,-690.7884439616514,-98.63775240086215
13.6,0,A2_emp,-713.6011707772359,-121.45047921644664
13.5,1,A2_emp,-713.8826381607755,-121.73194659998626
13.5,0.9,A2_emp,-693.8649240136451,-101.71423245285587
13.5,0.8,A2_emp,-677.1956136597205,-85.04492209893124
13.5,0.7,A2_emp,-664.4850271268027,-72.33433556601359
13.5,0.6,A2_emp,-656.3523054955638,-64.20161393477451
13.5,0.5,A2_emp,-653.0224421191795,-60.871750558390204
13.5,0.4,A2_emp,-654.5595944002052,-62.40890283941599
13.5,0.3,A2_emp,-660.9450992468983,-68.79440768610903
13.5,0.2,A2_emp,-672.2546475162703,-80.10395595548107
13.5,0.1,A2_emp,-688.8535943191004,-96.70290275831121
13.5,0,A2_emp,-711.5734465490948,-119.42275498830556
13.4,1,A2_emp,-711.9984486714065,-119.84775711061731
13.4,0.9,A2_emp,-692.0620503850832,-99.911358824294
13.4,0.8,A2_emp,-675.4688926907112,-83.31820112992204
13.4,0.7,A2_emp,-662.8079128541979,-70.65722129340861
13.4,0.6,A2_emp,-654.6871643989325,-62.53647283814326
13.4,0.5,A2_emp,-651.3380212761106,-59.18732971532131
13.4,0.4,A2_emp,-652.8330571624172,-60.68236560162791
13.4,0.3,A2_emp,-659.1635007828064,-67.01280922201728
13.4,0.2,A2_emp,-670.4102879983581,-78.25959643756893
13.4,0.1,A2_emp,-686.9346519410593,-94.78396038027017
13.4,0,A2_emp,-709.5622467864494,-117.4115552256601
13.3,1,A2_emp,-710.1265496399284,-117.97585807913924
13.3,0.9,A2_emp,-690.2713745492922,-98.12068298850296
13.3,0.8,A2_emp,-673.7541841449412,-81.60349258415205
13.3,0.7,A2_emp,-661.1429597243211,-68.99226816353189
13.3,0.6,A2_emp,-653.0347544506175,-60.88406288982833
13.3,0.5,A2_emp,-649.6670898699523,-57.51639830916315
13.3,0.4,A2_emp,-651.1208696065496,-58.97017804576035
13.3,0.3,A2_emp,-657.3970380804387,-65.24634651964948
13.3,0.2,A2_emp,-668.5816643828872,-76.43097282209806
13.3,0.1,A2_emp,-685.0320302502444,-92.8813386894551
13.3,0,A2_emp,-707.5679912829357,-115.41729972214648
13.2,1,A2_emp,-708.2671856404278,-116.11649407963864
13.2,0.9,A2_emp,-688.4931563979965,-96.34246483720722
13.2,0.8,A2_emp,-672.0517603958135,-79.90106883502426
13.2,0.7,A2_emp,-659.4904545406703,-67.33976297988102
13.2,0.6,A2_emp,-651.3953826245711,-59.24469106378183
13.2,0.5,A2_emp,-648.0099809227077,-55.8592893619184
13.2,0.4,A2_emp,-649.423390603481,-57.272699042691784
13.2,0.3,A2_emp,-655.6460942416984,-63.49540268090914
13.2,0.2,A2_emp,-666.7691829452358,-74.61849138444654
13.2,0.1,A2_emp,-683.1461539026792,-90.99546234189008
13.2,0,A2_emp,-705.5911107786794,-113.44041921789017
13.1,1,A2_emp,-706.4206072139057,-114.26991565311643
13.1,0.9,A2_emp,-686.7276629121171,-94.57697135132798
13.1,0.8,A2_emp,-670.3619019079875,-78.2112103471984
13.1,0.7,A2_emp,-657.8506930047259,-65.70000144393681
13.1,0.6,A2_emp,-649.7693654585034,-57.61867389771419
13.1,0.5,A2_emp,-646.367037665043,-54.21634610425372
13.1,0.4,A2_emp,-647.7409898233469,-55.59029826255778
13.1,0.3,A2_emp,-653.9110636457328,-61.76037208494358
13.1,0.2,A2_emp,-664.9732615576845,-72.82256999689525
13.1,0.1,A2_emp,-681.2774591115751,-89.12676755078587
13.1,0,A2_emp,-703.632047263908,-111.48135570311888
13,1,A2_emp,-704.5870710619349,-112.43637950114568
13,0.9,A2_emp,-684.9751684053977,-92.8244768446084
13,0.8,A2_emp,-668.6848975326319,-76.53420597184277
13,0.7,A2_emp,-656.2239800533521,-64.07328849256282
13,0.6,A2_emp,-648.1570294190556,-56.006337858266306
13,0.5,A2_emp,-644.738613915436,-52.587922354646714
13,0.4,A2_emp,-646.0740481204293,-53.92335655964007
13,0.3,A2_emp,-652.1923523297683,-60.041660768979
13,0.2,A2_emp,-663.1943300522155,-71.04363849142624
13,0.1,A2_emp,-679.4263939827067,-87.27570242191746
13,0,A2_emp,-701.6912542934233,-109.54056273263406
12.9,1,A2_emp,-702.7668402507384,-110.61614868994911
12.9,0.9,A2_emp,-683.2359547801071,-91.085263219318
12.9,0.8,A2_emp,-667.0210448167538,-74.87035325596457
12.9,0.7,A2_emp,-654.6106302120411,-62.45993865125183
12.9,0.6,A2_emp,-646.5587112838538,-54.408019723064626
12.9,0.5,A2_emp,-643.1250744762805,-50.97438291549133
12.9,0.4,A2_emp,-644.4229579343321,-52.272266373542834
12.9,0.3,A2_emp,-650.4903783850043,-58.33968682421506
12.9,0.2,A2_emp,-661.4328305967198,-69.28213903593064
12.9,0.1,A2_emp,-677.593418861896,-85.44272730110674
12.9,0,A2_emp,-699.7691973125279,-107.61850575173867
12.8,1,A2_emp,-700.9601844265362,-108.80949286574696
12.8,0.9,A2_emp,-681.5103117956907,-89.35962023490151
12.8,0.8,A2_emp,-665.3706503275159,-73.21995876672668
12.8,0.7,A2_emp,-653.0109679649398,-60.86027640415068
12.8,0.6,A2_emp,-644.9747585414045,-52.82406698061527
12.8,0.5,A2_emp,-641.5267955478646,-49.37610398707534
12.8,0.4,A2_emp,-642.7881237082748,-50.6374321474857
12.8,0.3,A2_emp,-648.8055723683057,-56.65488080751652
12.8,0.2,A2_emp,-659.6892180852976,-67.53852652450837
12.8,0.1,A2_emp,-675.779006695285,-83.6283151344958
12.8,0,A2_emp,-697.8663539950942,-105.71566243430493
12.7,1,A2_emp,-699.167380043048,-107.01668848225881
12.7,0.9,A2_emp,-679.7985373513019,-87.64784579051276
12.7,0.8,A2_emp,-663.7340299925069,-71.58333843171773
12.7,0.7,A2_emp,-651.4253281426601,-59.274636581870936
12.7,0.6,A2_emp,-643.4055298098199,-51.25483824903063
12.7,0.5,A2_emp,-639.944165161173,-47.793473600383784
12.7,0.4,A2_emp,-641.1699623253812,-49.019270764591965
12.7,0.3,A2_emp,-647.1383777304767,-54.98768616968755
12.7,0.2,A2_emp,-657.9639605433686,-65.81326898257932
12.7,0.1,A2_emp,-673.9836434031145,-81.8329518423252
12.7,0,A2_emp,-695.983214594471,-103.83252303368181
12.6,1,A2_emp,-697.3887106021551,-105.23801904136599
12.6,0.9,A2_emp,-678.1009377832379,-85.95024622244864
12.6,0.8,A2_emp,-662.1115094570278,-69.9608178962385
12.6,0.7,A2_emp,-649.8540563289575,-57.703364768168285
12.6,0.6,A2_emp,-641.851395275466,-49.70070371467682
12.6,0.5,A2_emp,-638.3775836305606,-46.22689206977134
12.6,0.4,A2_emp,-639.5689035639052,-47.41821200311597
12.6,0.3,A2_emp,-645.4892512619632,-53.33855970117406
12.6,0.2,A2_emp,-656.2575395483859,-64.10684798759667
12.6,0.1,A2_emp,-672.207828267796,-80.05713670700676
12.6,0,A2_emp,-694.1202823080275,-101.96959074723827
12.5,1,A2_emp,-695.6244669087845,-103.47377534799534
12.5,0.9,A2_emp,-676.4178281783833,-84.26713661759413
12.5,0.8,A2_emp,-660.503424459518,-68.35273289872885
12.5,0.7,A2_emp,-648.2975092874283,-56.14681772663903
12.5,0.6,A2_emp,-640.3127371526657,-48.16204559187645
12.5,0.5,A2_emp,-636.827464027363,-44.67677246657377
12.5,0.4,A2_emp,-637.9853905723767,-45.83469901158742
12.5,0.3,A2_emp,-643.858663556869,-51.70797199607978
12.5,0.2,A2_emp,-654.5704506669848,-62.41975910619568
12.5,0.1,A2_emp,-670.4520743371149,-78.30138277632568
12.5,0,A2_emp,-692.2780736561496,-100.12738209536043
12.4,1,A2_emp,-693.8749473411916,-101.72425578040249
12.4,0.9,A2_emp,-674.7495327048616,-82.59884114407238
12.4,0.8,A2_emp,-658.9101212263571,-66.75942966556795
12.4,0.7,A2_emp,-646.7560554094678,-54.60536384867851
12.4,0.6,A2_emp,-638.7899501656916,-46.63925860490235
12.4,0.5,A2_emp,-635.2942326756335,-43.14354111484431
12.4,0.4,A2_emp,-636.4198803657429,-44.26918880495373
12.4,0.3,A2_emp,-642.2470994962546,-50.09640793546533
12.4,0.2,A2_emp,-652.9032039094742,-60.75251234868506
12.4,0.1,A2_emp,-668.7169088434898,-76.56621728270056
12.4,0,A2_emp,-690.4571188766146,-98.30642731582543
12.3,1,A2_emp,-692.1404581379265,-99.9897665771373
12.3,0.9,A2_emp,-673.0963849612069,-80.94569340041768
12.3,0.8,A2_emp,-657.3319568873678,-65.18126532657857
12.3,0.7,A2_emp,-645.2300751848342,-53.07938362404502
12.3,0.6,A2_emp,-637.2834420543692,-45.13275049358003
12.3,0.5,A2_emp,-633.7783296712452,-41.62763811045602
12.3,0.4,A2_emp,-634.8728443436443,-42.72215278285512
12.3,0.3,A2_emp,-640.6550587517542,-48.50436719096501
12.3,0.2,A2_emp,-651.2563242026714,-59.10563264188227
12.3,0.1,A2_emp,-667.0028736402824,-74.8521820794931
12.3,0,A2_emp,-688.6579623353346,-96.5072707745453
12.2,1,A2_emp,-690.4213137028601,-98.2706221420708
12.2,0.9,A2_emp,-671.4587283454631,-79.30803678467396
12.2,0.8,A2_emp,-655.7692999134418,-63.6186083526527
12.2,0.7,A2_emp,-643.719961696239,-51.56927013544987
12.2,0.6,A2_emp,-635.7936341046733,-43.642942543884146
12.2,0.5,A2_emp,-632.2802094256767,-40.129517864887475
12.2,0.4,A2_emp,-633.3447688320218,-41.19407727123257
12.2,0.3,A2_emp,-639.0830563106007,-46.93236474981155
12.2,0.2,A2_emp,-649.6303518821089,-57.47966032131967
12.2,0.1,A2_emp,-665.3105256562256,-73.15983409543651
12.2,0,A2_emp,-686.8811629545128,-94.73047139372352
12.1,1,A2_emp,-688.7178369298026,-96.56714536901336
12.1,0.9,A2_emp,-669.836916445757,-77.68622488496771
12.1,0.8,A2_emp,-654.2225305778503,-62.071839017061166
12.1,0.7,A2_emp,-642.2261211395156,-50.07542957872648
12.1,0.6,A2_emp,-634.3209617058457,-42.17027014505653
12.1,0.5,A2_emp,-630.8003412359157,-38.64964967512652
12.1,0.4,A2_emp,-631.8361556493679,-39.68546408857878
12.1,0.3,A2_emp,-637.5316230232656,-45.38093146247638
12.1,0.2,A2_emp,-648.0258432047862,-55.87515164399702
12.1,0.1,A2_emp,-663.6404373691529,-71.48974580836375
12.1,0,A2_emp,-685.1272946593994,-92.97660309861021
12,1,A2_emp,-687.0303595483658,-94.87966798757657
12,0.9,A2_emp,-668.2313134540232,-76.08062189323391
12,0.8,A2_emp,-652.6920414429093,-60.54134988212014
12,0.7,A2_emp,-640.748973371029,-48.598281810239776
12,0.6,A2_emp,-632.8658749356347,-40.71518337484554
12,0.5,A2_emp,-629.3392098819952,-37.18851832120595
12,0.4,A2_emp,-630.347522699018,-38.196831138228845
12,0.3,A2_emp,-636.0013061749845,-43.850614614195365
12,0.2,A2_emp,-646.4433708837053,-54.292679322916
12,0.1,A2_emp,-661.9931973002972,-69.84250573950796
12,0,A2_emp,-683.3969468448934,-91.24625528410411
11.9,1,A2_emp,-685.3592224928693,-93.20853093208007
11.9,0.9,A2_emp,-666.6422946046912,-74.49160304390193
11.9,0.8,A2_emp,-651.1782378738122,-59.027546313023095
11.9,0.7,A2_emp,-639.2889524841094,-47.13826092332011
11.9,0.6,A2_emp,-631.4288391753906,-39.278147614601494
11.9,0.5,A2_emp,-627.8973162537916,-35.74662469300233
11.9,0.4,A2_emp,-628.8794045889584,-36.728713028169295
11.9,0.3,A2_emp,-634.4926700825561,-42.341978521766805
11.9,0.2,A2_emp,-644.8835246455374,-52.73283308474811
11.9,0.1,A2_emp,-660.369410530539,-68.21871896974972
11.9,0,A2_emp,-681.6907248633571,-89.54003330256796
11.8,1,A2_emp,-683.7047762962686,-91.55408473547936
11.8,0.9,A2_emp,-665.0702466403302,-72.91955507954094
11.8,0.8,A2_emp,-649.6815385816082,-57.53084702081901
11.8,0.7,A2_emp,-637.8465074164526,-45.69581585566334
11.8,0.6,A2_emp,-630.0103357568812,-37.859644196091956
11.8,0.5,A2_emp,-626.4751780088397,-34.3244864480505
11.8,0.4,A2_emp,-627.4323532807871,-35.281661719997835
11.8,0.3,A2_emp,-633.006296717916,-40.855605157126774
11.8,0.2,A2_emp,-643.3469118129027,-51.19622025211356
11.8,0.1,A2_emp,-658.7696992401275,-66.61900767933821
11.8,0,A2_emp,-680.0092505351483,-87.85855897435908
11.7,1,A2_emp,-682.0673815112468,-89.91668995045757
11.7,0.9,A2_emp,-663.5155683063933,-71.36487674560408
11.7,0.8,A2_emp,-648.2023761974316,-56.051684636642456
11.7,0.7,A2_emp,-636.4221025905495,-44.2714110297602
11.7,0.6,A2_emp,-628.610862642815,-36.460171082025916
11.7,0.5,A2_emp,-625.0733302630279,-32.9226387022386
11.7,0.4,A2_emp,-626.0069387695233,-33.8562472087342
11.7,0.3,A2_emp,-631.5427863600872,-39.39209479929809
11.7,0.2,A2_emp,-641.8341579128493,-49.68346635206013
11.7,0.1,A2_emp,-657.1947032734963,-65.04401171270706
11.7,0,A2_emp,-678.3531626834715,-86.20247112268225
11.6,1,A2_emp,-680.4474091608175,-88.29671760002839
11.6,0.9,A2_emp,-661.9786708774141,-69.8279793166248
11.6,0.8,A2_emp,-646.7411978803219,-54.59050631953278
11.6,0.7,A2_emp,-635.0162185894137,-42.865527028624456
11.6,0.6,A2_emp,-627.230935143239,-35.08024358244984
11.6,0.5,A2_emp,-623.6923263162093,-31.54163475542009
11.6,0.4,A2_emp,-624.6037497961695,-32.45305823538024
11.6,0.3,A2_emp,-630.1027582772862,-37.95206671649703
11.6,0.2,A2_emp,-640.3459073132965,-48.19521575250724
11.6,0.1,A2_emp,-655.6450807309897,-63.49438917020052
11.6,0,A2_emp,-676.7231176953389,-84.57242613454969
11.5,1,A2_emp,-678.8452412210006,-86.69454966021136
11.5,0.9,A2_emp,-660.459978717209,-68.30928715641971
11.5,0.8,A2_emp,-645.2984659611152,-53.14777440032594
11.5,0.7,A2_emp,-633.6293528700189,-41.478661309229665
11.5,0.6,A2_emp,-625.8710866701132,-33.720395109324045
11.5,0.5,A2_emp,-622.3327384148904,-30.182046854101145
11.5,0.4,A2_emp,-623.2233945950063,-31.072703034217056
11.5,0.3,A2_emp,-628.686851441077,-36.53615988028787
11.5,0.2,A2_emp,-638.8828238893366,-46.73213232854732
11.5,0.1,A2_emp,-654.1215085894424,-61.9708170286533
11.5,0,A2_emp,-675.1197901105514,-82.9690985497623
11.4,1,A2_emp,-677.2612711383551,-85.11057957756589
11.4,0.9,A2_emp,-658.9599298758592,-66.80923831506995
11.4,0.8,A2_emp,-643.8746586251327,-51.723967064343476
11.4,0.7,A2_emp,-632.2620205170758,-40.11132895628657
11.4,0.6,A2_emp,-624.5318695325658,-32.38117797177665
11.4,0.5,A2_emp,-620.9951585543365,-28.844466993547258
11.4,0.4,A2_emp,-621.8665016778251,-29.715810117035975
11.4,0.3,A2_emp,-627.2957252746476,-35.14503371385831
11.4,0.2,A2_emp,-637.4455917214761,-45.29490016068689
11.4,0.1,A2_emp,-652.6246833537566,-60.473991792967354
11.4,0,A2_emp,-673.5438732408095,-81.39318168002023
11.3,1,A2_emp,-675.6959043854315,-83.54521282464225
11.3,0.9,A2_emp,-657.47897672651,-65.32828516572091
11.3,0.8,A2_emp,-642.4702706366236,-50.319579075834326
11.3,0.7,A2_emp,-630.9147550399881,-38.76406347919897
11.3,0.6,A2_emp,-623.2138557755218,-31.063164214732524
11.3,0.5,A2_emp,-619.680199322636,-27.529507761846848
11.3,0.4,A2_emp,-620.5337206574474,-28.383029096658223
11.3,0.3,A2_emp,-625.9300604374849,-33.7793688766958
11.3,0.2,A2_emp,-636.0349158281107,-43.88422426732155
11.3,0.1,A2_emp,-651.1553217418174,-59.00463018102823
11.3,0,A2_emp,-671.9960798212601,-79.84538826047083
11.2,1,A2_emp,-674.1495590574644,-81.9988674966753
11.2,0.9,A2_emp,-656.017586645281,-63.866895084491716
11.2,0.8,A2_emp,-641.0858141081588,-48.9351225473697
11.2,0.7,A2_emp,-629.5881092160614,-37.43741765527216
11.2,0.6,A2_emp,-621.9176380646186,-29.76694650382933
11.2,0.5,A2_emp,-618.3884947894378,-26.237803228648545
11.2,0.4,A2_emp,-619.2257231130927,-27.07503155230347
11.2,0.3,A2_emp,-624.5905596489004,-32.439868088111105
11.2,0.2,A2_emp,-634.6515229347132,-42.50083137392403
11.2,0.1,A2_emp,-649.714161405307,-57.56346984451784
11.2,0,A2_emp,-670.4771426969802,-78.32645113619105
11.1,1,A2_emp,-672.6226665139488,-80.47197495315959
11.1,0.9,A2_emp,-654.5762427378875,-62.42555117709822
11.1,0.8,A2_emp,-639.7218193184634,-47.571127757674276
11.1,0.7,A2_emp,-628.2826559832939,-36.13196442250478
11.1,0.6,A2_emp,-620.6438306205511,-28.493139059761916
11.1,0.5,A2_emp,-617.12070144233,-24.97000988154082
11.1,0.4,A2_emp,-617.9432035003871,-25.792511939597944
11.1,0.3,A2_emp,-623.2779485531145,-31.12725699232533
11.1,0.2,A2_emp,-633.2961622824866,-41.14547072169739
11.1,0.1,A2_emp,-648.3019616892153,-56.15127012842618
11.1,0,A2_emp,-668.9878155471524,-76.83712398636317
11,1,A2_emp,-671.1156720690781,-78.96498050828883
11,0.9,A2_emp,-653.1554446168954,-61.00475305610622
11,0.8,A2_emp,-638.37883558248,-46.228144021690696
11,0.7,A2_emp,-626.9989893863649,-34.84829782557563
11,0.6,A2_emp,-619.3930702062636,-27.24237864547445
11,0.5,A2_emp,-615.877499174061,-23.72680761327183
11,0.4,A2_emp,-616.6868801090357,-24.5361885482464
11,0.3,A2_emp,-621.9929766288554,-29.842285068066303
11,0.2,A2_emp,-631.9696064794836,-39.818914918694425
11,0.1,A2_emp,-646.9195044331375,-54.76881287234824
11,0,A2_emp,-667.5288736499501,-75.37818208916087
10.9,1,A2_emp,-669.629035735384,-77.4783441745949
10.9,0.9,A2_emp,-651.7557092338891,-59.605017673099844
10.9,0.8,A2_emp,-637.0574321777835,-44.90674061699429
10.9,0.7,A2_emp,-625.7377255797348,-33.58703401894559
10.9,0.6,A2_emp,-618.1660171706724,-26.01532560988312
