parameter,value,MCMCprob
beta,0.9,-Infinity
modelType,pragmatic,-Infinity
alpha,19.8,-329.76854231025123
beta,0.9,-329.76854231025123
modelType,explicit,-329.76854231025123
alpha,19.8,-Infinity
beta,0.9,-Infinity
modelType,literal,-Infinity
alpha,19.8,-677.8507195231482
beta,0.8,-677.8507195231482
modelType,pragmatic,-677.8507195231482
alpha,19.8,-273.7034634891416
beta,0.8,-273.7034634891416
modelType,explicit,-273.7034634891416
alpha,19.8,-Infinity
beta,0.8,-Infinity
modelType,literal,-Infinity
alpha,19.8,-597.2829421142728
beta,0.7,-597.2829421142728
modelType,pragmatic,-597.2829421142728
alpha,19.8,-225.95855578199104
beta,0.7,-225.95855578199104
modelType,explicit,-225.95855578199104
alpha,19.8,-Infinity
beta,0.7,-Infinity
modelType,literal,-Infinity
alpha,19.8,-616.1499913510377
beta,0.6,-616.1499913510377
modelType,pragmatic,-616.1499913510377
alpha,19.8,-184.64478468991157
beta,0.6,-184.64478468991157
modelType,explicit,-184.64478468991157
alpha,19.8,-Infinity
beta,0.6,-Infinity
modelType,literal,-Infinity
alpha,19.8,-642.8779705435943
beta,0.5,-642.8779705435943
modelType,pragmatic,-642.8779705435943
alpha,19.8,-148.71083888993564
beta,0.5,-148.71083888993564
modelType,explicit,-148.71083888993564
alpha,19.8,-Infinity
beta,0.5,-Infinity
modelType,literal,-Infinity
alpha,19.8,-707.0778779440709
beta,0.4,-707.0778779440709
modelType,pragmatic,-707.0778779440709
alpha,19.8,-117.76732079416848
beta,0.4,-117.76732079416848
modelType,explicit,-117.76732079416848
alpha,19.8,-Infinity
beta,0.4,-Infinity
modelType,literal,-Infinity
alpha,19.8,-Infinity
beta,0.3,-Infinity
modelType,pragmatic,-Infinity
alpha,19.8,-92.25110896452107
beta,0.3,-92.25110896452107
modelType,explicit,-92.25110896452107
alpha,19.8,-Infinity
beta,0.3,-Infinity
modelType,literal,-Infinity
alpha,19.8,-Infinity
beta,0.2,-Infinity
modelType,pragmatic,-Infinity
alpha,19.8,-74.18729123155998
beta,0.2,-74.18729123155998
modelType,explicit,-74.18729123155998
alpha,19.8,-Infinity
beta,0.2,-Infinity
modelType,literal,-Infinity
alpha,19.8,-Infinity
beta,0.1,-Infinity
modelType,pragmatic,-Infinity
alpha,19.8,-68.7754785673323
beta,0.1,-68.7754785673323
modelType,explicit,-68.7754785673323
alpha,19.8,-Infinity
beta,0.1,-Infinity
modelType,literal,-Infinity
alpha,19.8,-Infinity
beta,0,-Infinity
modelType,pragmatic,-Infinity
alpha,19.8,-85.08968865221306
beta,0,-85.08968865221306
modelType,explicit,-85.08968865221306
alpha,19.8,-Infinity
beta,0,-Infinity
modelType,literal,-Infinity
alpha,19.7,-Infinity
beta,1,-Infinity
modelType,pragmatic,-Infinity
alpha,19.7,-394.2716308770093
beta,1,-394.2716308770093
modelType,explicit,-394.2716308770093
alpha,19.7,-Infinity
beta,1,-Infinity
modelType,literal,-Infinity
alpha,19.7,-Infinity
beta,0.9,-Infinity
modelType,pragmatic,-Infinity
alpha,19.7,-327.5810539424663
beta,0.9,-327.5810539424663
modelType,explicit,-327.5810539424663
alpha,19.7,-Infinity
beta,0.9,-Infinity
modelType,literal,-Infinity
alpha,19.7,-671.0042797560918
beta,0.8,-671.0042797560918
modelType,pragmatic,-671.0042797560918
alpha,19.7,-271.7397991821401
beta,0.8,-271.7397991821401
modelType,explicit,-271.7397991821401
alpha,19.7,-Infinity
beta,0.8,-Infinity
modelType,literal,-Infinity
alpha,19.7,-591.4625460968385
beta,0.7,-591.4625460968385
modelType,pragmatic,-591.4625460968385
alpha,19.7,-224.18330234045385
beta,0.7,-224.18330234045385
modelType,explicit,-224.18330234045385
alpha,19.7,-Infinity
beta,0.7,-Infinity
modelType,literal,-Infinity
alpha,19.7,-610.4725616783849
beta,0.6,-610.4725616783849
modelType,pragmatic,-610.4725616783849
alpha,19.7,-183.03831206335238
beta,0.6,-183.03831206335238
modelType,explicit,-183.03831206335238
alpha,19.7,-Infinity
beta,0.6,-Infinity
modelType,literal,-Infinity
alpha,19.7,-637.1083901681402
beta,0.5,-637.1083901681402
modelType,pragmatic,-637.1083901681402
alpha,19.7,-147.2605778725616
beta,0.5,-147.2605778725616
modelType,explicit,-147.2605778725616
alpha,19.7,-Infinity
beta,0.5,-Infinity
modelType,literal,-Infinity
alpha,19.7,-700.5892660368181
beta,0.4,-700.5892660368181
modelType,pragmatic,-700.5892660368181
alpha,19.7,-116.46656336789579
beta,0.4,-116.46656336789579
modelType,explicit,-116.46656336789579
alpha,19.7,-Infinity
beta,0.4,-Infinity
modelType,literal,-Infinity
alpha,19.7,-Infinity
beta,0.3,-Infinity
modelType,pragmatic,-Infinity
alpha,19.7,-91.09920941757025
beta,0.3,-91.09920941757025
modelType,explicit,-91.09920941757025
alpha,19.7,-Infinity
beta,0.3,-Infinity
modelType,literal,-Infinity
alpha,19.7,-Infinity
beta,0.2,-Infinity
modelType,pragmatic,-Infinity
alpha,19.7,-73.18452155019412
beta,0.2,-73.18452155019412
modelType,explicit,-73.18452155019412
alpha,19.7,-Infinity
beta,0.2,-Infinity
modelType,literal,-Infinity
alpha,19.7,-Infinity
beta,0.1,-Infinity
modelType,pragmatic,-Infinity
alpha,19.7,-67.8921861374658
beta,0.1,-67.8921861374658
modelType,explicit,-67.8921861374658
alpha,19.7,-Infinity
beta,0.1,-Infinity
modelType,literal,-Infinity
alpha,19.7,-Infinity
beta,0,-Infinity
modelType,pragmatic,-Infinity
alpha,19.7,-84.19331532624302
beta,0,-84.19331532624302
modelType,explicit,-84.19331532624302
alpha,19.7,-Infinity
beta,0,-Infinity
modelType,literal,-Infinity
alpha,19.6,-Infinity
beta,1,-Infinity
modelType,pragmatic,-Infinity
alpha,19.6,-391.7964208107076
beta,1,-391.7964208107076
modelType,explicit,-391.7964208107076
alpha,19.6,-Infinity
beta,1,-Infinity
modelType,literal,-Infinity
alpha,19.6,-Infinity
beta,0.9,-Infinity
modelType,pragmatic,-Infinity
alpha,19.6,-325.3983106530212
beta,0.9,-325.3983106530212
modelType,explicit,-325.3983106530212
alpha,19.6,-Infinity
beta,0.9,-Infinity
modelType,literal,-Infinity
alpha,19.6,-664.1770348007345
beta,0.8,-664.1770348007345
modelType,pragmatic,-664.1770348007345
alpha,19.6,-269.7809617086685
beta,0.8,-269.7809617086685
modelType,explicit,-269.7809617086685
alpha,19.6,-Infinity
beta,0.8,-Infinity
modelType,literal,-Infinity
alpha,19.6,-585.6603850479814
beta,0.7,-585.6603850479814
modelType,pragmatic,-585.6603850479814
alpha,19.6,-222.41279908728956
beta,0.7,-222.41279908728956
modelType,explicit,-222.41279908728956
alpha,19.6,-Infinity
beta,0.7,-Infinity
modelType,literal,-Infinity
alpha,19.6,-604.8018317011819
beta,0.6,-604.8018317011819
modelType,pragmatic,-604.8018317011819
alpha,19.6,-181.43644839469331
beta,0.6,-181.43644839469331
modelType,explicit,-181.43644839469331
alpha,19.6,-Infinity
beta,0.6,-Infinity
modelType,literal,-Infinity
alpha,19.6,-631.3440865397683
beta,0.5,-631.3440865397683
modelType,pragmatic,-631.3440865397683
alpha,19.6,-145.8148099256776
beta,0.5,-145.8148099256776
modelType,explicit,-145.8148099256776
alpha,19.6,-Infinity
beta,0.5,-Infinity
modelType,literal,-Infinity
alpha,19.6,-694.1081372580986
beta,0.4,-694.1081372580986
modelType,pragmatic,-694.1081372580986
alpha,19.6,-115.1702538598056
beta,0.4,-115.1702538598056
modelType,explicit,-115.1702538598056
alpha,19.6,-Infinity
beta,0.4,-Infinity
modelType,literal,-Infinity
alpha,19.6,-Infinity
beta,0.3,-Infinity
modelType,pragmatic,-Infinity
alpha,19.6,-89.95177771964029
beta,0.3,-89.95177771964029
modelType,explicit,-89.95177771964029
alpha,19.6,-Infinity
beta,0.3,-Infinity
modelType,literal,-Infinity
alpha,19.6,-Infinity
beta,0.2,-Infinity
modelType,pragmatic,-Infinity
alpha,19.6,-72.18616686394512
beta,0.2,-72.18616686394512
modelType,explicit,-72.18616686394512
alpha,19.6,-Infinity
beta,0.2,-Infinity
modelType,literal,-Infinity
alpha,19.6,-Infinity
beta,0.1,-Infinity
modelType,pragmatic,-Infinity
alpha,19.6,-67.01293316812361
beta,0.1,-67.01293316812361
modelType,explicit,-67.01293316812361
alpha,19.6,-Infinity
beta,0.1,-Infinity
modelType,literal,-Infinity
alpha,19.6,-Infinity
beta,0,-Infinity
modelType,pragmatic,-Infinity
alpha,19.6,-83.30073137427382
beta,0,-83.30073137427382
modelType,explicit,-83.30073137427382
alpha,19.6,-Infinity
beta,0,-Infinity
modelType,literal,-Infinity
alpha,19.5,-Infinity
beta,1,-Infinity
modelType,pragmatic,-Infinity
alpha,19.5,-389.3259303115846
beta,1,-389.3259303115846
modelType,explicit,-389.3259303115846
alpha,19.5,-Infinity
beta,1,-Infinity
modelType,literal,-Infinity
alpha,19.5,-Infinity
beta,0.9,-Infinity
modelType,pragmatic,-Infinity
alpha,19.5,-323.220379349372
beta,0.9,-323.220379349372
modelType,explicit,-323.220379349372
alpha,19.5,-Infinity
beta,0.9,-Infinity
modelType,literal,-Infinity
alpha,19.5,-657.3692080446785
beta,0.8,-657.3692080446785
modelType,pragmatic,-657.3692080446785
alpha,19.5,-267.82702105903337
beta,0.8,-267.82702105903337
modelType,explicit,-267.82702105903337
alpha,19.5,-Infinity
beta,0.8,-Infinity
modelType,literal,-Infinity
alpha,19.5,-579.8764643929451
beta,0.7,-579.8764643929451
modelType,pragmatic,-579.8764643929451
alpha,19.5,-220.64711958602567
beta,0.7,-220.64711958602567
modelType,explicit,-220.64711958602567
alpha,19.5,-Infinity
beta,0.7,-Infinity
modelType,literal,-Infinity
alpha,19.5,-599.1378597487219
beta,0.6,-599.1378597487219
modelType,pragmatic,-599.1378597487219
alpha,19.5,-179.83927009216433
beta,0.6,-179.83927009216433
modelType,explicit,-179.83927009216433
alpha,19.5,-Infinity
beta,0.6,-Infinity
modelType,literal,-Infinity
alpha,19.5,-625.5850634018939
beta,0.5,-625.5850634018939
modelType,pragmatic,-625.5850634018939
alpha,19.5,-144.37361404880482
beta,0.5,-144.37361404880482
modelType,explicit,-144.37361404880482
alpha,19.5,-Infinity
beta,0.5,-Infinity
modelType,literal,-Infinity
alpha,19.5,-687.6345771408037
beta,0.4,-687.6345771408037
modelType,pragmatic,-687.6345771408037
alpha,19.5,-113.87847396612256
beta,0.4,-113.87847396612256
modelType,explicit,-113.87847396612256
alpha,19.5,-Infinity
beta,0.4,-Infinity
modelType,literal,-Infinity
alpha,19.5,-Infinity
beta,0.3,-Infinity
modelType,pragmatic,-Infinity
alpha,19.5,-88.80889747354463
beta,0.3,-88.80889747354463
modelType,explicit,-88.80889747354463
alpha,19.5,-Infinity
beta,0.3,-Infinity
modelType,literal,-Infinity
alpha,19.5,-Infinity
beta,0.2,-Infinity
modelType,pragmatic,-Infinity
alpha,19.5,-71.19230987122887
beta,0.2,-71.19230987122887
modelType,explicit,-71.19230987122887
alpha,19.5,-Infinity
beta,0.2,-Infinity
modelType,literal,-Infinity
alpha,19.5,-Infinity
beta,0.1,-Infinity
modelType,pragmatic,-Infinity
alpha,19.5,-66.1378003934438
beta,0.1,-66.1378003934438
modelType,explicit,-66.1378003934438
alpha,19.5,-Infinity
beta,0.1,-Infinity
modelType,literal,-Infinity
alpha,19.5,-Infinity
beta,0,-Infinity
modelType,pragmatic,-Infinity
alpha,19.5,-82.41201998600974
beta,0,-82.41201998600974
modelType,explicit,-82.41201998600974
alpha,19.5,-Infinity
beta,0,-Infinity
modelType,literal,-Infinity
alpha,19.4,-Infinity
beta,1,-Infinity
modelType,pragmatic,-Infinity
alpha,19.4,-386.8602265946434
beta,1,-386.8602265946434
modelType,explicit,-386.8602265946434
alpha,19.4,-Infinity
beta,1,-Infinity
modelType,literal,-Infinity
alpha,19.4,-Infinity
beta,0.9,-Infinity
modelType,pragmatic,-Infinity
alpha,19.4,-321.0473282433921
beta,0.9,-321.0473282433921
modelType,explicit,-321.0473282433921
alpha,19.4,-Infinity
beta,0.9,-Infinity
modelType,literal,-Infinity
alpha,19.4,-650.5810246510681
beta,0.8,-650.5810246510681
modelType,pragmatic,-650.5810246510681
alpha,19.4,-265.87804860143905
beta,0.8,-265.87804860143905
modelType,explicit,-265.87804860143905
alpha,19.4,-Infinity
beta,0.8,-Infinity
modelType,literal,-Infinity
alpha,19.4,-574.1107863670436
beta,0.7,-574.1107863670436
modelType,pragmatic,-574.1107863670436
alpha,19.4,-218.88633889005308
beta,0.7,-218.88633889005308
modelType,explicit,-218.88633889005308
alpha,19.4,-Infinity
beta,0.7,-Infinity
modelType,literal,-Infinity
alpha,19.4,-593.4807056175354
beta,0.6,-593.4807056175354
modelType,pragmatic,-593.4807056175354
alpha,19.4,-178.24685518310667
beta,0.6,-178.24685518310667
modelType,explicit,-178.24685518310667
alpha,19.4,-Infinity
beta,0.6,-Infinity
modelType,literal,-Infinity
alpha,19.4,-619.8313260591779
beta,0.5,-619.8313260591779
modelType,pragmatic,-619.8313260591779
alpha,19.4,-142.93707099433936
beta,0.5,-142.93707099433936
modelType,explicit,-142.93707099433936
alpha,19.4,-Infinity
beta,0.5,-Infinity
modelType,literal,-Infinity
alpha,19.4,-681.1686736810593
beta,0.4,-681.1686736810593
modelType,pragmatic,-681.1686736810593
alpha,19.4,-112.59130725795013
beta,0.4,-112.59130725795013
modelType,explicit,-112.59130725795013
alpha,19.4,-Infinity
beta,0.4,-Infinity
modelType,literal,-Infinity
alpha,19.4,-Infinity
beta,0.3,-Infinity
modelType,pragmatic,-Infinity
alpha,19.4,-87.67065423643032
beta,0.3,-87.67065423643032
modelType,explicit,-87.67065423643032
alpha,19.4,-Infinity
beta,0.3,-Infinity
modelType,literal,-Infinity
alpha,19.4,-Infinity
beta,0.2,-Infinity
modelType,pragmatic,-Infinity
alpha,19.4,-70.20303525575622
beta,0.2,-70.20303525575622
modelType,explicit,-70.20303525575622
alpha,19.4,-Infinity
beta,0.2,-Infinity
modelType,literal,-Infinity
alpha,19.4,-Infinity
beta,0.1,-Infinity
modelType,pragmatic,-Infinity
alpha,19.4,-65.26687058981287
beta,0.1,-65.26687058981287
modelType,explicit,-65.26687058981287
alpha,19.4,-Infinity
beta,0.1,-Infinity
modelType,literal,-Infinity
alpha,19.4,-Infinity
beta,0,-Infinity
modelType,pragmatic,-Infinity
alpha,19.4,-81.52726644992367
beta,0,-81.52726644992367
modelType,explicit,-81.52726644992367
alpha,19.4,-Infinity
beta,0,-Infinity
modelType,literal,-Infinity
alpha,19.3,-Infinity
beta,1,-Infinity
modelType,pragmatic,-Infinity
alpha,19.3,-384.3993781596498
beta,1,-384.3993781596498
modelType,explicit,-384.3993781596498
alpha,19.3,-Infinity
beta,1,-Infinity
modelType,literal,-Infinity
alpha,19.3,-Infinity
beta,0.9,-Infinity
modelType,pragmatic,-Infinity
alpha,19.3,-318.87922688267764
beta,0.9,-318.87922688267764
modelType,explicit,-318.87922688267764
alpha,19.3,-Infinity
beta,0.9,-Infinity
modelType,literal,-Infinity
alpha,19.3,-643.8127115166785
beta,0.8,-643.8127115166785
modelType,pragmatic,-643.8127115166785
alpha,19.3,-263.934117115603
beta,0.8,-263.934117115603
modelType,explicit,-263.934117115603
alpha,19.3,-Infinity
beta,0.8,-Infinity
modelType,literal,-Infinity
alpha,19.3,-568.363350108441
beta,0.7,-568.363350108441
modelType,pragmatic,-568.363350108441
alpha,19.3,-217.13053357947408
beta,0.7,-217.13053357947408
modelType,explicit,-217.13053357947408
alpha,19.3,-Infinity
beta,0.7,-Infinity
modelType,literal,-Infinity
alpha,19.3,-587.8304306403693
beta,0.6,-587.8304306403693
modelType,pragmatic,-587.8304306403693
alpha,19.3,-176.65928335480726
beta,0.6,-176.65928335480726
modelType,explicit,-176.65928335480726
alpha,19.3,-Infinity
beta,0.6,-Infinity
modelType,literal,-Infinity
alpha,19.3,-614.0828814516284
beta,0.5,-614.0828814516284
modelType,pragmatic,-614.0828814516284
alpha,19.3,-141.50526331247914
beta,0.5,-141.50526331247914
modelType,explicit,-141.50526331247914
alpha,19.3,-Infinity
beta,0.5,-Infinity
modelType,literal,-Infinity
alpha,19.3,-674.7105173528325
beta,0.4,-674.7105173528325
modelType,pragmatic,-674.7105173528325
alpha,19.3,-111.3088392297567
beta,0.4,-111.3088392297567
modelType,explicit,-111.3088392297567
alpha,19.3,-Infinity
beta,0.4,-Infinity
modelType,literal,-Infinity
alpha,19.3,-Infinity
beta,0.3,-Infinity
modelType,pragmatic,-Infinity
alpha,19.3,-86.53713557079101
beta,0.3,-86.53713557079101
modelType,explicit,-86.53713557079101
alpha,19.3,-Infinity
beta,0.3,-Infinity
modelType,literal,-Infinity
alpha,19.3,-Infinity
beta,0.2,-Infinity
modelType,pragmatic,-Infinity
alpha,19.3,-69.2184297397207
beta,0.2,-69.2184297397207
modelType,explicit,-69.2184297397207
alpha,19.3,-Infinity
beta,0.2,-Infinity
modelType,literal,-Infinity
alpha,19.3,-Infinity
beta,0.1,-Infinity
modelType,pragmatic,-Infinity
alpha,19.3,-64.40022863140547
beta,0.1,-64.40022863140547
modelType,explicit,-64.40022863140547
alpha,19.3,-Infinity
beta,0.1,-Infinity
modelType,literal,-Infinity
alpha,19.3,-Infinity
beta,0,-Infinity
modelType,pragmatic,-Infinity
alpha,19.3,-80.64655820914777
beta,0,-80.64655820914777
modelType,explicit,-80.64655820914777
alpha,19.3,-Infinity
beta,0,-Infinity
modelType,literal,-Infinity
alpha,19.2,-Infinity
beta,1,-Infinity
modelType,pragmatic,-Infinity
alpha,19.2,-381.9434548213523
beta,1,-381.9434548213523
modelType,explicit,-381.9434548213523
alpha,19.2,-Infinity
beta,1,-Infinity
modelType,literal,-Infinity
alpha,19.2,-Infinity
beta,0.9,-Infinity
modelType,pragmatic,-Infinity
alpha,19.2,-316.71614618272224
beta,0.9,-316.71614618272224
modelType,explicit,-316.71614618272224
alpha,19.2,-Infinity
beta,0.9,-Infinity
modelType,literal,-Infinity
alpha,19.2,-637.0644972251423
beta,0.8,-637.0644972251423
modelType,pragmatic,-637.0644972251423
alpha,19.2,-261.9953008273183
beta,0.8,-261.9953008273183
modelType,explicit,-261.9953008273183
alpha,19.2,-Infinity
beta,0.8,-Infinity
modelType,literal,-Infinity
alpha,19.2,-562.6341517606375
beta,0.7,-562.6341517606375
modelType,pragmatic,-562.6341517606375
alpha,19.2,-215.37978179900762
beta,0.7,-215.37978179900762
modelType,explicit,-215.37978179900762
alpha,19.2,-Infinity
beta,0.7,-Infinity
modelType,literal,-Infinity
alpha,19.2,-582.187097756173
beta,0.6,-582.187097756173
modelType,pragmatic,-582.187097756173
alpha,19.2,-175.07663599650607
beta,0.6,-175.07663599650607
modelType,explicit,-175.07663599650607
alpha,19.2,-Infinity
beta,0.6,-Infinity
modelType,literal,-Infinity
alpha,19.2,-608.339738230017
beta,0.5,-608.339738230017
modelType,pragmatic,-608.339738230017
alpha,19.2,-140.0782753974397
beta,0.5,-140.0782753974397
modelType,explicit,-140.0782753974397
alpha,19.2,-Infinity
beta,0.5,-Infinity
modelType,literal,-Infinity
alpha,19.2,-668.2602011189415
beta,0.4,-668.2602011189415
modelType,pragmatic,-668.2602011189415
alpha,19.2,-110.03115734923148
beta,0.4,-110.03115734923148
modelType,explicit,-110.03115734923148
alpha,19.2,-Infinity
beta,0.4,-Infinity
modelType,literal,-Infinity
alpha,19.2,-Infinity
beta,0.3,-Infinity
modelType,pragmatic,-Infinity
alpha,19.2,-85.40843109691731
beta,0.3,-85.40843109691731
modelType,explicit,-85.40843109691731
alpha,19.2,-Infinity
beta,0.3,-Infinity
modelType,literal,-Infinity
alpha,19.2,-Infinity
beta,0.2,-Infinity
modelType,pragmatic,-Infinity
alpha,19.2,-68.23858213848683
beta,0.2,-68.23858213848683
modelType,explicit,-68.23858213848683
alpha,19.2,-Infinity
beta,0.2,-Infinity
modelType,literal,-Infinity
alpha,19.2,-Infinity
beta,0.1,-Infinity
modelType,pragmatic,-Infinity
alpha,19.2,-63.537961547259954
beta,0.1,-63.537961547259954
modelType,explicit,-63.537961547259954
alpha,19.2,-Infinity
beta,0.1,-Infinity
modelType,literal,-Infinity
alpha,19.2,-Infinity
beta,0,-Infinity
modelType,pragmatic,-Infinity
alpha,19.2,-79.76998491885776
beta,0,-79.76998491885776
modelType,explicit,-79.76998491885776
alpha,19.2,-Infinity
beta,0,-Infinity
modelType,literal,-Infinity
alpha,19.1,-Infinity
beta,1,-Infinity
modelType,pragmatic,-Infinity
alpha,19.1,-379.49252774052815
beta,1,-379.49252774052815
modelType,explicit,-379.49252774052815
alpha,19.1,-Infinity
beta,1,-Infinity
modelType,literal,-Infinity
alpha,19.1,-Infinity
beta,0.9,-Infinity
modelType,pragmatic,-Infinity
alpha,19.1,-314.55815845999206
beta,0.9,-314.55815845999206
modelType,explicit,-314.55815845999206
alpha,19.1,-Infinity
beta,0.9,-Infinity
modelType,literal,-Infinity
alpha,19.1,-630.3366119951284
beta,0.8,-630.3366119951284
modelType,pragmatic,-630.3366119951284
alpha,19.1,-260.06167544400506
beta,0.8,-260.06167544400506
modelType,explicit,-260.06167544400506
alpha,19.1,-Infinity
beta,0.8,-Infinity
modelType,literal,-Infinity
alpha,19.1,-556.9231845844289
beta,0.7,-556.9231845844289
modelType,pragmatic,-556.9231845844289
alpha,19.1,-213.63416329698163
beta,0.7,-213.63416329698163
modelType,explicit,-213.63416329698163
alpha,19.1,-Infinity
beta,0.7,-Infinity
modelType,literal,-Infinity
alpha,19.1,-576.5507715810038
beta,0.6,-576.5507715810038
modelType,pragmatic,-576.5507715810038
alpha,19.1,-173.4989962426106
beta,0.6,-173.4989962426106
modelType,explicit,-173.4989962426106
alpha,19.1,-Infinity
beta,0.6,-Infinity
modelType,literal,-Infinity
alpha,19.1,-602.6019068326884
beta,0.5,-602.6019068326884
modelType,pragmatic,-602.6019068326884
alpha,19.1,-138.65619353499392
beta,0.5,-138.65619353499392
modelType,explicit,-138.65619353499392
alpha,19.1,-Infinity
beta,0.5,-Infinity
modelType,literal,-Infinity
alpha,19.1,-661.8178204382073
beta,0.4,-661.8178204382073
modelType,pragmatic,-661.8178204382073
alpha,19.1,-108.75835110855638
beta,0.4,-108.75835110855638
modelType,explicit,-108.75835110855638
alpha,19.1,-Infinity
beta,0.4,-Infinity
modelType,literal,-Infinity
alpha,19.1,-Infinity
beta,0.3,-Infinity
modelType,pragmatic,-Infinity
alpha,19.1,-84.28463254682168
beta,0.3,-84.28463254682168
modelType,explicit,-84.28463254682168
alpha,19.1,-Infinity
beta,0.3,-Infinity
modelType,literal,-Infinity
alpha,19.1,-Infinity
beta,0.2,-Infinity
modelType,pragmatic,-Infinity
alpha,19.1,-67.26358341682078
beta,0.2,-67.26358341682078
modelType,explicit,-67.26358341682078
alpha,19.1,-Infinity
beta,0.2,-Infinity
modelType,literal,-Infinity
alpha,19.1,-Infinity
beta,0.1,-Infinity
modelType,pragmatic,-Infinity
alpha,19.1,-62.68015857993175
beta,0.1,-62.68015857993175
modelType,explicit,-62.68015857993175
alpha,19.1,-Infinity
beta,0.1,-Infinity
modelType,literal,-Infinity
alpha,19.1,-Infinity
beta,0,-Infinity
modelType,pragmatic,-Infinity
alpha,19.1,-78.89763850519097
beta,0,-78.89763850519097
modelType,explicit,-78.89763850519097
alpha,19.1,-Infinity
beta,0,-Infinity
modelType,literal,-Infinity
alpha,19,-Infinity
beta,1,-Infinity
modelType,pragmatic,-Infinity
alpha,19,-377.04666945587263
beta,1,-377.04666945587263
modelType,explicit,-377.04666945587263
alpha,19,-Infinity
beta,1,-Infinity
modelType,literal,-Infinity
alpha,19,-Infinity
beta,0.9,-Infinity
modelType,pragmatic,-Infinity
alpha,19,-312.4053374659208
beta,0.9,-312.4053374659208
modelType,explicit,-312.4053374659208
alpha,19,-Infinity
beta,0.9,-Infinity
modelType,literal,-Infinity
alpha,19,-623.6292876232401
beta,0.8,-623.6292876232401
modelType,pragmatic,-623.6292876232401
alpha,19,-258.1333181912731
beta,0.8,-258.1333181912731
modelType,explicit,-258.1333181912731
alpha,19,-Infinity
beta,0.8,-Infinity
modelType,literal,-Infinity
alpha,19,-551.2304390790894
beta,0.7,-551.2304390790894
modelType,pragmatic,-551.2304390790894
alpha,19,-211.89375946545186
beta,0.7,-211.89375946545186
modelType,explicit,-211.89375946545186
alpha,19,-Infinity
beta,0.7,-Infinity
modelType,literal,-Infinity
alpha,19,-570.9215184798586
