parameter,value,MCMCprob
questionerType,pragmatic,1.857227612884218e-239
alpha,16,7.264878267165405e-17
beta,0.2,7.264878267165405e-17
questionerType,explicit,7.264878267165405e-17
alpha,16,8.010997863548646e-252
beta,0,8.010997863548646e-252
questionerType,pragmatic,8.010997863548646e-252
alpha,16,3.5935040321798166e-23
beta,0,3.5935040321798166e-23
questionerType,explicit,3.5935040321798166e-23
alpha,15,3.236721932353654e-219
beta,1,3.236721932353654e-219
questionerType,pragmatic,3.236721932353654e-219
alpha,15,5.4944817809478364e-123
beta,1,5.4944817809478364e-123
questionerType,explicit,5.4944817809478364e-123
alpha,15,2.653791379375491e-162
beta,0.8,2.653791379375491e-162
questionerType,pragmatic,2.653791379375491e-162
alpha,15,1.9433168606991272e-80
beta,0.8,1.9433168606991272e-80
questionerType,explicit,1.9433168606991272e-80
alpha,15,1.3229188275064825e-152
beta,0.6,1.3229188275064825e-152
questionerType,pragmatic,1.3229188275064825e-152
alpha,15,3.5604074940672616e-49
beta,0.6,3.5604074940672616e-49
questionerType,explicit,3.5604074940672616e-49
alpha,15,8.703162278666299e-176
beta,0.4,8.703162278666299e-176
questionerType,pragmatic,8.703162278666299e-176
alpha,15,1.7127446228082577e-26
beta,0.4,1.7127446228082577e-26
questionerType,explicit,1.7127446228082577e-26
alpha,15,2.538633285121161e-211
beta,0.2,2.538633285121161e-211
questionerType,pragmatic,2.538633285121161e-211
alpha,15,8.778942992860092e-14
beta,0.2,8.778942992860092e-14
questionerType,explicit,8.778942992860092e-14
alpha,15,5.4374067191270334e-226
beta,0,5.4374067191270334e-226
questionerType,pragmatic,5.4374067191270334e-226
alpha,15,1.9145638990133803e-20
beta,0,1.9145638990133803e-20
questionerType,explicit,1.9145638990133803e-20
alpha,14,1.081726383933481e-189
beta,1,1.081726383933481e-189
questionerType,pragmatic,1.081726383933481e-189
alpha,14,7.683160941195173e-114
beta,1,7.683160941195173e-114
questionerType,explicit,7.683160941195173e-114
alpha,14,2.5326796477828145e-138
beta,0.8,2.5326796477828145e-138
questionerType,pragmatic,2.5326796477828145e-138
alpha,14,1.284858842400633e-73
beta,0.8,1.284858842400633e-73
questionerType,explicit,1.284858842400633e-73
alpha,14,4.60857083825676e-130
beta,0.6,4.60857083825676e-130
questionerType,pragmatic,4.60857083825676e-130
alpha,14,6.248726388186181e-44
beta,0.6,6.248726388186181e-44
questionerType,explicit,6.248726388186181e-44
alpha,14,5.028060818042592e-150
beta,0.4,5.028060818042592e-150
questionerType,pragmatic,5.028060818042592e-150
alpha,14,1.3119355912580055e-22
beta,0.4,1.3119355912580055e-22
questionerType,explicit,1.3119355912580055e-22
alpha,14,2.6363954315928487e-183
beta,0.2,2.6363954315928487e-183
questionerType,pragmatic,2.6363954315928487e-183
alpha,14,3.286238780384916e-11
beta,0.2,3.286238780384916e-11
questionerType,explicit,3.286238780384916e-11
alpha,14,7.249388589622961e-200
beta,0,7.249388589622961e-200
questionerType,pragmatic,7.249388589622961e-200
alpha,14,3.304600780399236e-18
beta,0,3.304600780399236e-18
questionerType,explicit,3.304600780399236e-18
alpha,13,1.223421731701505e-161
beta,1,1.223421731701505e-161
questionerType,pragmatic,1.223421731701505e-161
alpha,13,3.3066142604862084e-105
beta,1,3.3066142604862084e-105
questionerType,explicit,3.3066142604862084e-105
alpha,13,9.990764588171167e-116
beta,0.8,9.990764588171167e-116
questionerType,pragmatic,9.990764588171167e-116
alpha,13,2.4056980629641274e-67
beta,0.8,2.4056980629641274e-67
questionerType,explicit,2.4056980629641274e-67
alpha,13,3.619485391997249e-108
beta,0.6,3.619485391997249e-108
questionerType,pragmatic,3.619485391997249e-108
alpha,13,2.8435654588901703e-39
beta,0.6,2.8435654588901703e-39
questionerType,explicit,2.8435654588901703e-39
alpha,13,6.362855446226955e-125
beta,0.4,6.362855446226955e-125
questionerType,pragmatic,6.362855446226955e-125
alpha,13,2.3862328551501334e-19
beta,0.4,2.3862328551501334e-19
questionerType,explicit,2.3862328551501334e-19
alpha,13,1.7909573532147633e-155
beta,0.2,1.7909573532147633e-155
questionerType,pragmatic,1.7909573532147633e-155
alpha,13,2.8098962486748736e-9
beta,0.2,2.8098962486748736e-9
questionerType,explicit,2.8098962486748736e-9
alpha,13,1.8429195362028023e-173
beta,0,1.8429195362028023e-173
questionerType,pragmatic,1.8429195362028023e-173
alpha,13,1.3528179874335022e-16
beta,0,1.3528179874335022e-16
questionerType,explicit,1.3528179874335022e-16
alpha,12,2.5539239796644937e-135
beta,1,2.5539239796644937e-135
questionerType,pragmatic,2.5539239796644937e-135
alpha,12,3.4047723498807845e-97
beta,1,3.4047723498807845e-97
questionerType,explicit,3.4047723498807845e-97
alpha,12,1.344251760286227e-94
beta,0.8,1.344251760286227e-94
questionerType,pragmatic,1.344251760286227e-94
alpha,12,9.603046004661283e-62
beta,0.8,9.603046004661283e-62
questionerType,explicit,9.603046004661283e-62
alpha,12,4.534147677973317e-87
beta,0.6,4.534147677973317e-87
questionerType,pragmatic,4.534147677973317e-87
alpha,12,2.4051010406840845e-35
beta,0.6,2.4051010406840845e-35
questionerType,explicit,2.4051010406840845e-35
alpha,12,1.4340027298233341e-100
beta,0.4,1.4340027298233341e-100
questionerType,pragmatic,1.4340027298233341e-100
alpha,12,7.060947167398959e-17
beta,0.4,7.060947167398959e-17
questionerType,explicit,7.060947167398959e-17
alpha,12,6.23448686128899e-128
beta,0.2,6.23448686128899e-128
questionerType,pragmatic,6.23448686128899e-128
alpha,12,3.686580344901154e-8
beta,0.2,3.686580344901154e-8
questionerType,explicit,3.686580344901154e-8
alpha,12,7.987843889049496e-147
beta,0,7.987843889049496e-147
questionerType,pragmatic,7.987843889049496e-147
alpha,12,8.768384212478125e-16
beta,0,8.768384212478125e-16
questionerType,explicit,8.768384212478125e-16
alpha,11,5.2556704722115705e-111
beta,1,5.2556704722115705e-111
questionerType,pragmatic,5.2556704722115705e-111
alpha,11,6.048398358152409e-90
beta,1,6.048398358152409e-90
questionerType,explicit,6.048398358152409e-90
alpha,11,4.757272795678882e-75
beta,0.8,4.757272795678882e-75
questionerType,pragmatic,4.757272795678882e-75
alpha,11,5.624190220497723e-57
beta,0.8,5.624190220497723e-57
questionerType,explicit,5.624190220497723e-57
alpha,11,5.5350263131405685e-67
beta,0.6,5.5350263131405685e-67
questionerType,pragmatic,5.5350263131405685e-67
alpha,11,2.4343559321945198e-32
beta,0.6,2.4343559321945198e-32
questionerType,explicit,2.4343559321945198e-32
alpha,11,4.075340906035802e-77
beta,0.4,4.075340906035802e-77
questionerType,pragmatic,4.075340906035802e-77
alpha,11,2.064036951751346e-15
beta,0.4,2.064036951751346e-15
questionerType,explicit,2.064036951751346e-15
alpha,11,7.403747486326568e-101
beta,0.2,7.403747486326568e-101
questionerType,pragmatic,7.403747486326568e-101
alpha,11,4.401828522938631e-8
beta,0.2,4.401828522938631e-8
questionerType,explicit,4.401828522938631e-8
alpha,11,4.552353240710461e-120
beta,0,4.552353240710461e-120
questionerType,pragmatic,4.552353240710461e-120
alpha,11,5.324127482274778e-16
beta,0,5.324127482274778e-16
questionerType,explicit,5.324127482274778e-16
alpha,10,5.517846562597463e-89
beta,1,5.517846562597463e-89
questionerType,pragmatic,5.517846562597463e-89
alpha,10,1.2010460356816084e-83
beta,1,1.2010460356816084e-83
questionerType,explicit,1.2010460356816084e-83
alpha,10,2.8827379477109044e-57
beta,0.8,2.8827379477109044e-57
questionerType,pragmatic,2.8827379477109044e-57
alpha,10,2.9235047900372036e-53
beta,0.8,2.9235047900372036e-53
questionerType,explicit,2.9235047900372036e-53
alpha,10,3.131926873243228e-48
beta,0.6,3.131926873243228e-48
questionerType,pragmatic,3.131926873243228e-48
alpha,10,1.6305772993630414e-30
beta,0.6,1.6305772993630414e-30
questionerType,explicit,1.6305772993630414e-30
alpha,10,7.606541736838247e-55
beta,0.4,7.606541736838247e-55
questionerType,pragmatic,7.606541736838247e-55
alpha,10,3.062649095890218e-15
beta,0.4,3.062649095890218e-15
questionerType,explicit,3.062649095890218e-15
alpha,10,1.4645566433861776e-74
beta,0.2,1.4645566433861776e-74
questionerType,pragmatic,1.4645566433861776e-74
alpha,10,2.3974508298662122e-9
beta,0.2,2.3974508298662122e-9
questionerType,explicit,2.3974508298662122e-9
alpha,10,1.961636250563046e-93
beta,0,1.961636250563046e-93
questionerType,pragmatic,1.961636250563046e-93
alpha,10,1.5274619917272295e-17
beta,0,1.5274619917272295e-17
questionerType,explicit,1.5274619917272295e-17
alpha,9,1.232359652251653e-69
beta,1,1.232359652251653e-69
questionerType,pragmatic,1.232359652251653e-69
alpha,9,1.4716309147029737e-78
beta,1,1.4716309147029737e-78
questionerType,explicit,1.4716309147029737e-78
alpha,9,1.3584856085272192e-41
beta,0.8,1.3584856085272192e-41
questionerType,pragmatic,1.3584856085272192e-41
alpha,9,6.727801794740117e-51
beta,0.8,6.727801794740117e-51
questionerType,explicit,6.727801794740117e-51
alpha,9,2.4675511518626853e-31
beta,0.6,2.4675511518626853e-31
questionerType,pragmatic,2.4675511518626853e-31
alpha,9,3.199555258373174e-30
beta,0.6,3.199555258373174e-30
questionerType,explicit,3.199555258373174e-30
alpha,9,2.6279980505500417e-34
beta,0.4,2.6279980505500417e-34
questionerType,pragmatic,2.6279980505500417e-34
alpha,9,9.35092892826203e-17
beta,0.4,9.35092892826203e-17
questionerType,explicit,9.35092892826203e-17
alpha,9,1.2379979130560998e-49
beta,0.2,1.2379979130560998e-49
questionerType,pragmatic,1.2379979130560998e-49
alpha,9,2.365322796644497e-12
beta,0.2,2.365322796644497e-12
questionerType,explicit,2.365322796644497e-12
alpha,9,1.922214039279612e-67
beta,0,1.922214039279612e-67
questionerType,pragmatic,1.922214039279612e-67
alpha,9,8.405383154281814e-21
beta,0,8.405383154281814e-21
questionerType,explicit,8.405383154281814e-21
alpha,8,1.1516916181315902e-53
beta,1,1.1516916181315902e-53
questionerType,pragmatic,1.1516916181315902e-53
alpha,8,4.749418832434152e-75
beta,1,4.749418832434152e-75
questionerType,explicit,4.749418832434152e-75
alpha,8,1.0031105789203395e-28
beta,0.8,1.0031105789203395e-28
questionerType,pragmatic,1.0031105789203395e-28
alpha,8,2.519239086137203e-50
beta,0.8,2.519239086137203e-50
questionerType,explicit,2.519239086137203e-50
alpha,8,3.228836688422371e-17
beta,0.6,3.228836688422371e-17
questionerType,pragmatic,3.228836688422371e-17
alpha,8,5.788792104848475e-32
beta,0.6,5.788792104848475e-32
questionerType,explicit,5.788792104848475e-32
alpha,8,1.3869802826551272e-16
beta,0.4,1.3869802826551272e-16
questionerType,pragmatic,1.3869802826551272e-16
alpha,8,1.6766024735567097e-20
beta,0.4,1.6766024735567097e-20
questionerType,explicit,1.6766024735567097e-20
alpha,8,2.805851732145633e-27
beta,0.2,2.805851732145633e-27
questionerType,pragmatic,2.805851732145633e-27
alpha,8,1.198879003793046e-17
beta,0.2,1.198879003793046e-17
questionerType,explicit,1.198879003793046e-17
alpha,8,2.813307927297523e-43
beta,0,2.813307927297523e-43
questionerType,pragmatic,2.813307927297523e-43
alpha,8,2.638185596153026e-26
beta,0,2.638185596153026e-26
questionerType,explicit,2.638185596153026e-26
alpha,7,1.5143349764353752e-42
beta,1,1.5143349764353752e-42
questionerType,pragmatic,1.5143349764353752e-42
alpha,7,1.0958637768615787e-73
beta,1,1.0958637768615787e-73
questionerType,explicit,1.0958637768615787e-73
alpha,7,3.4548655167157634e-20
beta,0.8,3.4548655167157634e-20
questionerType,pragmatic,3.4548655167157634e-20
alpha,7,3.346780898209845e-52
beta,0.8,3.346780898209845e-52
questionerType,explicit,3.346780898209845e-52
alpha,7,1.0874983427184878e-7
beta,0.6,1.0874983427184878e-7
questionerType,pragmatic,1.0874983427184878e-7
alpha,7,1.7353097591362384e-36
beta,0.6,1.7353097591362384e-36
questionerType,explicit,1.7353097591362384e-36
alpha,7,0.0007107030147563398
beta,0.4,0.0007107030147563398
questionerType,pragmatic,0.0007107030147563398
alpha,7,2.8841846509274294e-27
beta,0.4,2.8841846509274294e-27
questionerType,explicit,2.8841846509274294e-27
alpha,7,4.768367617254582e-10
beta,0.2,4.768367617254582e-10
questionerType,pragmatic,4.768367617254582e-10
alpha,7,5.222382253422404e-26
beta,0.2,5.222382253422404e-26
questionerType,explicit,5.222382253422404e-26
alpha,7,1.1937527122315204e-23
beta,0,1.1937527122315204e-23
questionerType,pragmatic,1.1937527122315204e-23
alpha,7,8.602992252143097e-35
beta,0,8.602992252143097e-35
questionerType,explicit,8.602992252143097e-35
alpha,6,3.205368275852351e-39
beta,1,3.205368275852351e-39
questionerType,pragmatic,3.205368275852351e-39
alpha,6,2.0064250247964633e-75
beta,1,2.0064250247964633e-75
questionerType,explicit,2.0064250247964633e-75
alpha,6,2.5102009128099403e-19
beta,0.8,2.5102009128099403e-19
questionerType,pragmatic,2.5102009128099403e-19
alpha,6,1.2794902815294637e-57
beta,0.8,1.2794902815294637e-57
questionerType,explicit,1.2794902815294637e-57
alpha,6,0.0000014127238599548817
beta,0.6,0.0000014127238599548817
questionerType,pragmatic,0.0000014127238599548817
alpha,6,5.585464683662248e-45
beta,0.6,5.585464683662248e-45
questionerType,explicit,5.585464683662248e-45
alpha,6,0.996763657928367
beta,0.4,0.996763657928367
questionerType,pragmatic,0.996763657928367
alpha,6,2.884253771184942e-38
beta,0.4,2.884253771184942e-38
questionerType,explicit,2.884253771184942e-38
alpha,6,0.002524030979565771
beta,0.2,0.002524030979565771
questionerType,pragmatic,0.002524030979565771
alpha,6,1.2778921808127292e-38
beta,0.2,1.2778921808127292e-38
questionerType,explicit,1.2778921808127292e-38
alpha,6,1.845132050885885e-14
beta,0,1.845132050885885e-14
questionerType,pragmatic,1.845132050885885e-14
alpha,6,2.192004221619975e-47
beta,0,2.192004221619975e-47
questionerType,explicit,2.192004221619975e-47
alpha,5,2.4004366493926654e-49
beta,1,2.4004366493926654e-49
questionerType,pragmatic,2.4004366493926654e-49
alpha,5,4.339011460350757e-82
beta,1,4.339011460350757e-82
questionerType,explicit,4.339011460350757e-82
alpha,5,5.262380225390074e-33
beta,0.8,5.262380225390074e-33
questionerType,pragmatic,5.262380225390074e-33
alpha,5,1.3791449865014916e-68
beta,0.8,1.3791449865014916e-68
questionerType,explicit,1.3791449865014916e-68
alpha,5,8.217722920063703e-22
beta,0.6,8.217722920063703e-22
questionerType,pragmatic,8.217722920063703e-22
alpha,5,1.5219025600731134e-59
beta,0.6,1.5219025600731134e-59
questionerType,explicit,1.5219025600731134e-59
alpha,5,3.4725487006248866e-16
beta,0.4,3.4725487006248866e-16
questionerType,pragmatic,3.4725487006248866e-16
alpha,5,1.3377180256958023e-55
beta,0.4,1.3377180256958023e-55
questionerType,explicit,1.3377180256958023e-55
alpha,5,2.0062808024986907e-17
beta,0.2,2.0062808024986907e-17
questionerType,pragmatic,2.0062808024986907e-17
alpha,5,1.6545381935561028e-57
beta,0.2,1.6545381935561028e-57
questionerType,explicit,1.6545381935561028e-57
alpha,5,8.718170012152304e-27
beta,0,8.718170012152304e-27
questionerType,pragmatic,8.718170012152304e-27
alpha,5,5.169524083391134e-66
beta,0,5.169524083391134e-66
questionerType,explicit,5.169524083391134e-66
alpha,4,6.918553788971758e-84
beta,1,6.918553788971758e-84
questionerType,pragmatic,6.918553788971758e-84
alpha,4,1.1054684597482565e-97
beta,1,1.1054684597482565e-97
questionerType,explicit,1.1054684597482565e-97
alpha,4,6.711280082501881e-74
beta,0.8,6.711280082501881e-74
questionerType,pragmatic,6.711280082501881e-74
alpha,4,2.850890147258179e-89
beta,0.8,2.850890147258179e-89
questionerType,explicit,2.850890147258179e-89
alpha,4,1.9665969910118348e-67
beta,0.6,1.9665969910118348e-67
questionerType,pragmatic,1.9665969910118348e-67
alpha,4,2.319710448144679e-84
beta,0.6,2.319710448144679e-84
questionerType,explicit,2.319710448144679e-84
alpha,4,4.492682261625598e-65
beta,0.4,4.492682261625598e-65
questionerType,pragmatic,4.492682261625598e-65
alpha,4,2.4310046475935634e-83
beta,0.4,2.4310046475935634e-83
questionerType,explicit,2.4310046475935634e-83
alpha,4,1.3945302793032172e-67
beta,0.2,1.3945302793032172e-67
questionerType,pragmatic,1.3945302793032172e-67
alpha,4,1.3797741346327802e-86
beta,0.2,1.3797741346327802e-86
questionerType,explicit,1.3797741346327802e-86
alpha,4,1.0655083104296366e-75
beta,0,1.0655083104296366e-75
questionerType,pragmatic,1.0655083104296366e-75
alpha,4,2.05237628276254e-94
beta,0,2.05237628276254e-94
questionerType,explicit,2.05237628276254e-94
alpha,3,1.5720301979960394e-159
beta,1,1.5720301979960394e-159
questionerType,pragmatic,1.5720301979960394e-159
alpha,3,2.4186275206101385e-131
beta,1,2.4186275206101385e-131
questionerType,explicit,2.4186275206101385e-131
alpha,3,1.243077510717589e-157
beta,0.8,1.243077510717589e-157
questionerType,pragmatic,1.243077510717589e-157
alpha,3,1.605511250949897e-128
beta,0.8,1.605511250949897e-128
questionerType,explicit,1.605511250949897e-128
alpha,3,2.1771143424846092e-157
beta,0.6,2.1771143424846092e-157
questionerType,pragmatic,2.1771143424846092e-157
alpha,3,7.694077622955854e-128
beta,0.6,7.694077622955854e-128
questionerType,explicit,7.694077622955854e-128
alpha,3,5.775094343340219e-159
beta,0.4,5.775094343340219e-159
questionerType,pragmatic,5.775094343340219e-159
alpha,3,1.9766280651539397e-129
beta,0.4,1.9766280651539397e-129
questionerType,explicit,1.9766280651539397e-129
alpha,3,1.8031517613213953e-162
beta,0.2,1.8031517613213953e-162
questionerType,pragmatic,1.8031517613213953e-162
alpha,3,2.1323429310972936e-133
beta,0.2,2.1323429310972936e-133
questionerType,explicit,2.1323429310972936e-133
alpha,3,6.329517496241809e-168
beta,0,6.329517496241809e-168
questionerType,pragmatic,6.329517496241809e-168
alpha,3,8.129635362665617e-140
beta,0,8.129635362665617e-140
questionerType,explicit,8.129635362665617e-140
alpha,2,2.093886547162008e-261
beta,1,2.093886547162008e-261
questionerType,pragmatic,2.093886547162008e-261
alpha,2,6.851655919537716e-197
beta,1,6.851655919537716e-197
questionerType,explicit,6.851655919537716e-197
alpha,2,1.8176665772596025e-262
beta,0.8,1.8176665772596025e-262
questionerType,pragmatic,1.8176665772596025e-262
alpha,2,4.842598869490446e-198
beta,0.8,4.842598869490446e-198
questionerType,explicit,4.842598869490446e-198
alpha,2,1.0407369983850125e-263
beta,0.6,1.0407369983850125e-263
questionerType,pragmatic,1.0407369983850125e-263
alpha,2,7.02596425419671e-200
beta,0.6,7.02596425419671e-200
questionerType,explicit,7.02596425419671e-200
alpha,2,3.9900252655774657e-265
beta,0.4,3.9900252655774657e-265
questionerType,pragmatic,3.9900252655774657e-265
alpha,2,2.0445394879997945e-202
beta,0.4,2.0445394879997945e-202
questionerType,explicit,2.0445394879997945e-202
alpha,2,1.049160272073957e-266
beta,0.2,1.049160272073957e-266
questionerType,pragmatic,1.049160272073957e-266
alpha,2,1.1749692256744978e-205
beta,0.2,1.1749692256744978e-205
questionerType,explicit,1.1749692256744978e-205
alpha,2,1.9551959485045167e-268
beta,0,1.9551959485045167e-268
questionerType,pragmatic,1.9551959485045167e-268
alpha,2,1.323880936922997e-209
beta,0,1.323880936922997e-209
questionerType,explicit,1.323880936922997e-209
alpha,1,0
beta,1,0
questionerType,pragmatic,0
alpha,1,5.861121282000623e-279
beta,1,5.861121282000623e-279
questionerType,explicit,5.861121282000623e-279
alpha,1,0
beta,0.8,0
questionerType,pragmatic,0
alpha,1,6.628112021735329e-280
beta,0.8,6.628112021735329e-280
questionerType,explicit,6.628112021735329e-280
alpha,1,0
beta,0.6,0
questionerType,pragmatic,0
alpha,1,6.758398730714872e-281
beta,0.6,6.758398730714872e-281
questionerType,explicit,6.758398730714872e-281
alpha,1,0
beta,0.4,0
questionerType,pragmatic,0
alpha,1,6.214186086483735e-282
beta,0.4,6.214186086483735e-282
questionerType,explicit,6.214186086483735e-282
alpha,1,0
beta,0.2,0
questionerType,pragmatic,0
alpha,1,5.153103184040208e-283
beta,0.2,5.153103184040208e-283
questionerType,explicit,5.153103184040208e-283
alpha,1,0
beta,0,0
questionerType,pragmatic,0
alpha,1,3.8545280847455173e-284
beta,0,3.8545280847455173e-284
questionerType,explicit,3.8545280847455173e-284
alpha,0,0
beta,1,0
questionerType,pragmatic,0
alpha,0,0
beta,1,0
questionerType,explicit,0
alpha,0,0
beta,0.8,0
questionerType,pragmatic,0
alpha,0,0
beta,0.8,0
questionerType,explicit,0
alpha,0,0
beta,0.6,0
questionerType,pragmatic,0
alpha,0,0
beta,0.6,0
questionerType,explicit,0
alpha,0,0
beta,0.4,0
questionerType,pragmatic,0
alpha,0,0
beta,0.4,0
questionerType,explicit,0
alpha,0,0
beta,0.2,0
questionerType,pragmatic,0
alpha,0,0
beta,0.2,0
questionerType,explicit,0
alpha,0,0
beta,0,0
questionerType,pragmatic,0
alpha,0,0
beta,0,0
questionerType,explicit,0
