iterationName,gameid,time,trialNum,trialType,questionNumber,goalResponse,trueGoal,firstRole,cellAskedAbout,gridState
testing,8112-e8614ed4-6c30-44bd-949b-e4648bc0b8bd,1.550646189779e+12,5,random,2,rows,,leader,C2,"{""safe"":[""B1"",""B2"",""C3""],""unsafe"":[""B3""]}"
testing,8112-e8614ed4-6c30-44bd-949b-e4648bc0b8bd,1.550646235943e+12,7,random,1,rows,,leader,B1,"{""safe"":[""A2"",""B3""],""unsafe"":[]}"
testing,8112-e8614ed4-6c30-44bd-949b-e4648bc0b8bd,1.550646250011e+12,7,random,2,rows,,leader,A3,"{""safe"":[""A2"",""B3"",""A1""],""unsafe"":[""B1""]}"
testing,8112-e8614ed4-6c30-44bd-949b-e4648bc0b8bd,1.550646282628e+12,9,blocked,1,rows,,leader,C1,"{""safe"":[""C3""],""unsafe"":[]}"
testing,8112-e8614ed4-6c30-44bd-949b-e4648bc0b8bd,1.550646297803e+12,9,blocked,2,rows,,leader,B2,"{""safe"":[""C3"",""B1""],""unsafe"":[""C1""]}"
testing,8112-e8614ed4-6c30-44bd-949b-e4648bc0b8bd,1.550646329248e+12,11,empty,1,not sure,,leader,C1,"{""safe"":[],""unsafe"":[]}"
testing,8112-e8614ed4-6c30-44bd-949b-e4648bc0b8bd,1.550646338517e+12,11,empty,2,columns,,leader,B1,"{""safe"":[""C1""],""unsafe"":[]}"
testing,8112-e8614ed4-6c30-44bd-949b-e4648bc0b8bd,1.550646411485e+12,13,random,1,columns,,leader,B1,"{""safe"":[""A1"",""B3"",""C1"",""C3""],""unsafe"":[]}"
testing,8112-e8614ed4-6c30-44bd-949b-e4648bc0b8bd,1.550646440164e+12,15,pragmatic,1,columns,,leader,A1,"{""safe"":[""B1""],""unsafe"":[]}"
testing,1110-4ff74add-3610-4854-a021-c99594975d95,1.550647237017e+12,0,catch,1,columns,,helper,A3,"{""safe"":[""B3"",""C3""],""unsafe"":[]}"
testing,8656-8a61923e-c781-40d6-a434-a6834697a42f,1.550647381463e+12,0,catch,1,columns,,helper,C3,"{""safe"":[""A3"",""B3""],""unsafe"":[]}"
testing,8415-166a6146-1c7c-441c-b002-d6ec3387fb44,1.550647425509e+12,0,catch,1,columns,,helper,C3,"{""safe"":[""A3"",""B3""],""unsafe"":[]}"
testing,8775-43eef1c2-7fd8-4741-85fe-3e985ed34a11,1.550647642939e+12,0,catch,1,rows,,helper,A1,"{""safe"":[""A2"",""A3""],""unsafe"":[]}"
testing,8775-43eef1c2-7fd8-4741-85fe-3e985ed34a11,1.550647701006e+12,2,random,1,columns,,helper,A2,"{""safe"":[""C2"",""C3""],""unsafe"":[]}"
testing,8775-43eef1c2-7fd8-4741-85fe-3e985ed34a11,1.550647717409e+12,2,random,2,columns,,helper,B2,"{""safe"":[""C2"",""C3"",""A2"",""A1""],""unsafe"":[]}"
testing,8775-43eef1c2-7fd8-4741-85fe-3e985ed34a11,1.550647739969e+12,2,random,3,columns,,helper,C1,"{""safe"":[""C2"",""C3"",""A2"",""A1"",""B1""],""unsafe"":[""B2""]}"
testing,8775-43eef1c2-7fd8-4741-85fe-3e985ed34a11,1.550647769691e+12,4,random,1,rows,,helper,B3,"{""safe"":[""B1"",""B2"",""C1"",""C2""],""unsafe"":[]}"
testing,6568-30ded943-55fb-4086-b68d-91fe3ceda7c2,1.550647898709e+12,1,catch,1,columns,,leader,C2,"{""safe"":[""A2"",""B2""],""unsafe"":[]}"
testing,6913-06bfdfc8-89df-4779-8b16-60adb7dad33b,1.550648875365e+12,0,catch,1,rows,,helper,C3,"{""safe"":[""C1"",""C2""],""unsafe"":[]}"
testing,6913-06bfdfc8-89df-4779-8b16-60adb7dad33b,1.550648906344e+12,2,random,1,columns,,helper,B3,"{""safe"":[""C3""],""unsafe"":[]}"
testing,8785-c1000fe7-75a3-4572-b22d-18d2a6880e6e,1.550648995122e+12,0,catch,1,columns,,helper,C3,"{""safe"":[""A3"",""B3""],""unsafe"":[]}"
testing,7905-382d4f1a-858a-4388-88e5-422488d44279,1.550649111354e+12,1,catch,1,rows,,leader,B1,"{""safe"":[""B2"",""B3""],""unsafe"":[]}"
testing,7905-382d4f1a-858a-4388-88e5-422488d44279,1.55064916721e+12,3,random,1,rows,,leader,B3,"{""safe"":[""A1"",""B1"",""B2"",""C3""],""unsafe"":[]}"
testing,7905-382d4f1a-858a-4388-88e5-422488d44279,1.550649197939e+12,5,random,1,columns,,leader,C1,"{""safe"":[""A1"",""B2""],""unsafe"":[]}"
testing,7905-382d4f1a-858a-4388-88e5-422488d44279,1.550649226331e+12,5,random,2,columns,,leader,B3,"{""safe"":[""A1"",""B2"",""A3""],""unsafe"":[""C1""]}"
testing,7905-382d4f1a-858a-4388-88e5-422488d44279,1.550649288324e+12,7,random,1,rows,,leader,A1,"{""safe"":[""A2"",""A3""],""unsafe"":[]}"
testing,7905-382d4f1a-858a-4388-88e5-422488d44279,1.550649302359e+12,7,random,2,rows,,leader,B3,"{""safe"":[""A2"",""A3"",""B1""],""unsafe"":[""A1""]}"
testing,7905-382d4f1a-858a-4388-88e5-422488d44279,1.550649338e+12,9,random,1,rows,,leader,A2,"{""safe"":[""A3"",""B1""],""unsafe"":[]}"
testing,2357-4e2ecfdf-fbc5-4879-be37-b69b58c105ec,1.550650190801e+12,1,catch,1,columns,,leader,A1,"{""safe"":[""B1"",""C1""],""unsafe"":[]}"
testing,2357-4e2ecfdf-fbc5-4879-be37-b69b58c105ec,1.550650224315e+12,3,random,1,columns,,leader,B2,"{""safe"":[""A2"",""C2""],""unsafe"":[]}"
testing,2357-4e2ecfdf-fbc5-4879-be37-b69b58c105ec,1.550650241833e+12,3,random,2,columns,,leader,C1,"{""safe"":[""A2"",""C2"",""B1""],""unsafe"":[""B2""]}"
testing,2357-4e2ecfdf-fbc5-4879-be37-b69b58c105ec,1.550650345117e+12,5,random,1,columns,,leader,C1,"{""safe"":[""A1"",""A2"",""B1"",""C3""],""unsafe"":[]}"
testing,2357-4e2ecfdf-fbc5-4879-be37-b69b58c105ec,1.550650362615e+12,5,random,2,columns,,leader,B3,"{""safe"":[""A1"",""A2"",""B1"",""C3"",""A3""],""unsafe"":[""C1""]}"
testing,2357-4e2ecfdf-fbc5-4879-be37-b69b58c105ec,1.550650403393e+12,7,blocked,1,rows,,leader,B3,"{""safe"":[""B2""],""unsafe"":[]}"
testing,2357-4e2ecfdf-fbc5-4879-be37-b69b58c105ec,1.550650447488e+12,9,random,1,columns,,leader,B1,"{""safe"":[""A1"",""A2"",""C1"",""C3""],""unsafe"":[]}"
testing,2357-4e2ecfdf-fbc5-4879-be37-b69b58c105ec,1.55065046306e+12,9,random,2,columns,,leader,C2,"{""safe"":[""A1"",""A2"",""C1"",""C3"",""B2""],""unsafe"":[""B1""]}"
testing,2357-4e2ecfdf-fbc5-4879-be37-b69b58c105ec,1.550650491866e+12,11,pragmatic,1,rows,,leader,A2,"{""safe"":[""A3""],""unsafe"":[]}"
testing,2357-4e2ecfdf-fbc5-4879-be37-b69b58c105ec,1.550650522504e+12,13,random,1,columns,,leader,C3,"{""safe"":[""A3"",""B3"",""C1""],""unsafe"":[]}"
testing,2357-4e2ecfdf-fbc5-4879-be37-b69b58c105ec,1.550650601873e+12,15,random,1,columns,,leader,C2,"{""safe"":[""A2"",""B1"",""B2"",""C1""],""unsafe"":[]}"
testing,2357-4e2ecfdf-fbc5-4879-be37-b69b58c105ec,1.5506507573e+12,17,empty,1,not sure,,leader,C2,"{""safe"":[],""unsafe"":[]}"
testing,2357-4e2ecfdf-fbc5-4879-be37-b69b58c105ec,1.550650784883e+12,17,empty,2,rows,,leader,C3,"{""safe"":[""C2"",""C1""],""unsafe"":[]}"
testing,2357-4e2ecfdf-fbc5-4879-be37-b69b58c105ec,1.550650826011e+12,19,random,1,rows,,leader,A2,"{""safe"":[""A1"",""B1"",""C3""],""unsafe"":[]}"
testing,2357-4e2ecfdf-fbc5-4879-be37-b69b58c105ec,1.550650838265e+12,19,random,2,rows,,leader,C2,"{""safe"":[""A1"",""B1"",""C3"",""C1""],""unsafe"":[""A2""]}"
testing,0007-d79786f8-a7e3-4927-99ab-d7577530f86b,1.550684239152e+12,0,catch,1,columns,,helper,C3,"{""safe"":[""A3"",""B3""],""unsafe"":[]}"
testing,0007-d79786f8-a7e3-4927-99ab-d7577530f86b,1.55068426419e+12,2,random,1,rows,,helper,B2,"{""safe"":[""B1"",""C1""],""unsafe"":[]}"
testing,0007-d79786f8-a7e3-4927-99ab-d7577530f86b,1.550684297982e+12,4,random,1,rows,,helper,C1,"{""safe"":[""A3"",""B1"",""C2"",""C3""],""unsafe"":[]}"
testing,0007-d79786f8-a7e3-4927-99ab-d7577530f86b,1.550684378626e+12,6,random,1,columns,,helper,A3,"{""safe"":[""B3"",""C2""],""unsafe"":[]}"
testing,0007-d79786f8-a7e3-4927-99ab-d7577530f86b,1.550684410318e+12,8,blocked,1,rows,,helper,A3,"{""safe"":[""A1""],""unsafe"":[]}"
testing,0007-d79786f8-a7e3-4927-99ab-d7577530f86b,1.550684435788e+12,8,blocked,2,rows,,helper,B2,"{""safe"":[""A1"",""A3""],""unsafe"":[""A2""]}"
testing,0007-d79786f8-a7e3-4927-99ab-d7577530f86b,1.550684453838e+12,8,blocked,3,rows,,helper,C2,"{""safe"":[""A1"",""A3"",""C1""],""unsafe"":[""A2"",""B2""]}"
testing,5697-3079a742-13c8-470b-9eb4-1a01fcc47cb2,1.550686468956e+12,1,catch,1,rows,,leader,B1,"{""safe"":[""B2"",""B3""],""unsafe"":[]}"
testing,5697-3079a742-13c8-470b-9eb4-1a01fcc47cb2,1.550686501874e+12,3,random,1,rows,,leader,A1,"{""safe"":[""A2"",""A3"",""B3"",""C1""],""unsafe"":[]}"
testing,5697-3079a742-13c8-470b-9eb4-1a01fcc47cb2,1.550686530353e+12,5,random,1,rows,,leader,B2,"{""safe"":[""A1"",""B1"",""B3"",""C2"",""C3""],""unsafe"":[]}"
testing,5697-3079a742-13c8-470b-9eb4-1a01fcc47cb2,1.550686563126e+12,7,random,1,rows,,leader,C3,"{""safe"":[""B2"",""C1"",""C2""],""unsafe"":[]}"
testing,5697-3079a742-13c8-470b-9eb4-1a01fcc47cb2,1.550686587976e+12,9,pragmatic,1,rows,,leader,B3,"{""safe"":[""B1""],""unsafe"":[]}"
testing,5697-3079a742-13c8-470b-9eb4-1a01fcc47cb2,1.550686623972e+12,11,blocked,1,columns,,leader,A1,"{""safe"":[""C1""],""unsafe"":[]}"
testing,5697-3079a742-13c8-470b-9eb4-1a01fcc47cb2,1.550686681021e+12,13,random,1,columns,,leader,A1,"{""safe"":[""B1"",""C1""],""unsafe"":[]}"
testing,9351-c2585a08-18f7-4e06-8719-3e7c9239066c,1.550686936718e+12,0,catch,1,rows,,helper,B3,"{""safe"":[""B1"",""B2""],""unsafe"":[]}"
testing,9351-c2585a08-18f7-4e06-8719-3e7c9239066c,1.550686967708e+12,2,random,1,columns,,helper,C3,"{""safe"":[""A1"",""A3"",""B2"",""B3""],""unsafe"":[]}"
testing,9351-c2585a08-18f7-4e06-8719-3e7c9239066c,1.550686995498e+12,4,random,1,rows,,helper,B3,"{""safe"":[""B1"",""B2""],""unsafe"":[]}"
testing,9351-c2585a08-18f7-4e06-8719-3e7c9239066c,1.550687015618e+12,4,random,2,rows,,helper,C1,"{""safe"":[""B1"",""B2"",""C2""],""unsafe"":[""B3""]}"
testing,9351-c2585a08-18f7-4e06-8719-3e7c9239066c,1.550687052266e+12,6,random,1,rows,,helper,B1,"{""safe"":[""A3"",""B2"",""B3"",""C2""],""unsafe"":[]}"
testing,9351-c2585a08-18f7-4e06-8719-3e7c9239066c,1.550687083013e+12,8,pragmatic,1,columns,,helper,B2,"{""safe"":[""A2""],""unsafe"":[]}"
testing,9351-c2585a08-18f7-4e06-8719-3e7c9239066c,1.550687140888e+12,10,random,1,columns,,helper,B1,"{""safe"":[""A1""],""unsafe"":[]}"
testing,9351-c2585a08-18f7-4e06-8719-3e7c9239066c,1.550687254902e+12,12,empty,1,not sure,,helper,B1,"{""safe"":[],""unsafe"":[]}"
testing,3250-5655113d-4559-44b9-aa2b-c588ce6e469e,1.550692193595e+12,1,catch,1,rows,,leader,B1,"{""safe"":[""B2"",""B3""],""unsafe"":[]}"
testing,5164-dccbeb11-8b8c-427d-809f-0a89821be866,1.550707967659e+12,1,practice,1,columns,,leader,C3,"{""safe"":[""A3"",""B3""],""unsafe"":[]}"
testing,3839-ef186d93-9d69-4363-991d-6ae0ea11d32e,1.550719103226e+12,0,practice,1,rows,,helper,A1,"{""safe"":[""A2"",""A3""],""unsafe"":[]}"
testing,7709-5063ebea-2478-4633-b900-0f356525d483,1.550719105814e+12,0,practice,1,columns,,helper,A2,"{""safe"":[""B2"",""C2""],""unsafe"":[]}"
testing,3839-ef186d93-9d69-4363-991d-6ae0ea11d32e,1.550719162493e+12,2,random,1,columns,,helper,B2,"{""safe"":[""A3"",""C2""],""unsafe"":[]}"
testing,3839-ef186d93-9d69-4363-991d-6ae0ea11d32e,1.55071918638e+12,2,random,2,columns,,helper,B3,"{""safe"":[""A3"",""C2"",""B1""],""unsafe"":[""B2""]}"
testing,3839-ef186d93-9d69-4363-991d-6ae0ea11d32e,1.55071920184e+12,2,random,3,columns,,helper,C1,"{""safe"":[""A3"",""C2"",""B1"",""B3""],""unsafe"":[""B2"",""C3""]}"
testing,3839-ef186d93-9d69-4363-991d-6ae0ea11d32e,1.550719246474e+12,4,random,1,rows,,helper,C2,"{""safe"":[""A2"",""B3"",""C1""],""unsafe"":[]}"
testing,3839-ef186d93-9d69-4363-991d-6ae0ea11d32e,1.550719289934e+12,6,random,1,columns,,helper,C1,"{""safe"":[""A1"",""B3""],""unsafe"":[]}"
testing,3839-ef186d93-9d69-4363-991d-6ae0ea11d32e,1.550719307103e+12,6,random,2,columns,,helper,C3,"{""safe"":[""A1"",""B3"",""C1""],""unsafe"":[""B1""]}"
testing,3839-ef186d93-9d69-4363-991d-6ae0ea11d32e,1.550719339185e+12,8,random,1,not sure,,helper,C1,"{""safe"":[""A1"",""B2"",""C3""],""unsafe"":[]}"
testing,3839-ef186d93-9d69-4363-991d-6ae0ea11d32e,1.550719355021e+12,8,random,2,rows,,helper,C2,"{""safe"":[""A1"",""B2"",""C3"",""C1"",""B1""],""unsafe"":[]}"
testing,3839-ef186d93-9d69-4363-991d-6ae0ea11d32e,1.550719390909e+12,10,empty,1,not sure,,helper,A1,"{""safe"":[],""unsafe"":[]}"
testing,3839-ef186d93-9d69-4363-991d-6ae0ea11d32e,1.55071940357e+12,10,empty,2,columns,,helper,C2,"{""safe"":[""A2""],""unsafe"":[""A1""]}"
testing,3839-ef186d93-9d69-4363-991d-6ae0ea11d32e,1.550719434132e+12,12,random,1,rows,,helper,B2,"{""safe"":[""B1"",""C1""],""unsafe"":[]}"
testing,3839-ef186d93-9d69-4363-991d-6ae0ea11d32e,1.550719480276e+12,14,blocked,1,columns,,helper,A2,"{""safe"":[""B2""],""unsafe"":[]}"
testing,3839-ef186d93-9d69-4363-991d-6ae0ea11d32e,1.550719497294e+12,14,blocked,2,columns,,helper,C3,"{""safe"":[""B2"",""A3""],""unsafe"":[""A2""]}"
testing,3839-ef186d93-9d69-4363-991d-6ae0ea11d32e,1.550719540554e+12,16,pragmatic,1,columns,,helper,B2,"{""safe"":[""A2""],""unsafe"":[]}"
testing,3839-ef186d93-9d69-4363-991d-6ae0ea11d32e,1.550719589029e+12,18,random,1,columns,,helper,A3,"{""safe"":[""B2"",""C3""],""unsafe"":[]}"
testing,9522-06bc792c-499c-4537-b0b7-0bccffd61962,1.550719723266e+12,0,practice,1,columns,,helper,A3,"{""safe"":[""B3"",""C3""],""unsafe"":[]}"
testing,5614-9645a68f-b36d-434b-b9f4-c9e8bab43e7f,1.550719998576e+12,0,practice,1,columns,,helper,A3,"{""safe"":[""B3"",""C3""],""unsafe"":[]}"
pilot0,2609-d593aede-a4de-4608-bbde-0896a0c39eb7,1.550728839387e+12,0,practice,1,columns,,helper,A3,"{""safe"":[""A1"",""A2""],""unsafe"":[]}"
pilot0,2609-d593aede-a4de-4608-bbde-0896a0c39eb7,1.550728884479e+12,2,random,1,columns,,helper,B2,"{""safe"":[""A2"",""C2""],""unsafe"":[]}"
pilot0,2609-d593aede-a4de-4608-bbde-0896a0c39eb7,1.550728903818e+12,2,random,2,rows,,helper,B3,"{""safe"":[""A2"",""C2""],""unsafe"":[""B2""]}"
pilot0,2609-d593aede-a4de-4608-bbde-0896a0c39eb7,1.550728922302e+12,2,random,3,rows,,helper,B1,"{""safe"":[""A2"",""C2""],""unsafe"":[""B2"",""B3""]}"
pilot0,2609-d593aede-a4de-4608-bbde-0896a0c39eb7,1.550728935486e+12,2,random,4,columns,,helper,C1,"{""safe"":[""A2"",""C2"",""B1""],""unsafe"":[""B2"",""B3""]}"
pilot0,2609-d593aede-a4de-4608-bbde-0896a0c39eb7,1.550728943769e+12,2,random,5,columns,,helper,A1,"{""safe"":[""A2"",""C2"",""B1"",""C1""],""unsafe"":[""B2"",""B3""]}"
pilot0,2609-d593aede-a4de-4608-bbde-0896a0c39eb7,1.550728974384e+12,4,random,1,columns,,helper,B3,"{""safe"":[""A3"",""B2"",""C3""],""unsafe"":[]}"
pilot0,2609-d593aede-a4de-4608-bbde-0896a0c39eb7,1.550729058222e+12,6,random,1,columns,,helper,B2,"{""safe"":[""B1"",""C3""],""unsafe"":[]}"
pilot0,0448-07592343-5e43-4e98-a162-e6c943579f60,1.550729070847e+12,0,practice,1,not sure,,helper,C1,"{""safe"":[""C2"",""C3""],""unsafe"":[]}"
pilot0,2609-d593aede-a4de-4608-bbde-0896a0c39eb7,1.550729074022e+12,6,random,2,rows,,helper,B3,"{""safe"":[""B1"",""C3"",""B2""],""unsafe"":[]}"
pilot0,2609-d593aede-a4de-4608-bbde-0896a0c39eb7,1.550729118449e+12,8,random,1,rows,,helper,C2,"{""safe"":[""A3"",""C1""],""unsafe"":[]}"
pilot0,0448-07592343-5e43-4e98-a162-e6c943579f60,1.550729144612e+12,2,random,1,not sure,,helper,C2,"{""safe"":[""A3"",""B2"",""C1"",""C3""],""unsafe"":[]}"
pilot0,2609-d593aede-a4de-4608-bbde-0896a0c39eb7,1.550729156512e+12,10,empty,1,rows,,helper,A3,"{""safe"":[],""unsafe"":[]}"
pilot0,2609-d593aede-a4de-4608-bbde-0896a0c39eb7,1.550729175528e+12,10,empty,2,rows,,helper,A1,"{""safe"":[""A3"",""A2""],""unsafe"":[]}"
