type,modelLevel,goal,rationality,response,modelProb
branching,literal,Gb:siamese,1.1,Qb:animal,0.25
branching,literal,Gb:siamese,1.1,Qb:pet,0.25
branching,literal,Gb:siamese,1.1,Qb:dog,0.25
branching,literal,Gb:siamese,1.1,Qb:dalmatian,0.25
branching,pragmatic,Gb:siamese,1.1,Qb:animal,0.18
branching,pragmatic,Gb:siamese,1.1,Qb:pet,0.71
branching,pragmatic,Gb:siamese,1.1,Qb:dog,0.06
branching,pragmatic,Gb:siamese,1.1,Qb:dalmatian,0.05
branching,explicit,Gb:siamese,1.1,Qb:animal,0.26
branching,explicit,Gb:siamese,1.1,Qb:pet,0.27
branching,explicit,Gb:siamese,1.1,Qb:dog,0.23
branching,explicit,Gb:siamese,1.1,Qb:dalmatian,0.23
branching,literal,Gb:whale,1.1,Qb:animal,0.25
branching,literal,Gb:whale,1.1,Qb:pet,0.25
branching,literal,Gb:whale,1.1,Qb:dog,0.25
branching,literal,Gb:whale,1.1,Qb:dalmatian,0.25
branching,pragmatic,Gb:whale,1.1,Qb:animal,0.73
branching,pragmatic,Gb:whale,1.1,Qb:pet,0.10
branching,pragmatic,Gb:whale,1.1,Qb:dog,0.10
branching,pragmatic,Gb:whale,1.1,Qb:dalmatian,0.08
branching,explicit,Gb:whale,1.1,Qb:animal,0.27
branching,explicit,Gb:whale,1.1,Qb:pet,0.24
branching,explicit,Gb:whale,1.1,Qb:dog,0.24
branching,explicit,Gb:whale,1.1,Qb:dalmatian,0.24
branching,literal,Gb:dalmatian,1.2,Qb:animal,0.25
branching,literal,Gb:dalmatian,1.2,Qb:pet,0.25
branching,literal,Gb:dalmatian,1.2,Qb:dog,0.25
branching,literal,Gb:dalmatian,1.2,Qb:dalmatian,0.25
branching,pragmatic,Gb:dalmatian,1.2,Qb:animal,0.02
branching,pragmatic,Gb:dalmatian,1.2,Qb:pet,0.02
branching,pragmatic,Gb:dalmatian,1.2,Qb:dog,0.02
branching,pragmatic,Gb:dalmatian,1.2,Qb:dalmatian,0.95
branching,explicit,Gb:dalmatian,1.2,Qb:animal,0.21
branching,explicit,Gb:dalmatian,1.2,Qb:pet,0.22
branching,explicit,Gb:dalmatian,1.2,Qb:dog,0.24
branching,explicit,Gb:dalmatian,1.2,Qb:dalmatian,0.32
branching,literal,Gb:poodle,1.2,Qb:animal,0.25
branching,literal,Gb:poodle,1.2,Qb:pet,0.25
branching,literal,Gb:poodle,1.2,Qb:dog,0.25
branching,literal,Gb:poodle,1.2,Qb:dalmatian,0.25
branching,pragmatic,Gb:poodle,1.2,Qb:animal,0.05
branching,pragmatic,Gb:poodle,1.2,Qb:pet,0.09
branching,pragmatic,Gb:poodle,1.2,Qb:dog,0.83
branching,pragmatic,Gb:poodle,1.2,Qb:dalmatian,0.03
branching,explicit,Gb:poodle,1.2,Qb:animal,0.25
branching,explicit,Gb:poodle,1.2,Qb:pet,0.26
branching,explicit,Gb:poodle,1.2,Qb:dog,0.28
branching,explicit,Gb:poodle,1.2,Qb:dalmatian,0.22
branching,literal,Gb:siamese,1.2,Qb:animal,0.25
branching,literal,Gb:siamese,1.2,Qb:pet,0.25
branching,literal,Gb:siamese,1.2,Qb:dog,0.25
branching,literal,Gb:siamese,1.2,Qb:dalmatian,0.25
branching,pragmatic,Gb:siamese,1.2,Qb:animal,0.18
branching,pragmatic,Gb:siamese,1.2,Qb:pet,0.71
branching,pragmatic,Gb:siamese,1.2,Qb:dog,0.06
branching,pragmatic,Gb:siamese,1.2,Qb:dalmatian,0.05
branching,explicit,Gb:siamese,1.2,Qb:animal,0.26
branching,explicit,Gb:siamese,1.2,Qb:pet,0.28
branching,explicit,Gb:siamese,1.2,Qb:dog,0.23
branching,explicit,Gb:siamese,1.2,Qb:dalmatian,0.23
branching,literal,Gb:whale,1.2,Qb:animal,0.25
branching,literal,Gb:whale,1.2,Qb:pet,0.25
branching,literal,Gb:whale,1.2,Qb:dog,0.25
branching,literal,Gb:whale,1.2,Qb:dalmatian,0.25
branching,pragmatic,Gb:whale,1.2,Qb:animal,0.73
branching,pragmatic,Gb:whale,1.2,Qb:pet,0.10
branching,pragmatic,Gb:whale,1.2,Qb:dog,0.10
branching,pragmatic,Gb:whale,1.2,Qb:dalmatian,0.08
branching,explicit,Gb:whale,1.2,Qb:animal,0.28
branching,explicit,Gb:whale,1.2,Qb:pet,0.24
branching,explicit,Gb:whale,1.2,Qb:dog,0.24
branching,explicit,Gb:whale,1.2,Qb:dalmatian,0.24
branching,literal,Gb:dalmatian,1.3,Qb:animal,0.25
branching,literal,Gb:dalmatian,1.3,Qb:pet,0.25
branching,literal,Gb:dalmatian,1.3,Qb:dog,0.25
branching,literal,Gb:dalmatian,1.3,Qb:dalmatian,0.25
branching,pragmatic,Gb:dalmatian,1.3,Qb:animal,0.02
branching,pragmatic,Gb:dalmatian,1.3,Qb:pet,0.02
branching,pragmatic,Gb:dalmatian,1.3,Qb:dog,0.02
branching,pragmatic,Gb:dalmatian,1.3,Qb:dalmatian,0.95
branching,explicit,Gb:dalmatian,1.3,Qb:animal,0.21
branching,explicit,Gb:dalmatian,1.3,Qb:pet,0.22
branching,explicit,Gb:dalmatian,1.3,Qb:dog,0.24
branching,explicit,Gb:dalmatian,1.3,Qb:dalmatian,0.33
branching,literal,Gb:poodle,1.3,Qb:animal,0.25
branching,literal,Gb:poodle,1.3,Qb:pet,0.25
branching,literal,Gb:poodle,1.3,Qb:dog,0.25
branching,literal,Gb:poodle,1.3,Qb:dalmatian,0.25
branching,pragmatic,Gb:poodle,1.3,Qb:animal,0.05
branching,pragmatic,Gb:poodle,1.3,Qb:pet,0.09
branching,pragmatic,Gb:poodle,1.3,Qb:dog,0.83
branching,pragmatic,Gb:poodle,1.3,Qb:dalmatian,0.03
branching,explicit,Gb:poodle,1.3,Qb:animal,0.25
branching,explicit,Gb:poodle,1.3,Qb:pet,0.26
branching,explicit,Gb:poodle,1.3,Qb:dog,0.29
branching,explicit,Gb:poodle,1.3,Qb:dalmatian,0.21
branching,literal,Gb:siamese,1.3,Qb:animal,0.25
branching,literal,Gb:siamese,1.3,Qb:pet,0.25
branching,literal,Gb:siamese,1.3,Qb:dog,0.25
branching,literal,Gb:siamese,1.3,Qb:dalmatian,0.25
branching,pragmatic,Gb:siamese,1.3,Qb:animal,0.18
branching,pragmatic,Gb:siamese,1.3,Qb:pet,0.71
branching,pragmatic,Gb:siamese,1.3,Qb:dog,0.06
branching,pragmatic,Gb:siamese,1.3,Qb:dalmatian,0.05
branching,explicit,Gb:siamese,1.3,Qb:animal,0.27
branching,explicit,Gb:siamese,1.3,Qb:pet,0.28
branching,explicit,Gb:siamese,1.3,Qb:dog,0.23
branching,explicit,Gb:siamese,1.3,Qb:dalmatian,0.23
branching,literal,Gb:whale,1.3,Qb:animal,0.25
branching,literal,Gb:whale,1.3,Qb:pet,0.25
branching,literal,Gb:whale,1.3,Qb:dog,0.25
branching,literal,Gb:whale,1.3,Qb:dalmatian,0.25
branching,pragmatic,Gb:whale,1.3,Qb:animal,0.73
branching,pragmatic,Gb:whale,1.3,Qb:pet,0.10
branching,pragmatic,Gb:whale,1.3,Qb:dog,0.10
branching,pragmatic,Gb:whale,1.3,Qb:dalmatian,0.08
branching,explicit,Gb:whale,1.3,Qb:animal,0.28
branching,explicit,Gb:whale,1.3,Qb:pet,0.24
branching,explicit,Gb:whale,1.3,Qb:dog,0.24
branching,explicit,Gb:whale,1.3,Qb:dalmatian,0.24
branching,literal,Gb:dalmatian,1.4,Qb:animal,0.25
branching,literal,Gb:dalmatian,1.4,Qb:pet,0.25
branching,literal,Gb:dalmatian,1.4,Qb:dog,0.25
branching,literal,Gb:dalmatian,1.4,Qb:dalmatian,0.25
branching,pragmatic,Gb:dalmatian,1.4,Qb:animal,0.02
branching,pragmatic,Gb:dalmatian,1.4,Qb:pet,0.02
branching,pragmatic,Gb:dalmatian,1.4,Qb:dog,0.02
branching,pragmatic,Gb:dalmatian,1.4,Qb:dalmatian,0.95
branching,explicit,Gb:dalmatian,1.4,Qb:animal,0.20
branching,explicit,Gb:dalmatian,1.4,Qb:pet,0.21
branching,explicit,Gb:dalmatian,1.4,Qb:dog,0.24
branching,explicit,Gb:dalmatian,1.4,Qb:dalmatian,0.35
branching,literal,Gb:poodle,1.4,Qb:animal,0.25
branching,literal,Gb:poodle,1.4,Qb:pet,0.25
branching,literal,Gb:poodle,1.4,Qb:dog,0.25
branching,literal,Gb:poodle,1.4,Qb:dalmatian,0.25
branching,pragmatic,Gb:poodle,1.4,Qb:animal,0.05
branching,pragmatic,Gb:poodle,1.4,Qb:pet,0.09
branching,pragmatic,Gb:poodle,1.4,Qb:dog,0.83
branching,pragmatic,Gb:poodle,1.4,Qb:dalmatian,0.03
branching,explicit,Gb:poodle,1.4,Qb:animal,0.24
branching,explicit,Gb:poodle,1.4,Qb:pet,0.26
branching,explicit,Gb:poodle,1.4,Qb:dog,0.29
branching,explicit,Gb:poodle,1.4,Qb:dalmatian,0.20
branching,literal,Gb:siamese,1.4,Qb:animal,0.25
branching,literal,Gb:siamese,1.4,Qb:pet,0.25
branching,literal,Gb:siamese,1.4,Qb:dog,0.25
branching,literal,Gb:siamese,1.4,Qb:dalmatian,0.25
branching,pragmatic,Gb:siamese,1.4,Qb:animal,0.18
branching,pragmatic,Gb:siamese,1.4,Qb:pet,0.71
branching,pragmatic,Gb:siamese,1.4,Qb:dog,0.06
branching,pragmatic,Gb:siamese,1.4,Qb:dalmatian,0.05
branching,explicit,Gb:siamese,1.4,Qb:animal,0.27
branching,explicit,Gb:siamese,1.4,Qb:pet,0.29
branching,explicit,Gb:siamese,1.4,Qb:dog,0.22
branching,explicit,Gb:siamese,1.4,Qb:dalmatian,0.22
branching,literal,Gb:whale,1.4,Qb:animal,0.25
branching,literal,Gb:whale,1.4,Qb:pet,0.25
branching,literal,Gb:whale,1.4,Qb:dog,0.25
branching,literal,Gb:whale,1.4,Qb:dalmatian,0.25
branching,pragmatic,Gb:whale,1.4,Qb:animal,0.73
branching,pragmatic,Gb:whale,1.4,Qb:pet,0.10
branching,pragmatic,Gb:whale,1.4,Qb:dog,0.10
branching,pragmatic,Gb:whale,1.4,Qb:dalmatian,0.08
branching,explicit,Gb:whale,1.4,Qb:animal,0.29
branching,explicit,Gb:whale,1.4,Qb:pet,0.24
branching,explicit,Gb:whale,1.4,Qb:dog,0.24
branching,explicit,Gb:whale,1.4,Qb:dalmatian,0.24
branching,literal,Gb:dalmatian,1.5,Qb:animal,0.25
branching,literal,Gb:dalmatian,1.5,Qb:pet,0.25
branching,literal,Gb:dalmatian,1.5,Qb:dog,0.25
branching,literal,Gb:dalmatian,1.5,Qb:dalmatian,0.25
branching,pragmatic,Gb:dalmatian,1.5,Qb:animal,0.02
branching,pragmatic,Gb:dalmatian,1.5,Qb:pet,0.02
branching,pragmatic,Gb:dalmatian,1.5,Qb:dog,0.02
branching,pragmatic,Gb:dalmatian,1.5,Qb:dalmatian,0.95
branching,explicit,Gb:dalmatian,1.5,Qb:animal,0.19
branching,explicit,Gb:dalmatian,1.5,Qb:pet,0.21
branching,explicit,Gb:dalmatian,1.5,Qb:dog,0.24
branching,explicit,Gb:dalmatian,1.5,Qb:dalmatian,0.36
branching,literal,Gb:poodle,1.5,Qb:animal,0.25
branching,literal,Gb:poodle,1.5,Qb:pet,0.25
branching,literal,Gb:poodle,1.5,Qb:dog,0.25
branching,literal,Gb:poodle,1.5,Qb:dalmatian,0.25
branching,pragmatic,Gb:poodle,1.5,Qb:animal,0.05
branching,pragmatic,Gb:poodle,1.5,Qb:pet,0.09
branching,pragmatic,Gb:poodle,1.5,Qb:dog,0.83
branching,pragmatic,Gb:poodle,1.5,Qb:dalmatian,0.03
branching,explicit,Gb:poodle,1.5,Qb:animal,0.24
branching,explicit,Gb:poodle,1.5,Qb:pet,0.26
branching,explicit,Gb:poodle,1.5,Qb:dog,0.30
branching,explicit,Gb:poodle,1.5,Qb:dalmatian,0.20
branching,literal,Gb:siamese,1.5,Qb:animal,0.25
branching,literal,Gb:siamese,1.5,Qb:pet,0.25
branching,literal,Gb:siamese,1.5,Qb:dog,0.25
branching,literal,Gb:siamese,1.5,Qb:dalmatian,0.25
branching,pragmatic,Gb:siamese,1.5,Qb:animal,0.18
branching,pragmatic,Gb:siamese,1.5,Qb:pet,0.71
branching,pragmatic,Gb:siamese,1.5,Qb:dog,0.06
branching,pragmatic,Gb:siamese,1.5,Qb:dalmatian,0.05
branching,explicit,Gb:siamese,1.5,Qb:animal,0.27
branching,explicit,Gb:siamese,1.5,Qb:pet,0.29
branching,explicit,Gb:siamese,1.5,Qb:dog,0.22
branching,explicit,Gb:siamese,1.5,Qb:dalmatian,0.22
branching,literal,Gb:whale,1.5,Qb:animal,0.25
branching,literal,Gb:whale,1.5,Qb:pet,0.25
branching,literal,Gb:whale,1.5,Qb:dog,0.25
branching,literal,Gb:whale,1.5,Qb:dalmatian,0.25
branching,pragmatic,Gb:whale,1.5,Qb:animal,0.73
branching,pragmatic,Gb:whale,1.5,Qb:pet,0.10
branching,pragmatic,Gb:whale,1.5,Qb:dog,0.10
branching,pragmatic,Gb:whale,1.5,Qb:dalmatian,0.08
branching,explicit,Gb:whale,1.5,Qb:animal,0.29
branching,explicit,Gb:whale,1.5,Qb:pet,0.24
branching,explicit,Gb:whale,1.5,Qb:dog,0.24
branching,explicit,Gb:whale,1.5,Qb:dalmatian,0.24
branching,literal,Gb:dalmatian,1.6,Qb:animal,0.25
branching,literal,Gb:dalmatian,1.6,Qb:pet,0.25
branching,literal,Gb:dalmatian,1.6,Qb:dog,0.25
branching,literal,Gb:dalmatian,1.6,Qb:dalmatian,0.25
branching,pragmatic,Gb:dalmatian,1.6,Qb:animal,0.02
branching,pragmatic,Gb:dalmatian,1.6,Qb:pet,0.02
branching,pragmatic,Gb:dalmatian,1.6,Qb:dog,0.02
branching,pragmatic,Gb:dalmatian,1.6,Qb:dalmatian,0.95
branching,explicit,Gb:dalmatian,1.6,Qb:animal,0.18
branching,explicit,Gb:dalmatian,1.6,Qb:pet,0.20
branching,explicit,Gb:dalmatian,1.6,Qb:dog,0.24
branching,explicit,Gb:dalmatian,1.6,Qb:dalmatian,0.38
branching,literal,Gb:poodle,1.6,Qb:animal,0.25
branching,literal,Gb:poodle,1.6,Qb:pet,0.25
branching,literal,Gb:poodle,1.6,Qb:dog,0.25
branching,literal,Gb:poodle,1.6,Qb:dalmatian,0.25
branching,pragmatic,Gb:poodle,1.6,Qb:animal,0.05
branching,pragmatic,Gb:poodle,1.6,Qb:pet,0.09
branching,pragmatic,Gb:poodle,1.6,Qb:dog,0.83
branching,pragmatic,Gb:poodle,1.6,Qb:dalmatian,0.03
branching,explicit,Gb:poodle,1.6,Qb:animal,0.24
branching,explicit,Gb:poodle,1.6,Qb:pet,0.26
branching,explicit,Gb:poodle,1.6,Qb:dog,0.31
branching,explicit,Gb:poodle,1.6,Qb:dalmatian,0.19
branching,literal,Gb:siamese,1.6,Qb:animal,0.25
branching,literal,Gb:siamese,1.6,Qb:pet,0.25
branching,literal,Gb:siamese,1.6,Qb:dog,0.25
branching,literal,Gb:siamese,1.6,Qb:dalmatian,0.25
branching,pragmatic,Gb:siamese,1.6,Qb:animal,0.18
branching,pragmatic,Gb:siamese,1.6,Qb:pet,0.71
branching,pragmatic,Gb:siamese,1.6,Qb:dog,0.06
branching,pragmatic,Gb:siamese,1.6,Qb:dalmatian,0.05
branching,explicit,Gb:siamese,1.6,Qb:animal,0.27
branching,explicit,Gb:siamese,1.6,Qb:pet,0.30
branching,explicit,Gb:siamese,1.6,Qb:dog,0.22
branching,explicit,Gb:siamese,1.6,Qb:dalmatian,0.22
branching,literal,Gb:whale,1.6,Qb:animal,0.25
branching,literal,Gb:whale,1.6,Qb:pet,0.25
branching,literal,Gb:whale,1.6,Qb:dog,0.25
branching,literal,Gb:whale,1.6,Qb:dalmatian,0.25
branching,pragmatic,Gb:whale,1.6,Qb:animal,0.73
branching,pragmatic,Gb:whale,1.6,Qb:pet,0.10
branching,pragmatic,Gb:whale,1.6,Qb:dog,0.10
branching,pragmatic,Gb:whale,1.6,Qb:dalmatian,0.08
branching,explicit,Gb:whale,1.6,Qb:animal,0.30
branching,explicit,Gb:whale,1.6,Qb:pet,0.23
branching,explicit,Gb:whale,1.6,Qb:dog,0.23
branching,explicit,Gb:whale,1.6,Qb:dalmatian,0.23
branching,literal,Gb:dalmatian,1.7,Qb:animal,0.25
branching,literal,Gb:dalmatian,1.7,Qb:pet,0.25
branching,literal,Gb:dalmatian,1.7,Qb:dog,0.25
branching,literal,Gb:dalmatian,1.7,Qb:dalmatian,0.25
branching,pragmatic,Gb:dalmatian,1.7,Qb:animal,0.02
branching,pragmatic,Gb:dalmatian,1.7,Qb:pet,0.02
branching,pragmatic,Gb:dalmatian,1.7,Qb:dog,0.02
branching,pragmatic,Gb:dalmatian,1.7,Qb:dalmatian,0.95
branching,explicit,Gb:dalmatian,1.7,Qb:animal,0.18
branching,explicit,Gb:dalmatian,1.7,Qb:pet,0.19
branching,explicit,Gb:dalmatian,1.7,Qb:dog,0.23
branching,explicit,Gb:dalmatian,1.7,Qb:dalmatian,0.40
branching,literal,Gb:poodle,1.7,Qb:animal,0.25
branching,literal,Gb:poodle,1.7,Qb:pet,0.25
branching,literal,Gb:poodle,1.7,Qb:dog,0.25
branching,literal,Gb:poodle,1.7,Qb:dalmatian,0.25
branching,pragmatic,Gb:poodle,1.7,Qb:animal,0.05
branching,pragmatic,Gb:poodle,1.7,Qb:pet,0.09
branching,pragmatic,Gb:poodle,1.7,Qb:dog,0.83
branching,pragmatic,Gb:poodle,1.7,Qb:dalmatian,0.03
branching,explicit,Gb:poodle,1.7,Qb:animal,0.24
branching,explicit,Gb:poodle,1.7,Qb:pet,0.26
branching,explicit,Gb:poodle,1.7,Qb:dog,0.31
branching,explicit,Gb:poodle,1.7,Qb:dalmatian,0.18
branching,literal,Gb:siamese,1.7,Qb:animal,0.25
branching,literal,Gb:siamese,1.7,Qb:pet,0.25
branching,literal,Gb:siamese,1.7,Qb:dog,0.25
branching,literal,Gb:siamese,1.7,Qb:dalmatian,0.25
branching,pragmatic,Gb:siamese,1.7,Qb:animal,0.18
branching,pragmatic,Gb:siamese,1.7,Qb:pet,0.71
branching,pragmatic,Gb:siamese,1.7,Qb:dog,0.06
branching,pragmatic,Gb:siamese,1.7,Qb:dalmatian,0.05
branching,explicit,Gb:siamese,1.7,Qb:animal,0.28
branching,explicit,Gb:siamese,1.7,Qb:pet,0.30
branching,explicit,Gb:siamese,1.7,Qb:dog,0.21
branching,explicit,Gb:siamese,1.7,Qb:dalmatian,0.21
branching,literal,Gb:whale,1.7,Qb:animal,0.25
branching,literal,Gb:whale,1.7,Qb:pet,0.25
branching,literal,Gb:whale,1.7,Qb:dog,0.25
branching,literal,Gb:whale,1.7,Qb:dalmatian,0.25
branching,pragmatic,Gb:whale,1.7,Qb:animal,0.73
branching,pragmatic,Gb:whale,1.7,Qb:pet,0.10
branching,pragmatic,Gb:whale,1.7,Qb:dog,0.10
branching,pragmatic,Gb:whale,1.7,Qb:dalmatian,0.08
branching,explicit,Gb:whale,1.7,Qb:animal,0.30
branching,explicit,Gb:whale,1.7,Qb:pet,0.23
branching,explicit,Gb:whale,1.7,Qb:dog,0.23
branching,explicit,Gb:whale,1.7,Qb:dalmatian,0.23
branching,literal,Gb:dalmatian,1.8,Qb:animal,0.25
branching,literal,Gb:dalmatian,1.8,Qb:pet,0.25
branching,literal,Gb:dalmatian,1.8,Qb:dog,0.25
branching,literal,Gb:dalmatian,1.8,Qb:dalmatian,0.25
branching,pragmatic,Gb:dalmatian,1.8,Qb:animal,0.02
branching,pragmatic,Gb:dalmatian,1.8,Qb:pet,0.02
branching,pragmatic,Gb:dalmatian,1.8,Qb:dog,0.02
branching,pragmatic,Gb:dalmatian,1.8,Qb:dalmatian,0.95
branching,explicit,Gb:dalmatian,1.8,Qb:animal,0.17
branching,explicit,Gb:dalmatian,1.8,Qb:pet,0.19
branching,explicit,Gb:dalmatian,1.8,Qb:dog,0.23
branching,explicit,Gb:dalmatian,1.8,Qb:dalmatian,0.42
branching,literal,Gb:poodle,1.8,Qb:animal,0.25
branching,literal,Gb:poodle,1.8,Qb:pet,0.25
branching,literal,Gb:poodle,1.8,Qb:dog,0.25
branching,literal,Gb:poodle,1.8,Qb:dalmatian,0.25
branching,pragmatic,Gb:poodle,1.8,Qb:animal,0.05
branching,pragmatic,Gb:poodle,1.8,Qb:pet,0.09
branching,pragmatic,Gb:poodle,1.8,Qb:dog,0.83
branching,pragmatic,Gb:poodle,1.8,Qb:dalmatian,0.03
branching,explicit,Gb:poodle,1.8,Qb:animal,0.24
branching,explicit,Gb:poodle,1.8,Qb:pet,0.26
branching,explicit,Gb:poodle,1.8,Qb:dog,0.32
branching,explicit,Gb:poodle,1.8,Qb:dalmatian,0.18
branching,literal,Gb:siamese,1.8,Qb:animal,0.25
branching,literal,Gb:siamese,1.8,Qb:pet,0.25
branching,literal,Gb:siamese,1.8,Qb:dog,0.25
branching,literal,Gb:siamese,1.8,Qb:dalmatian,0.25
branching,pragmatic,Gb:siamese,1.8,Qb:animal,0.18
branching,pragmatic,Gb:siamese,1.8,Qb:pet,0.71
branching,pragmatic,Gb:siamese,1.8,Qb:dog,0.06
branching,pragmatic,Gb:siamese,1.8,Qb:dalmatian,0.05
branching,explicit,Gb:siamese,1.8,Qb:animal,0.28
branching,explicit,Gb:siamese,1.8,Qb:pet,0.31
branching,explicit,Gb:siamese,1.8,Qb:dog,0.21
branching,explicit,Gb:siamese,1.8,Qb:dalmatian,0.21
branching,literal,Gb:whale,1.8,Qb:animal,0.25
branching,literal,Gb:whale,1.8,Qb:pet,0.25
branching,literal,Gb:whale,1.8,Qb:dog,0.25
branching,literal,Gb:whale,1.8,Qb:dalmatian,0.25
branching,pragmatic,Gb:whale,1.8,Qb:animal,0.73
branching,pragmatic,Gb:whale,1.8,Qb:pet,0.10
branching,pragmatic,Gb:whale,1.8,Qb:dog,0.10
branching,pragmatic,Gb:whale,1.8,Qb:dalmatian,0.08
branching,explicit,Gb:whale,1.8,Qb:animal,0.31
branching,explicit,Gb:whale,1.8,Qb:pet,0.23
branching,explicit,Gb:whale,1.8,Qb:dog,0.23
branching,explicit,Gb:whale,1.8,Qb:dalmatian,0.23
branching,literal,Gb:dalmatian,1.9,Qb:animal,0.25
branching,literal,Gb:dalmatian,1.9,Qb:pet,0.25
branching,literal,Gb:dalmatian,1.9,Qb:dog,0.25
branching,literal,Gb:dalmatian,1.9,Qb:dalmatian,0.25
branching,pragmatic,Gb:dalmatian,1.9,Qb:animal,0.02
branching,pragmatic,Gb:dalmatian,1.9,Qb:pet,0.02
branching,pragmatic,Gb:dalmatian,1.9,Qb:dog,0.02
branching,pragmatic,Gb:dalmatian,1.9,Qb:dalmatian,0.95
branching,explicit,Gb:dalmatian,1.9,Qb:animal,0.16
branching,explicit,Gb:dalmatian,1.9,Qb:pet,0.18
branching,explicit,Gb:dalmatian,1.9,Qb:dog,0.22
branching,explicit,Gb:dalmatian,1.9,Qb:dalmatian,0.44
