type,domain,modelLevel,utterance,rationality,response,modelProb
branching,artifact,literal,furniture,1.5,couch,0.25
branching,artifact,pragmatic,furniture,1.5,couch,0.27
branching,artifact,pragmatic,furniture,1.5,chair,0.23
branching,artifact,pragmatic,furniture,1.5,table,0.26
branching,artifact,pragmatic,furniture,1.5,lawnmower,0.23
branching,artifact,explicit,furniture,1.5,couch,0.49
branching,artifact,explicit,furniture,1.5,chair,0.18
branching,artifact,explicit,furniture,1.5,table,0.20
branching,artifact,explicit,furniture,1.5,lawnmower,0.12
branching,artifact,literal,couch,1.5,lawnmower,0.25
branching,artifact,literal,couch,1.5,table,0.25
branching,artifact,literal,couch,1.5,chair,0.25
branching,artifact,literal,couch,1.5,couch,0.25
branching,artifact,pragmatic,couch,1.5,couch,0.31
branching,artifact,pragmatic,couch,1.5,chair,0.22
branching,artifact,pragmatic,couch,1.5,table,0.24
branching,artifact,pragmatic,couch,1.5,lawnmower,0.23
branching,artifact,explicit,couch,1.5,couch,0.63
branching,artifact,explicit,couch,1.5,chair,0.12
branching,artifact,explicit,couch,1.5,table,0.12
branching,artifact,explicit,couch,1.5,lawnmower,0.12
branching,artifact,literal,thing,1.6,lawnmower,0.25
branching,artifact,literal,thing,1.6,table,0.25
branching,artifact,literal,thing,1.6,chair,0.25
branching,artifact,literal,thing,1.6,couch,0.25
branching,artifact,pragmatic,thing,1.6,couch,0.19
branching,artifact,pragmatic,thing,1.6,chair,0.23
branching,artifact,pragmatic,thing,1.6,table,0.26
branching,artifact,pragmatic,thing,1.6,lawnmower,0.32
branching,artifact,explicit,thing,1.6,couch,0.13
branching,artifact,explicit,thing,1.6,chair,0.20
branching,artifact,explicit,thing,1.6,table,0.22
branching,artifact,explicit,thing,1.6,lawnmower,0.45
branching,artifact,literal,seat,1.6,lawnmower,0.25
branching,artifact,literal,seat,1.6,table,0.25
branching,artifact,literal,seat,1.6,chair,0.25
branching,artifact,literal,seat,1.6,couch,0.25
branching,artifact,pragmatic,seat,1.6,couch,0.21
branching,artifact,pragmatic,seat,1.6,chair,0.32
branching,artifact,pragmatic,seat,1.6,table,0.24
branching,artifact,pragmatic,seat,1.6,lawnmower,0.23
branching,artifact,explicit,seat,1.6,couch,0.24
branching,artifact,explicit,seat,1.6,chair,0.53
branching,artifact,explicit,seat,1.6,table,0.11
branching,artifact,explicit,seat,1.6,lawnmower,0.11
branching,artifact,literal,furniture,1.6,lawnmower,0.25
branching,artifact,literal,furniture,1.6,table,0.25
branching,artifact,literal,furniture,1.6,chair,0.25
branching,artifact,literal,furniture,1.6,couch,0.25
branching,artifact,pragmatic,furniture,1.6,couch,0.28
branching,artifact,pragmatic,furniture,1.6,chair,0.23
branching,artifact,pragmatic,furniture,1.6,table,0.26
branching,artifact,pragmatic,furniture,1.6,lawnmower,0.23
branching,artifact,explicit,furniture,1.6,couch,0.51
branching,artifact,explicit,furniture,1.6,chair,0.18
branching,artifact,explicit,furniture,1.6,table,0.20
branching,artifact,explicit,furniture,1.6,lawnmower,0.11
branching,artifact,literal,couch,1.6,lawnmower,0.25
branching,artifact,literal,couch,1.6,table,0.25
branching,artifact,literal,couch,1.6,chair,0.25
branching,artifact,literal,couch,1.6,couch,0.25
branching,artifact,pragmatic,couch,1.6,couch,0.32
branching,artifact,pragmatic,couch,1.6,chair,0.22
branching,artifact,pragmatic,couch,1.6,table,0.24
branching,artifact,pragmatic,couch,1.6,lawnmower,0.23
branching,artifact,explicit,couch,1.6,couch,0.66
branching,artifact,explicit,couch,1.6,chair,0.11
branching,artifact,explicit,couch,1.6,table,0.11
branching,artifact,explicit,couch,1.6,lawnmower,0.11
branching,artifact,literal,thing,1.7,lawnmower,0.25
branching,artifact,literal,thing,1.7,table,0.25
branching,artifact,literal,thing,1.7,chair,0.25
branching,artifact,literal,thing,1.7,couch,0.25
branching,artifact,pragmatic,thing,1.7,couch,0.18
branching,artifact,pragmatic,thing,1.7,chair,0.22
branching,artifact,pragmatic,thing,1.7,table,0.26
branching,artifact,pragmatic,thing,1.7,lawnmower,0.33
branching,artifact,explicit,thing,1.7,couch,0.12
branching,artifact,explicit,thing,1.7,chair,0.19
branching,artifact,explicit,thing,1.7,table,0.22
branching,artifact,explicit,thing,1.7,lawnmower,0.47
branching,artifact,literal,seat,1.7,lawnmower,0.25
branching,artifact,literal,seat,1.7,table,0.25
branching,artifact,literal,seat,1.7,chair,0.25
branching,artifact,literal,seat,1.7,couch,0.25
branching,artifact,pragmatic,seat,1.7,couch,0.20
branching,artifact,pragmatic,seat,1.7,chair,0.34
branching,artifact,pragmatic,seat,1.7,table,0.23
branching,artifact,pragmatic,seat,1.7,lawnmower,0.22
branching,artifact,explicit,seat,1.7,couch,0.24
branching,artifact,explicit,seat,1.7,chair,0.55
branching,artifact,explicit,seat,1.7,table,0.11
branching,artifact,explicit,seat,1.7,lawnmower,0.11
branching,artifact,literal,furniture,1.7,lawnmower,0.25
branching,artifact,literal,furniture,1.7,table,0.25
branching,artifact,literal,furniture,1.7,chair,0.25
branching,artifact,literal,furniture,1.7,couch,0.25
branching,artifact,pragmatic,furniture,1.7,couch,0.28
branching,artifact,pragmatic,furniture,1.7,chair,0.23
branching,artifact,pragmatic,furniture,1.7,table,0.27
branching,artifact,pragmatic,furniture,1.7,lawnmower,0.23
branching,artifact,explicit,furniture,1.7,couch,0.53
branching,artifact,explicit,furniture,1.7,chair,0.17
branching,artifact,explicit,furniture,1.7,table,0.20
branching,artifact,explicit,furniture,1.7,lawnmower,0.11
branching,artifact,literal,couch,1.7,lawnmower,0.25
branching,artifact,literal,couch,1.7,table,0.25
branching,artifact,literal,couch,1.7,chair,0.25
branching,artifact,literal,couch,1.7,couch,0.25
branching,artifact,pragmatic,couch,1.7,couch,0.33
branching,artifact,pragmatic,couch,1.7,chair,0.21
branching,artifact,pragmatic,couch,1.7,table,0.24
branching,artifact,pragmatic,couch,1.7,lawnmower,0.22
branching,artifact,explicit,couch,1.7,couch,0.68
branching,artifact,explicit,couch,1.7,chair,0.11
branching,artifact,explicit,couch,1.7,table,0.11
branching,artifact,explicit,couch,1.7,lawnmower,0.11
branching,artifact,literal,thing,1.8,lawnmower,0.25
branching,artifact,literal,thing,1.8,table,0.25
branching,artifact,literal,thing,1.8,chair,0.25
branching,artifact,literal,thing,1.8,couch,0.25
branching,artifact,pragmatic,thing,1.8,couch,0.17
branching,artifact,pragmatic,thing,1.8,chair,0.22
branching,artifact,pragmatic,thing,1.8,table,0.27
branching,artifact,pragmatic,thing,1.8,lawnmower,0.34
branching,artifact,explicit,thing,1.8,couch,0.11
branching,artifact,explicit,thing,1.8,chair,0.19
branching,artifact,explicit,thing,1.8,table,0.22
branching,artifact,explicit,thing,1.8,lawnmower,0.48
branching,artifact,literal,seat,1.8,lawnmower,0.25
branching,artifact,literal,seat,1.8,table,0.25
branching,artifact,literal,seat,1.8,chair,0.25
branching,artifact,literal,seat,1.8,couch,0.25
branching,artifact,pragmatic,seat,1.8,couch,0.20
branching,artifact,pragmatic,seat,1.8,chair,0.36
branching,artifact,pragmatic,seat,1.8,table,0.23
branching,artifact,pragmatic,seat,1.8,lawnmower,0.22
branching,artifact,explicit,seat,1.8,couch,0.24
branching,artifact,explicit,seat,1.8,chair,0.56
branching,artifact,explicit,seat,1.8,table,0.10
branching,artifact,explicit,seat,1.8,lawnmower,0.10
branching,artifact,literal,furniture,1.8,lawnmower,0.25
branching,artifact,literal,furniture,1.8,table,0.25
branching,artifact,literal,furniture,1.8,chair,0.25
branching,artifact,literal,furniture,1.8,couch,0.25
branching,artifact,pragmatic,furniture,1.8,couch,0.29
