type,modelLevel,utterance,rationality,response,modelProb
branching,pragmatic,Q4,1.2,A4,0.26
branching,explicit,Q4,1.2,A1,0.25
branching,explicit,Q4,1.2,A2,0.25
branching,explicit,Q4,1.2,A3,0.25
branching,explicit,Q4,1.2,A4,0.25
branching,literal,Q3,1.2,A4,0.25
branching,literal,Q3,1.2,A3,0.25
branching,literal,Q3,1.2,A2,0.25
branching,literal,Q3,1.2,A1,0.25
branching,pragmatic,Q3,1.2,A1,0.24
branching,pragmatic,Q3,1.2,A2,0.25
branching,pragmatic,Q3,1.2,A3,0.26
branching,pragmatic,Q3,1.2,A4,0.25
branching,explicit,Q3,1.2,A1,0.28
branching,explicit,Q3,1.2,A2,0.28
branching,explicit,Q3,1.2,A3,0.28
branching,explicit,Q3,1.2,A4,0.15
branching,literal,Q2,1.2,A4,0.25
branching,literal,Q2,1.2,A3,0.25
branching,literal,Q2,1.2,A2,0.25
branching,literal,Q2,1.2,A1,0.25
branching,pragmatic,Q2,1.2,A1,0.25
branching,pragmatic,Q2,1.2,A2,0.26
branching,pragmatic,Q2,1.2,A3,0.24
branching,pragmatic,Q2,1.2,A4,0.25
branching,explicit,Q2,1.2,A1,0.35
branching,explicit,Q2,1.2,A2,0.35
branching,explicit,Q2,1.2,A3,0.15
branching,explicit,Q2,1.2,A4,0.15
branching,literal,Q1,1.2,A4,0.25
branching,literal,Q1,1.2,A3,0.25
branching,literal,Q1,1.2,A2,0.25
branching,literal,Q1,1.2,A1,0.25
branching,pragmatic,Q1,1.2,A1,0.28
branching,pragmatic,Q1,1.2,A2,0.24
branching,pragmatic,Q1,1.2,A3,0.24
branching,pragmatic,Q1,1.2,A4,0.25
branching,explicit,Q1,1.2,A1,0.55
branching,explicit,Q1,1.2,A2,0.15
branching,explicit,Q1,1.2,A3,0.15
branching,explicit,Q1,1.2,A4,0.15
branching,literal,Q4,1.3,A4,0.25
branching,literal,Q4,1.3,A3,0.25
branching,literal,Q4,1.3,A2,0.25
branching,literal,Q4,1.3,A1,0.25
branching,pragmatic,Q4,1.3,A1,0.23
branching,pragmatic,Q4,1.3,A2,0.25
branching,pragmatic,Q4,1.3,A3,0.26
branching,pragmatic,Q4,1.3,A4,0.26
branching,explicit,Q4,1.3,A1,0.25
branching,explicit,Q4,1.3,A2,0.25
branching,explicit,Q4,1.3,A3,0.25
branching,explicit,Q4,1.3,A4,0.25
branching,literal,Q3,1.3,A4,0.25
branching,literal,Q3,1.3,A3,0.25
branching,literal,Q3,1.3,A2,0.25
branching,literal,Q3,1.3,A1,0.25
branching,pragmatic,Q3,1.3,A1,0.24
branching,pragmatic,Q3,1.3,A2,0.25
branching,pragmatic,Q3,1.3,A3,0.26
branching,pragmatic,Q3,1.3,A4,0.25
branching,explicit,Q3,1.3,A1,0.29
branching,explicit,Q3,1.3,A2,0.29
branching,explicit,Q3,1.3,A3,0.29
branching,explicit,Q3,1.3,A4,0.14
branching,literal,Q2,1.3,A4,0.25
branching,literal,Q2,1.3,A3,0.25
branching,literal,Q2,1.3,A2,0.25
branching,literal,Q2,1.3,A1,0.25
branching,pragmatic,Q2,1.3,A1,0.25
branching,pragmatic,Q2,1.3,A2,0.27
branching,pragmatic,Q2,1.3,A3,0.24
branching,pragmatic,Q2,1.3,A4,0.25
branching,explicit,Q2,1.3,A1,0.36
branching,explicit,Q2,1.3,A2,0.36
branching,explicit,Q2,1.3,A3,0.14
branching,explicit,Q2,1.3,A4,0.14
branching,literal,Q1,1.3,A4,0.25
branching,literal,Q1,1.3,A3,0.25
branching,literal,Q1,1.3,A2,0.25
branching,literal,Q1,1.3,A1,0.25
branching,pragmatic,Q1,1.3,A1,0.29
branching,pragmatic,Q1,1.3,A2,0.23
branching,pragmatic,Q1,1.3,A3,0.24
branching,pragmatic,Q1,1.3,A4,0.24
branching,explicit,Q1,1.3,A1,0.58
branching,explicit,Q1,1.3,A2,0.14
branching,explicit,Q1,1.3,A3,0.14
branching,explicit,Q1,1.3,A4,0.14
branching,literal,Q4,1.4,A4,0.25
branching,literal,Q4,1.4,A3,0.25
branching,literal,Q4,1.4,A2,0.25
branching,literal,Q4,1.4,A1,0.25
branching,pragmatic,Q4,1.4,A1,0.23
branching,pragmatic,Q4,1.4,A2,0.25
branching,pragmatic,Q4,1.4,A3,0.26
branching,pragmatic,Q4,1.4,A4,0.27
branching,explicit,Q4,1.4,A1,0.25
branching,explicit,Q4,1.4,A2,0.25
branching,explicit,Q4,1.4,A3,0.25
branching,explicit,Q4,1.4,A4,0.25
branching,literal,Q3,1.4,A4,0.25
branching,literal,Q3,1.4,A3,0.25
branching,literal,Q3,1.4,A2,0.25
branching,literal,Q3,1.4,A1,0.25
branching,pragmatic,Q3,1.4,A1,0.23
branching,pragmatic,Q3,1.4,A2,0.26
branching,pragmatic,Q3,1.4,A3,0.27
branching,pragmatic,Q3,1.4,A4,0.24
branching,explicit,Q3,1.4,A1,0.29
branching,explicit,Q3,1.4,A2,0.29
branching,explicit,Q3,1.4,A3,0.29
branching,explicit,Q3,1.4,A4,0.13
branching,literal,Q2,1.4,A4,0.25
branching,literal,Q2,1.4,A3,0.25
branching,literal,Q2,1.4,A2,0.25
branching,literal,Q2,1.4,A1,0.25
branching,pragmatic,Q2,1.4,A1,0.25
branching,pragmatic,Q2,1.4,A2,0.27
branching,pragmatic,Q2,1.4,A3,0.24
branching,pragmatic,Q2,1.4,A4,0.24
branching,explicit,Q2,1.4,A1,0.37
branching,explicit,Q2,1.4,A2,0.37
branching,explicit,Q2,1.4,A3,0.13
branching,explicit,Q2,1.4,A4,0.13
branching,literal,Q1,1.4,A4,0.25
branching,literal,Q1,1.4,A3,0.25
branching,literal,Q1,1.4,A2,0.25
branching,literal,Q1,1.4,A1,0.25
branching,pragmatic,Q1,1.4,A1,0.29
branching,pragmatic,Q1,1.4,A2,0.23
branching,pragmatic,Q1,1.4,A3,0.24
branching,pragmatic,Q1,1.4,A4,0.24
branching,explicit,Q1,1.4,A1,0.61
branching,explicit,Q1,1.4,A2,0.13
branching,explicit,Q1,1.4,A3,0.13
branching,explicit,Q1,1.4,A4,0.13
branching,literal,Q4,1.5,A4,0.25
branching,literal,Q4,1.5,A3,0.25
branching,literal,Q4,1.5,A2,0.25
branching,literal,Q4,1.5,A1,0.25
branching,pragmatic,Q4,1.5,A1,0.22
branching,pragmatic,Q4,1.5,A2,0.25
branching,pragmatic,Q4,1.5,A3,0.26
branching,pragmatic,Q4,1.5,A4,0.27
branching,explicit,Q4,1.5,A1,0.25
branching,explicit,Q4,1.5,A2,0.25
branching,explicit,Q4,1.5,A3,0.25
branching,explicit,Q4,1.5,A4,0.25
branching,literal,Q3,1.5,A4,0.25
branching,literal,Q3,1.5,A3,0.25
branching,literal,Q3,1.5,A2,0.25
branching,literal,Q3,1.5,A1,0.25
branching,pragmatic,Q3,1.5,A1,0.23
branching,pragmatic,Q3,1.5,A2,0.26
branching,pragmatic,Q3,1.5,A3,0.27
branching,pragmatic,Q3,1.5,A4,0.24
branching,explicit,Q3,1.5,A1,0.29
branching,explicit,Q3,1.5,A2,0.29
branching,explicit,Q3,1.5,A3,0.29
branching,explicit,Q3,1.5,A4,0.12
branching,literal,Q2,1.5,A4,0.25
branching,literal,Q2,1.5,A3,0.25
branching,literal,Q2,1.5,A2,0.25
branching,literal,Q2,1.5,A1,0.25
branching,pragmatic,Q2,1.5,A1,0.24
branching,pragmatic,Q2,1.5,A2,0.28
branching,pragmatic,Q2,1.5,A3,0.24
branching,pragmatic,Q2,1.5,A4,0.24
branching,explicit,Q2,1.5,A1,0.38
branching,explicit,Q2,1.5,A2,0.38
branching,explicit,Q2,1.5,A3,0.12
branching,explicit,Q2,1.5,A4,0.12
branching,literal,Q1,1.5,A4,0.25
branching,literal,Q1,1.5,A3,0.25
branching,literal,Q1,1.5,A2,0.25
branching,literal,Q1,1.5,A1,0.25
branching,pragmatic,Q1,1.5,A1,0.30
branching,pragmatic,Q1,1.5,A2,0.22
branching,pragmatic,Q1,1.5,A3,0.23
branching,pragmatic,Q1,1.5,A4,0.24
branching,explicit,Q1,1.5,A1,0.63
branching,explicit,Q1,1.5,A2,0.12
branching,explicit,Q1,1.5,A3,0.12
branching,explicit,Q1,1.5,A4,0.12
branching,literal,Q4,1.6,A4,0.25
branching,literal,Q4,1.6,A3,0.25
branching,literal,Q4,1.6,A2,0.25
branching,literal,Q4,1.6,A1,0.25
branching,pragmatic,Q4,1.6,A1,0.21
branching,pragmatic,Q4,1.6,A2,0.25
branching,pragmatic,Q4,1.6,A3,0.26
branching,pragmatic,Q4,1.6,A4,0.28
branching,explicit,Q4,1.6,A1,0.25
branching,explicit,Q4,1.6,A2,0.25
branching,explicit,Q4,1.6,A3,0.25
branching,explicit,Q4,1.6,A4,0.25
branching,literal,Q3,1.6,A4,0.25
branching,literal,Q3,1.6,A3,0.25
branching,literal,Q3,1.6,A2,0.25
branching,literal,Q3,1.6,A1,0.25
branching,pragmatic,Q3,1.6,A1,0.22
branching,pragmatic,Q3,1.6,A2,0.26
branching,pragmatic,Q3,1.6,A3,0.28
branching,pragmatic,Q3,1.6,A4,0.24
branching,explicit,Q3,1.6,A1,0.30
branching,explicit,Q3,1.6,A2,0.30
branching,explicit,Q3,1.6,A3,0.30
branching,explicit,Q3,1.6,A4,0.11
branching,literal,Q2,1.6,A4,0.25
branching,literal,Q2,1.6,A3,0.25
branching,literal,Q2,1.6,A2,0.25
branching,literal,Q2,1.6,A1,0.25
branching,pragmatic,Q2,1.6,A1,0.24
branching,pragmatic,Q2,1.6,A2,0.28
branching,pragmatic,Q2,1.6,A3,0.23
branching,pragmatic,Q2,1.6,A4,0.24
branching,explicit,Q2,1.6,A1,0.39
branching,explicit,Q2,1.6,A2,0.39
branching,explicit,Q2,1.6,A3,0.11
branching,explicit,Q2,1.6,A4,0.11
branching,literal,Q1,1.6,A4,0.25
branching,literal,Q1,1.6,A3,0.25
branching,literal,Q1,1.6,A2,0.25
branching,literal,Q1,1.6,A1,0.25
branching,pragmatic,Q1,1.6,A1,0.32
branching,pragmatic,Q1,1.6,A2,0.22
branching,pragmatic,Q1,1.6,A3,0.23
branching,pragmatic,Q1,1.6,A4,0.24
branching,explicit,Q1,1.6,A1,0.66
branching,explicit,Q1,1.6,A2,0.11
branching,explicit,Q1,1.6,A3,0.11
branching,explicit,Q1,1.6,A4,0.11
branching,literal,Q4,1.7,A4,0.25
branching,literal,Q4,1.7,A3,0.25
branching,literal,Q4,1.7,A2,0.25
branching,literal,Q4,1.7,A1,0.25
branching,pragmatic,Q4,1.7,A1,0.21
branching,pragmatic,Q4,1.7,A2,0.24
branching,pragmatic,Q4,1.7,A3,0.27
branching,pragmatic,Q4,1.7,A4,0.28
branching,explicit,Q4,1.7,A1,0.25
branching,explicit,Q4,1.7,A2,0.25
branching,explicit,Q4,1.7,A3,0.25
branching,explicit,Q4,1.7,A4,0.25
branching,literal,Q3,1.7,A4,0.25
branching,literal,Q3,1.7,A3,0.25
branching,literal,Q3,1.7,A2,0.25
branching,literal,Q3,1.7,A1,0.25
branching,pragmatic,Q3,1.7,A1,0.22
branching,pragmatic,Q3,1.7,A2,0.26
branching,pragmatic,Q3,1.7,A3,0.28
branching,pragmatic,Q3,1.7,A4,0.24
branching,explicit,Q3,1.7,A1,0.30
branching,explicit,Q3,1.7,A2,0.30
branching,explicit,Q3,1.7,A3,0.30
branching,explicit,Q3,1.7,A4,0.11
branching,literal,Q2,1.7,A4,0.25
branching,literal,Q2,1.7,A3,0.25
branching,literal,Q2,1.7,A2,0.25
branching,literal,Q2,1.7,A1,0.25
branching,pragmatic,Q2,1.7,A1,0.24
branching,pragmatic,Q2,1.7,A2,0.29
branching,pragmatic,Q2,1.7,A3,0.23
branching,pragmatic,Q2,1.7,A4,0.24
branching,explicit,Q2,1.7,A1,0.39
branching,explicit,Q2,1.7,A2,0.39
branching,explicit,Q2,1.7,A3,0.11
branching,explicit,Q2,1.7,A4,0.11
branching,literal,Q1,1.7,A4,0.25
branching,literal,Q1,1.7,A3,0.25
branching,literal,Q1,1.7,A2,0.25
branching,literal,Q1,1.7,A1,0.25
branching,pragmatic,Q1,1.7,A1,0.33
branching,pragmatic,Q1,1.7,A2,0.21
branching,pragmatic,Q1,1.7,A3,0.22
branching,pragmatic,Q1,1.7,A4,0.24
branching,explicit,Q1,1.7,A1,0.68
branching,explicit,Q1,1.7,A2,0.11
branching,explicit,Q1,1.7,A3,0.11
branching,explicit,Q1,1.7,A4,0.11
branching,literal,Q4,1.8,A4,0.25
branching,literal,Q4,1.8,A3,0.25
branching,literal,Q4,1.8,A2,0.25
branching,literal,Q4,1.8,A1,0.25
branching,pragmatic,Q4,1.8,A1,0.20
branching,pragmatic,Q4,1.8,A2,0.24
branching,pragmatic,Q4,1.8,A3,0.27
branching,pragmatic,Q4,1.8,A4,0.29
branching,explicit,Q4,1.8,A1,0.25
branching,explicit,Q4,1.8,A2,0.25
branching,explicit,Q4,1.8,A3,0.25
branching,explicit,Q4,1.8,A4,0.25
branching,literal,Q3,1.8,A4,0.25
branching,literal,Q3,1.8,A3,0.25
branching,literal,Q3,1.8,A2,0.25
branching,literal,Q3,1.8,A1,0.25
branching,pragmatic,Q3,1.8,A1,0.21
branching,pragmatic,Q3,1.8,A2,0.26
branching,pragmatic,Q3,1.8,A3,0.29
branching,pragmatic,Q3,1.8,A4,0.24
branching,explicit,Q3,1.8,A1,0.30
branching,explicit,Q3,1.8,A2,0.30
branching,explicit,Q3,1.8,A3,0.30
branching,explicit,Q3,1.8,A4,0.10
branching,literal,Q2,1.8,A4,0.25
branching,literal,Q2,1.8,A3,0.25
branching,literal,Q2,1.8,A2,0.25
branching,literal,Q2,1.8,A1,0.25
branching,pragmatic,Q2,1.8,A1,0.24
branching,pragmatic,Q2,1.8,A2,0.30
branching,pragmatic,Q2,1.8,A3,0.23
branching,pragmatic,Q2,1.8,A4,0.24
branching,explicit,Q2,1.8,A1,0.40
branching,explicit,Q2,1.8,A2,0.40
branching,explicit,Q2,1.8,A3,0.10
branching,explicit,Q2,1.8,A4,0.10
branching,literal,Q1,1.8,A4,0.25
branching,literal,Q1,1.8,A3,0.25
branching,literal,Q1,1.8,A2,0.25
branching,literal,Q1,1.8,A1,0.25
branching,pragmatic,Q1,1.8,A1,0.34
branching,pragmatic,Q1,1.8,A2,0.20
branching,pragmatic,Q1,1.8,A3,0.22
branching,pragmatic,Q1,1.8,A4,0.23
branching,explicit,Q1,1.8,A1,0.71
branching,explicit,Q1,1.8,A2,0.10
branching,explicit,Q1,1.8,A3,0.10
branching,explicit,Q1,1.8,A4,0.10
branching,literal,Q4,1.9,A4,0.25
branching,literal,Q4,1.9,A3,0.25
branching,literal,Q4,1.9,A2,0.25
branching,literal,Q4,1.9,A1,0.25
branching,pragmatic,Q4,1.9,A1,0.19
branching,pragmatic,Q4,1.9,A2,0.24
branching,pragmatic,Q4,1.9,A3,0.27
branching,pragmatic,Q4,1.9,A4,0.29
branching,explicit,Q4,1.9,A1,0.25
branching,explicit,Q4,1.9,A2,0.25
branching,explicit,Q4,1.9,A3,0.25
branching,explicit,Q4,1.9,A4,0.25
branching,literal,Q3,1.9,A4,0.25
branching,literal,Q3,1.9,A3,0.25
branching,literal,Q3,1.9,A2,0.25
branching,literal,Q3,1.9,A1,0.25
branching,pragmatic,Q3,1.9,A1,0.21
branching,pragmatic,Q3,1.9,A2,0.26
branching,pragmatic,Q3,1.9,A3,0.29
branching,pragmatic,Q3,1.9,A4,0.24
branching,explicit,Q3,1.9,A1,0.30
branching,explicit,Q3,1.9,A2,0.30
branching,explicit,Q3,1.9,A3,0.30
branching,explicit,Q3,1.9,A4,0.09
branching,literal,Q2,1.9,A4,0.25
branching,literal,Q2,1.9,A3,0.25
branching,literal,Q2,1.9,A2,0.25
branching,literal,Q2,1.9,A1,0.25
branching,pragmatic,Q2,1.9,A1,0.24
branching,pragmatic,Q2,1.9,A2,0.30
branching,pragmatic,Q2,1.9,A3,0.22
branching,pragmatic,Q2,1.9,A4,0.24
branching,explicit,Q2,1.9,A1,0.41
branching,explicit,Q2,1.9,A2,0.41
branching,explicit,Q2,1.9,A3,0.09
branching,explicit,Q2,1.9,A4,0.09
branching,literal,Q1,1.9,A4,0.25
branching,literal,Q1,1.9,A3,0.25
branching,literal,Q1,1.9,A2,0.25
branching,literal,Q1,1.9,A1,0.25
branching,pragmatic,Q1,1.9,A1,0.36
branching,pragmatic,Q1,1.9,A2,0.19
branching,pragmatic,Q1,1.9,A3,0.21
branching,pragmatic,Q1,1.9,A4,0.23
branching,explicit,Q1,1.9,A1,0.73
branching,explicit,Q1,1.9,A2,0.09
branching,explicit,Q1,1.9,A3,0.09
branching,explicit,Q1,1.9,A4,0.09
branching,literal,Q4,2.0,A4,0.25
branching,literal,Q4,2.0,A3,0.25
branching,literal,Q4,2.0,A2,0.25
branching,literal,Q4,2.0,A1,0.25
branching,pragmatic,Q4,2.0,A1,0.19
branching,pragmatic,Q4,2.0,A2,0.24
branching,pragmatic,Q4,2.0,A3,0.27
branching,pragmatic,Q4,2.0,A4,0.30
branching,explicit,Q4,2.0,A1,0.25
branching,explicit,Q4,2.0,A2,0.25
branching,explicit,Q4,2.0,A3,0.25
branching,explicit,Q4,2.0,A4,0.25
branching,literal,Q3,2.0,A4,0.25
branching,literal,Q3,2.0,A3,0.25
branching,literal,Q3,2.0,A2,0.25
branching,literal,Q3,2.0,A1,0.25
branching,pragmatic,Q3,2.0,A1,0.20
branching,pragmatic,Q3,2.0,A2,0.26
branching,pragmatic,Q3,2.0,A3,0.30
branching,pragmatic,Q3,2.0,A4,0.24
branching,explicit,Q3,2.0,A1,0.31
branching,explicit,Q3,2.0,A2,0.31
branching,explicit,Q3,2.0,A3,0.31
branching,explicit,Q3,2.0,A4,0.08
branching,literal,Q2,2.0,A4,0.25
branching,literal,Q2,2.0,A3,0.25
branching,literal,Q2,2.0,A2,0.25
branching,literal,Q2,2.0,A1,0.25
branching,pragmatic,Q2,2.0,A1,0.23
branching,pragmatic,Q2,2.0,A2,0.31
branching,pragmatic,Q2,2.0,A3,0.22
branching,pragmatic,Q2,2.0,A4,0.24
branching,explicit,Q2,2.0,A1,0.42
branching,explicit,Q2,2.0,A2,0.42
branching,explicit,Q2,2.0,A3,0.08
branching,explicit,Q2,2.0,A4,0.08
branching,literal,Q1,2.0,A4,0.25
branching,literal,Q1,2.0,A3,0.25
branching,literal,Q1,2.0,A2,0.25
branching,literal,Q1,2.0,A1,0.25
branching,pragmatic,Q1,2.0,A1,0.38
branching,pragmatic,Q1,2.0,A2,0.19
branching,pragmatic,Q1,2.0,A3,0.21
branching,pragmatic,Q1,2.0,A4,0.23
branching,explicit,Q1,2.0,A1,0.75
branching,explicit,Q1,2.0,A2,0.08
branching,explicit,Q1,2.0,A3,0.08
branching,explicit,Q1,2.0,A4,0.08
branching,literal,Q4,2.1,A4,0.25
branching,literal,Q4,2.1,A3,0.25
branching,literal,Q4,2.1,A2,0.25
branching,literal,Q4,2.1,A1,0.25
branching,pragmatic,Q4,2.1,A1,0.18
branching,pragmatic,Q4,2.1,A2,0.24
branching,pragmatic,Q4,2.1,A3,0.28
branching,pragmatic,Q4,2.1,A4,0.31
branching,explicit,Q4,2.1,A1,0.25
branching,explicit,Q4,2.1,A2,0.25
branching,explicit,Q4,2.1,A3,0.25
branching,explicit,Q4,2.1,A4,0.25
branching,literal,Q3,2.1,A4,0.25
branching,literal,Q3,2.1,A3,0.25
branching,literal,Q3,2.1,A2,0.25
branching,literal,Q3,2.1,A1,0.25
branching,pragmatic,Q3,2.1,A1,0.19
branching,pragmatic,Q3,2.1,A2,0.26
branching,pragmatic,Q3,2.1,A3,0.31
branching,pragmatic,Q3,2.1,A4,0.23
branching,explicit,Q3,2.1,A1,0.31
branching,explicit,Q3,2.1,A2,0.31
branching,explicit,Q3,2.1,A3,0.31
branching,explicit,Q3,2.1,A4,0.08
branching,literal,Q2,2.1,A4,0.25
branching,literal,Q2,2.1,A3,0.25
branching,literal,Q2,2.1,A2,0.25
branching,literal,Q2,2.1,A1,0.25
branching,pragmatic,Q2,2.1,A1,0.23
branching,pragmatic,Q2,2.1,A2,0.32
branching,pragmatic,Q2,2.1,A3,0.21
branching,pragmatic,Q2,2.1,A4,0.23
branching,explicit,Q2,2.1,A1,0.42
branching,explicit,Q2,2.1,A2,0.42
branching,explicit,Q2,2.1,A3,0.08
branching,explicit,Q2,2.1,A4,0.08
branching,literal,Q1,2.1,A4,0.25
branching,literal,Q1,2.1,A3,0.25
branching,literal,Q1,2.1,A2,0.25
branching,literal,Q1,2.1,A1,0.25
branching,pragmatic,Q1,2.1,A1,0.39
branching,pragmatic,Q1,2.1,A2,0.18
branching,pragmatic,Q1,2.1,A3,0.20
branching,pragmatic,Q1,2.1,A4,0.22
branching,explicit,Q1,2.1,A1,0.77
branching,explicit,Q1,2.1,A2,0.08
branching,explicit,Q1,2.1,A3,0.08
branching,explicit,Q1,2.1,A4,0.08
branching,literal,Q4,2.2,A4,0.25
branching,literal,Q4,2.2,A3,0.25
branching,literal,Q4,2.2,A2,0.25
branching,literal,Q4,2.2,A1,0.25
branching,pragmatic,Q4,2.2,A1,0.17
branching,pragmatic,Q4,2.2,A2,0.24
branching,pragmatic,Q4,2.2,A3,0.28
branching,pragmatic,Q4,2.2,A4,0.32
branching,explicit,Q4,2.2,A1,0.25
branching,explicit,Q4,2.2,A2,0.25
branching,explicit,Q4,2.2,A3,0.25
branching,explicit,Q4,2.2,A4,0.25
branching,literal,Q3,2.2,A4,0.25
branching,literal,Q3,2.2,A3,0.25
branching,literal,Q3,2.2,A2,0.25
branching,literal,Q3,2.2,A1,0.25
branching,pragmatic,Q3,2.2,A1,0.19
branching,pragmatic,Q3,2.2,A2,0.27
branching,pragmatic,Q3,2.2,A3,0.32
branching,pragmatic,Q3,2.2,A4,0.23
branching,explicit,Q3,2.2,A1,0.31
branching,explicit,Q3,2.2,A2,0.31
branching,explicit,Q3,2.2,A3,0.31
branching,explicit,Q3,2.2,A4,0.07
branching,literal,Q2,2.2,A4,0.25
branching,literal,Q2,2.2,A3,0.25
branching,literal,Q2,2.2,A2,0.25
branching,literal,Q2,2.2,A1,0.25
branching,pragmatic,Q2,2.2,A1,0.23
branching,pragmatic,Q2,2.2,A2,0.33
branching,pragmatic,Q2,2.2,A3,0.21
branching,pragmatic,Q2,2.2,A4,0.23
branching,explicit,Q2,2.2,A1,0.43
branching,explicit,Q2,2.2,A2,0.43
branching,explicit,Q2,2.2,A3,0.07
branching,explicit,Q2,2.2,A4,0.07
branching,literal,Q1,2.2,A4,0.25
branching,literal,Q1,2.2,A3,0.25
branching,literal,Q1,2.2,A2,0.25
branching,literal,Q1,2.2,A1,0.25
branching,pragmatic,Q1,2.2,A1,0.41
branching,pragmatic,Q1,2.2,A2,0.17
branching,pragmatic,Q1,2.2,A3,0.20
branching,pragmatic,Q1,2.2,A4,0.22
branching,explicit,Q1,2.2,A1,0.79
branching,explicit,Q1,2.2,A2,0.07
branching,explicit,Q1,2.2,A3,0.07
branching,explicit,Q1,2.2,A4,0.07
