questionerType,initState,goal,question,prob
explicit,"A1,A3,B1,B3,C2",rows,B2,0.50
pragmatic,"A1,A3,B1,B3,C2",rows,A2,0.50
pragmatic,"A1,A3,B1,B3,C2",rows,B2,0.50
explicit,"A1,A3,B1,B3",columns,C1,0.50
explicit,"A1,A3,B1,B3",columns,C3,0.50
pragmatic,"A1,A3,B1,B3",columns,C1,0.50
pragmatic,"A1,A3,B1,B3",columns,C3,0.50
explicit,"A1,A3,B1,B3",rows,A2,0.50
explicit,"A1,A3,B1,B3",rows,B2,0.50
pragmatic,"A1,A3,B1,B3",rows,A2,0.50
pragmatic,"A1,A3,B1,B3",rows,B2,0.50
explicit,"A1,A3,B1,C2,C3",columns,B3,0.50
explicit,"A1,A3,B1,C2,C3",columns,C1,0.50
pragmatic,"A1,A3,B1,C2,C3",columns,B3,0.99
pragmatic,"A1,A3,B1,C2,C3",columns,C1,0.01
explicit,"A1,A3,B1,C2,C3",rows,A2,0.50
explicit,"A1,A3,B1,C2,C3",rows,C1,0.50
pragmatic,"A1,A3,B1,C2,C3",rows,A2,0.99
pragmatic,"A1,A3,B1,C2,C3",rows,C1,0.01
explicit,"A1,A3,B1,C2",columns,C1,1.00
pragmatic,"A1,A3,B1,C2",columns,C1,0.99
explicit,"A1,A3,B1,C2",rows,A2,1.00
pragmatic,"A1,A3,B1,C2",rows,A2,0.99
explicit,"A1,A3,B1,C3",columns,B3,0.50
explicit,"A1,A3,B1,C3",columns,C1,0.50
pragmatic,"A1,A3,B1,C3",columns,B3,0.50
pragmatic,"A1,A3,B1,C3",columns,C1,0.50
explicit,"A1,A3,B1,C3",rows,A2,1.00
pragmatic,"A1,A3,B1,C3",rows,A2,1.00
explicit,"A1,A3,B1",columns,C1,1.00
pragmatic,"A1,A3,B1",columns,C1,1.00
explicit,"A1,A3,B1",rows,A2,1.00
pragmatic,"A1,A3,B1",rows,A2,1.00
explicit,"A1,A3,B2,B3,C1,C2",columns,A2,0.33
explicit,"A1,A3,B2,B3,C1,C2",columns,B1,0.33
explicit,"A1,A3,B2,B3,C1,C2",columns,C3,0.33
pragmatic,"A1,A3,B2,B3,C1,C2",columns,A2,0.33
pragmatic,"A1,A3,B2,B3,C1,C2",columns,B1,0.33
pragmatic,"A1,A3,B2,B3,C1,C2",columns,C3,0.33
explicit,"A1,A3,B2,B3,C1,C2",rows,A2,0.33
explicit,"A1,A3,B2,B3,C1,C2",rows,B1,0.33
explicit,"A1,A3,B2,B3,C1,C2",rows,C3,0.33
pragmatic,"A1,A3,B2,B3,C1,C2",rows,A2,0.33
pragmatic,"A1,A3,B2,B3,C1,C2",rows,B1,0.33
pragmatic,"A1,A3,B2,B3,C1,C2",rows,C3,0.33
explicit,"A1,A3,B2,B3,C1",columns,B1,0.50
explicit,"A1,A3,B2,B3,C1",columns,C3,0.50
pragmatic,"A1,A3,B2,B3,C1",columns,B1,0.01
pragmatic,"A1,A3,B2,B3,C1",columns,C3,0.99
explicit,"A1,A3,B2,B3,C1",rows,A2,0.50
explicit,"A1,A3,B2,B3,C1",rows,B1,0.50
pragmatic,"A1,A3,B2,B3,C1",rows,A2,0.99
pragmatic,"A1,A3,B2,B3,C1",rows,B1,0.01
explicit,"A1,A3,B2,B3,C2",columns,A2,0.50
explicit,"A1,A3,B2,B3,C2",columns,C3,0.50
pragmatic,"A1,A3,B2,B3,C2",columns,A2,0.01
pragmatic,"A1,A3,B2,B3,C2",columns,C3,0.99
explicit,"A1,A3,B2,B3,C2",rows,A2,0.50
explicit,"A1,A3,B2,B3,C2",rows,B1,0.50
pragmatic,"A1,A3,B2,B3,C2",rows,A2,0.01
pragmatic,"A1,A3,B2,B3,C2",rows,B1,0.99
explicit,"A1,A3,B2,B3",columns,C3,1.00
pragmatic,"A1,A3,B2,B3",columns,C3,1.00
explicit,"A1,A3,B2,B3",rows,A2,0.50
explicit,"A1,A3,B2,B3",rows,B1,0.50
pragmatic,"A1,A3,B2,B3",rows,A2,0.50
pragmatic,"A1,A3,B2,B3",rows,B1,0.50
explicit,"A1,A3,B2,C1,C2",columns,A2,0.50
explicit,"A1,A3,B2,C1,C2",columns,B1,0.50
pragmatic,"A1,A3,B2,C1,C2",columns,A2,0.01
pragmatic,"A1,A3,B2,C1,C2",columns,B1,0.99
explicit,"A1,A3,B2,C1,C2",rows,A2,0.50
explicit,"A1,A3,B2,C1,C2",rows,C3,0.50
pragmatic,"A1,A3,B2,C1,C2",rows,A2,0.01
pragmatic,"A1,A3,B2,C1,C2",rows,C3,0.99
explicit,"A1,A3,B2,C1,C3",columns,B1,0.50
explicit,"A1,A3,B2,C1,C3",columns,B3,0.50
pragmatic,"A1,A3,B2,C1,C3",columns,B1,0.50
pragmatic,"A1,A3,B2,C1,C3",columns,B3,0.50
explicit,"A1,A3,B2,C1,C3",rows,A2,0.50
explicit,"A1,A3,B2,C1,C3",rows,C2,0.50
pragmatic,"A1,A3,B2,C1,C3",rows,A2,0.50
pragmatic,"A1,A3,B2,C1,C3",rows,C2,0.50
explicit,"A1,A3,B2,C1",columns,B1,1.00
pragmatic,"A1,A3,B2,C1",columns,B1,0.99
explicit,"A1,A3,B2,C1",rows,A2,1.00
pragmatic,"A1,A3,B2,C1",rows,A2,0.99
explicit,"A1,A3,B2,C2,C3",columns,A2,0.50
explicit,"A1,A3,B2,C2,C3",columns,B3,0.50
pragmatic,"A1,A3,B2,C2,C3",columns,A2,0.01
pragmatic,"A1,A3,B2,C2,C3",columns,B3,0.99
explicit,"A1,A3,B2,C2,C3",rows,A2,0.50
explicit,"A1,A3,B2,C2,C3",rows,C1,0.50
pragmatic,"A1,A3,B2,C2,C3",rows,A2,0.01
pragmatic,"A1,A3,B2,C2,C3",rows,C1,0.99
