type,domain,modelLevel,goal,rationality,response,modelProb
branching,artifact,literal,table,1.2,thing,0.25
branching,artifact,literal,table,1.2,seat,0.25
branching,artifact,literal,table,1.2,furniture,0.25
branching,artifact,literal,table,1.2,couch,0.25
branching,artifact,explicit,table,1.2,thing,0.26
branching,artifact,explicit,table,1.2,seat,0.24
branching,artifact,explicit,table,1.2,furniture,0.26
branching,artifact,explicit,table,1.2,couch,0.24
branching,artifact,pragmatic,table,1.2,thing,0.25
branching,artifact,pragmatic,table,1.2,seat,0.25
branching,artifact,pragmatic,table,1.2,furniture,0.25
branching,artifact,pragmatic,table,1.2,couch,0.25
branching,artifact,literal,lawnmower,1.2,thing,0.25
branching,artifact,literal,lawnmower,1.2,seat,0.25
branching,artifact,literal,lawnmower,1.2,furniture,0.25
branching,artifact,literal,lawnmower,1.2,couch,0.25
branching,artifact,explicit,lawnmower,1.2,thing,0.32
branching,artifact,explicit,lawnmower,1.2,seat,0.23
branching,artifact,explicit,lawnmower,1.2,furniture,0.23
branching,artifact,explicit,lawnmower,1.2,couch,0.23
branching,artifact,pragmatic,lawnmower,1.2,thing,0.26
branching,artifact,pragmatic,lawnmower,1.2,seat,0.25
branching,artifact,pragmatic,lawnmower,1.2,furniture,0.25
branching,artifact,pragmatic,lawnmower,1.2,couch,0.25
branching,artifact,literal,couch,1.3,thing,0.25
branching,artifact,literal,couch,1.3,seat,0.25
branching,artifact,literal,couch,1.3,furniture,0.25
branching,artifact,literal,couch,1.3,couch,0.25
branching,artifact,explicit,couch,1.3,thing,0.18
branching,artifact,explicit,couch,1.3,seat,0.21
branching,artifact,explicit,couch,1.3,furniture,0.28
branching,artifact,explicit,couch,1.3,couch,0.33
branching,artifact,pragmatic,couch,1.3,thing,0.24
branching,artifact,pragmatic,couch,1.3,seat,0.24
branching,artifact,pragmatic,couch,1.3,furniture,0.26
branching,artifact,pragmatic,couch,1.3,couch,0.26
branching,artifact,literal,chair,1.3,thing,0.25
branching,artifact,literal,chair,1.3,seat,0.25
branching,artifact,literal,chair,1.3,furniture,0.25
branching,artifact,literal,chair,1.3,couch,0.25
branching,artifact,explicit,chair,1.3,thing,0.23
branching,artifact,explicit,chair,1.3,seat,0.34
branching,artifact,explicit,chair,1.3,furniture,0.22
branching,artifact,explicit,chair,1.3,couch,0.21
branching,artifact,pragmatic,chair,1.3,thing,0.25
branching,artifact,pragmatic,chair,1.3,seat,0.26
branching,artifact,pragmatic,chair,1.3,furniture,0.25
branching,artifact,pragmatic,chair,1.3,couch,0.24
branching,artifact,literal,table,1.3,thing,0.25
branching,artifact,literal,table,1.3,seat,0.25
branching,artifact,literal,table,1.3,furniture,0.25
branching,artifact,literal,table,1.3,couch,0.25
branching,artifact,explicit,table,1.3,thing,0.27
branching,artifact,explicit,table,1.3,seat,0.24
branching,artifact,explicit,table,1.3,furniture,0.26
branching,artifact,explicit,table,1.3,couch,0.24
branching,artifact,pragmatic,table,1.3,thing,0.25
branching,artifact,pragmatic,table,1.3,seat,0.25
branching,artifact,pragmatic,table,1.3,furniture,0.25
branching,artifact,pragmatic,table,1.3,couch,0.25
branching,artifact,literal,lawnmower,1.3,thing,0.25
branching,artifact,literal,lawnmower,1.3,seat,0.25
branching,artifact,literal,lawnmower,1.3,furniture,0.25
branching,artifact,literal,lawnmower,1.3,couch,0.25
branching,artifact,explicit,lawnmower,1.3,thing,0.33
branching,artifact,explicit,lawnmower,1.3,seat,0.22
branching,artifact,explicit,lawnmower,1.3,furniture,0.22
branching,artifact,explicit,lawnmower,1.3,couch,0.22
branching,artifact,pragmatic,lawnmower,1.3,thing,0.26
branching,artifact,pragmatic,lawnmower,1.3,seat,0.25
branching,artifact,pragmatic,lawnmower,1.3,furniture,0.25
branching,artifact,pragmatic,lawnmower,1.3,couch,0.25
branching,artifact,literal,couch,1.4,thing,0.25
branching,artifact,literal,couch,1.4,seat,0.25
branching,artifact,literal,couch,1.4,furniture,0.25
branching,artifact,literal,couch,1.4,couch,0.25
branching,artifact,explicit,couch,1.4,thing,0.17
branching,artifact,explicit,couch,1.4,seat,0.20
branching,artifact,explicit,couch,1.4,furniture,0.28
branching,artifact,explicit,couch,1.4,couch,0.35
branching,artifact,pragmatic,couch,1.4,thing,0.23
branching,artifact,pragmatic,couch,1.4,seat,0.24
branching,artifact,pragmatic,couch,1.4,furniture,0.26
branching,artifact,pragmatic,couch,1.4,couch,0.27
branching,artifact,literal,chair,1.4,thing,0.25
branching,artifact,literal,chair,1.4,seat,0.25
branching,artifact,literal,chair,1.4,furniture,0.25
branching,artifact,literal,chair,1.4,couch,0.25
branching,artifact,explicit,chair,1.4,thing,0.23
branching,artifact,explicit,chair,1.4,seat,0.35
branching,artifact,explicit,chair,1.4,furniture,0.22
branching,artifact,explicit,chair,1.4,couch,0.20
branching,artifact,pragmatic,chair,1.4,thing,0.24
branching,artifact,pragmatic,chair,1.4,seat,0.27
branching,artifact,pragmatic,chair,1.4,furniture,0.24
branching,artifact,pragmatic,chair,1.4,couch,0.24
branching,artifact,literal,table,1.4,thing,0.25
branching,artifact,literal,table,1.4,seat,0.25
branching,artifact,literal,table,1.4,furniture,0.25
branching,artifact,literal,table,1.4,couch,0.25
branching,artifact,explicit,table,1.4,thing,0.27
branching,artifact,explicit,table,1.4,seat,0.23
branching,artifact,explicit,table,1.4,furniture,0.26
branching,artifact,explicit,table,1.4,couch,0.23
branching,artifact,pragmatic,table,1.4,thing,0.25
branching,artifact,pragmatic,table,1.4,seat,0.25
branching,artifact,pragmatic,table,1.4,furniture,0.25
branching,artifact,pragmatic,table,1.4,couch,0.25
branching,artifact,literal,lawnmower,1.4,thing,0.25
branching,artifact,literal,lawnmower,1.4,seat,0.25
branching,artifact,literal,lawnmower,1.4,furniture,0.25
branching,artifact,literal,lawnmower,1.4,couch,0.25
branching,artifact,explicit,lawnmower,1.4,thing,0.35
branching,artifact,explicit,lawnmower,1.4,seat,0.22
branching,artifact,explicit,lawnmower,1.4,furniture,0.22
branching,artifact,explicit,lawnmower,1.4,couch,0.22
branching,artifact,pragmatic,lawnmower,1.4,thing,0.27
branching,artifact,pragmatic,lawnmower,1.4,seat,0.24
branching,artifact,pragmatic,lawnmower,1.4,furniture,0.24
branching,artifact,pragmatic,lawnmower,1.4,couch,0.24
branching,artifact,literal,couch,1.5,thing,0.25
branching,artifact,literal,couch,1.5,seat,0.25
branching,artifact,literal,couch,1.5,furniture,0.25
branching,artifact,literal,couch,1.5,couch,0.25
branching,artifact,explicit,couch,1.5,thing,0.16
branching,artifact,explicit,couch,1.5,seat,0.19
branching,artifact,explicit,couch,1.5,furniture,0.29
branching,artifact,explicit,couch,1.5,couch,0.36
branching,artifact,pragmatic,couch,1.5,thing,0.23
branching,artifact,pragmatic,couch,1.5,seat,0.24
branching,artifact,pragmatic,couch,1.5,furniture,0.26
branching,artifact,pragmatic,couch,1.5,couch,0.27
branching,artifact,literal,chair,1.5,thing,0.25
branching,artifact,literal,chair,1.5,seat,0.25
branching,artifact,literal,chair,1.5,furniture,0.25
branching,artifact,literal,chair,1.5,couch,0.25
branching,artifact,explicit,chair,1.5,thing,0.22
branching,artifact,explicit,chair,1.5,seat,0.37
branching,artifact,explicit,chair,1.5,furniture,0.21
branching,artifact,explicit,chair,1.5,couch,0.19
branching,artifact,pragmatic,chair,1.5,thing,0.24
branching,artifact,pragmatic,chair,1.5,seat,0.28
branching,artifact,pragmatic,chair,1.5,furniture,0.24
branching,artifact,pragmatic,chair,1.5,couch,0.24
branching,artifact,literal,table,1.5,thing,0.25
branching,artifact,literal,table,1.5,seat,0.25
branching,artifact,literal,table,1.5,furniture,0.25
branching,artifact,literal,table,1.5,couch,0.25
branching,artifact,explicit,table,1.5,thing,0.27
branching,artifact,explicit,table,1.5,seat,0.23
branching,artifact,explicit,table,1.5,furniture,0.26
branching,artifact,explicit,table,1.5,couch,0.23
branching,artifact,pragmatic,table,1.5,thing,0.25
branching,artifact,pragmatic,table,1.5,seat,0.25
branching,artifact,pragmatic,table,1.5,furniture,0.25
branching,artifact,pragmatic,table,1.5,couch,0.25
branching,artifact,literal,lawnmower,1.5,thing,0.25
branching,artifact,literal,lawnmower,1.5,seat,0.25
branching,artifact,literal,lawnmower,1.5,furniture,0.25
branching,artifact,literal,lawnmower,1.5,couch,0.25
branching,artifact,explicit,lawnmower,1.5,thing,0.36
branching,artifact,explicit,lawnmower,1.5,seat,0.21
branching,artifact,explicit,lawnmower,1.5,furniture,0.21
branching,artifact,explicit,lawnmower,1.5,couch,0.21
branching,artifact,pragmatic,lawnmower,1.5,thing,0.27
branching,artifact,pragmatic,lawnmower,1.5,seat,0.24
branching,artifact,pragmatic,lawnmower,1.5,furniture,0.24
branching,artifact,pragmatic,lawnmower,1.5,couch,0.24
branching,artifact,literal,couch,1.6,thing,0.25
branching,artifact,literal,couch,1.6,seat,0.25
branching,artifact,literal,couch,1.6,furniture,0.25
branching,artifact,literal,couch,1.6,couch,0.25
branching,artifact,explicit,couch,1.6,thing,0.15
branching,artifact,explicit,couch,1.6,seat,0.18
branching,artifact,explicit,couch,1.6,furniture,0.29
branching,artifact,explicit,couch,1.6,couch,0.38
branching,artifact,pragmatic,couch,1.6,thing,0.23
branching,artifact,pragmatic,couch,1.6,seat,0.23
branching,artifact,pragmatic,couch,1.6,furniture,0.26
branching,artifact,pragmatic,couch,1.6,couch,0.28
branching,artifact,literal,chair,1.6,thing,0.25
branching,artifact,literal,chair,1.6,seat,0.25
branching,artifact,literal,chair,1.6,furniture,0.25
branching,artifact,literal,chair,1.6,couch,0.25
branching,artifact,explicit,chair,1.6,thing,0.22
branching,artifact,explicit,chair,1.6,seat,0.39
branching,artifact,explicit,chair,1.6,furniture,0.21
branching,artifact,explicit,chair,1.6,couch,0.19
branching,artifact,pragmatic,chair,1.6,thing,0.24
branching,artifact,pragmatic,chair,1.6,seat,0.28
branching,artifact,pragmatic,chair,1.6,furniture,0.24
branching,artifact,pragmatic,chair,1.6,couch,0.23
branching,artifact,literal,table,1.6,thing,0.25
branching,artifact,literal,table,1.6,seat,0.25
branching,artifact,literal,table,1.6,furniture,0.25
branching,artifact,literal,table,1.6,couch,0.25
branching,artifact,explicit,table,1.6,thing,0.28
branching,artifact,explicit,table,1.6,seat,0.23
branching,artifact,explicit,table,1.6,furniture,0.27
branching,artifact,explicit,table,1.6,couch,0.23
branching,artifact,pragmatic,table,1.6,thing,0.26
branching,artifact,pragmatic,table,1.6,seat,0.24
branching,artifact,pragmatic,table,1.6,furniture,0.26
branching,artifact,pragmatic,table,1.6,couch,0.24
branching,artifact,literal,lawnmower,1.6,thing,0.25
branching,artifact,literal,lawnmower,1.6,seat,0.25
branching,artifact,literal,lawnmower,1.6,furniture,0.25
branching,artifact,literal,lawnmower,1.6,couch,0.25
branching,artifact,explicit,lawnmower,1.6,thing,0.38
branching,artifact,explicit,lawnmower,1.6,seat,0.21
branching,artifact,explicit,lawnmower,1.6,furniture,0.21
branching,artifact,explicit,lawnmower,1.6,couch,0.21
branching,artifact,pragmatic,lawnmower,1.6,thing,0.28
branching,artifact,pragmatic,lawnmower,1.6,seat,0.24
branching,artifact,pragmatic,lawnmower,1.6,furniture,0.24
branching,artifact,pragmatic,lawnmower,1.6,couch,0.24
branching,artifact,literal,couch,1.7,thing,0.25
branching,artifact,literal,couch,1.7,seat,0.25
branching,artifact,literal,couch,1.7,furniture,0.25
branching,artifact,literal,couch,1.7,couch,0.25
branching,artifact,explicit,couch,1.7,thing,0.14
branching,artifact,explicit,couch,1.7,seat,0.17
branching,artifact,explicit,couch,1.7,furniture,0.29
branching,artifact,explicit,couch,1.7,couch,0.39
branching,artifact,pragmatic,couch,1.7,thing,0.22
branching,artifact,pragmatic,couch,1.7,seat,0.23
branching,artifact,pragmatic,couch,1.7,furniture,0.26
branching,artifact,pragmatic,couch,1.7,couch,0.29
branching,artifact,literal,chair,1.7,thing,0.25
branching,artifact,literal,chair,1.7,seat,0.25
branching,artifact,literal,chair,1.7,furniture,0.25
branching,artifact,literal,chair,1.7,couch,0.25
branching,artifact,explicit,chair,1.7,thing,0.21
branching,artifact,explicit,chair,1.7,seat,0.41
branching,artifact,explicit,chair,1.7,furniture,0.20
branching,artifact,explicit,chair,1.7,couch,0.18
branching,artifact,pragmatic,chair,1.7,thing,0.24
branching,artifact,pragmatic,chair,1.7,seat,0.29
branching,artifact,pragmatic,chair,1.7,furniture,0.24
branching,artifact,pragmatic,chair,1.7,couch,0.23
branching,artifact,literal,table,1.7,thing,0.25
branching,artifact,literal,table,1.7,seat,0.25
branching,artifact,literal,table,1.7,furniture,0.25
branching,artifact,literal,table,1.7,couch,0.25
branching,artifact,explicit,table,1.7,thing,0.28
branching,artifact,explicit,table,1.7,seat,0.23
branching,artifact,explicit,table,1.7,furniture,0.27
branching,artifact,explicit,table,1.7,couch,0.23
branching,artifact,pragmatic,table,1.7,thing,0.26
branching,artifact,pragmatic,table,1.7,seat,0.24
branching,artifact,pragmatic,table,1.7,furniture,0.26
branching,artifact,pragmatic,table,1.7,couch,0.24
branching,artifact,literal,lawnmower,1.7,thing,0.25
branching,artifact,literal,lawnmower,1.7,seat,0.25
branching,artifact,literal,lawnmower,1.7,furniture,0.25
branching,artifact,literal,lawnmower,1.7,couch,0.25
branching,artifact,explicit,lawnmower,1.7,thing,0.40
branching,artifact,explicit,lawnmower,1.7,seat,0.20
branching,artifact,explicit,lawnmower,1.7,furniture,0.20
branching,artifact,explicit,lawnmower,1.7,couch,0.20
branching,artifact,pragmatic,lawnmower,1.7,thing,0.29
branching,artifact,pragmatic,lawnmower,1.7,seat,0.24
branching,artifact,pragmatic,lawnmower,1.7,furniture,0.24
branching,artifact,pragmatic,lawnmower,1.7,couch,0.24
branching,artifact,literal,couch,1.8,thing,0.25
branching,artifact,literal,couch,1.8,seat,0.25
branching,artifact,literal,couch,1.8,furniture,0.25
branching,artifact,literal,couch,1.8,couch,0.25
branching,artifact,explicit,couch,1.8,thing,0.13
branching,artifact,explicit,couch,1.8,seat,0.16
branching,artifact,explicit,couch,1.8,furniture,0.30
branching,artifact,explicit,couch,1.8,couch,0.41
branching,artifact,pragmatic,couch,1.8,thing,0.21
branching,artifact,pragmatic,couch,1.8,seat,0.22
branching,artifact,pragmatic,couch,1.8,furniture,0.27
branching,artifact,pragmatic,couch,1.8,couch,0.30
branching,artifact,literal,chair,1.8,thing,0.25
branching,artifact,literal,chair,1.8,seat,0.25
branching,artifact,literal,chair,1.8,furniture,0.25
branching,artifact,literal,chair,1.8,couch,0.25
branching,artifact,explicit,chair,1.8,thing,0.20
branching,artifact,explicit,chair,1.8,seat,0.43
branching,artifact,explicit,chair,1.8,furniture,0.20
branching,artifact,explicit,chair,1.8,couch,0.17
branching,artifact,pragmatic,chair,1.8,thing,0.23
branching,artifact,pragmatic,chair,1.8,seat,0.31
branching,artifact,pragmatic,chair,1.8,furniture,0.24
branching,artifact,pragmatic,chair,1.8,couch,0.23
branching,artifact,literal,table,1.8,thing,0.25
branching,artifact,literal,table,1.8,seat,0.25
branching,artifact,literal,table,1.8,furniture,0.25
branching,artifact,literal,table,1.8,couch,0.25
branching,artifact,explicit,table,1.8,thing,0.28
branching,artifact,explicit,table,1.8,seat,0.22
branching,artifact,explicit,table,1.8,furniture,0.27
branching,artifact,explicit,table,1.8,couch,0.22
branching,artifact,pragmatic,table,1.8,thing,0.26
branching,artifact,pragmatic,table,1.8,seat,0.24
branching,artifact,pragmatic,table,1.8,furniture,0.26
branching,artifact,pragmatic,table,1.8,couch,0.24
branching,artifact,literal,lawnmower,1.8,thing,0.25
branching,artifact,literal,lawnmower,1.8,seat,0.25
branching,artifact,literal,lawnmower,1.8,furniture,0.25
branching,artifact,literal,lawnmower,1.8,couch,0.25
branching,artifact,explicit,lawnmower,1.8,thing,0.41
branching,artifact,explicit,lawnmower,1.8,seat,0.20
branching,artifact,explicit,lawnmower,1.8,furniture,0.20
branching,artifact,explicit,lawnmower,1.8,couch,0.20
branching,artifact,pragmatic,lawnmower,1.8,thing,0.30
branching,artifact,pragmatic,lawnmower,1.8,seat,0.23
branching,artifact,pragmatic,lawnmower,1.8,furniture,0.24
branching,artifact,pragmatic,lawnmower,1.8,couch,0.23
branching,artifact,literal,couch,1.9,thing,0.25
branching,artifact,literal,couch,1.9,seat,0.25
branching,artifact,literal,couch,1.9,furniture,0.25
branching,artifact,literal,couch,1.9,couch,0.25
branching,artifact,explicit,couch,1.9,thing,0.12
branching,artifact,explicit,couch,1.9,seat,0.16
branching,artifact,explicit,couch,1.9,furniture,0.30
branching,artifact,explicit,couch,1.9,couch,0.43
branching,artifact,pragmatic,couch,1.9,thing,0.20
branching,artifact,pragmatic,couch,1.9,seat,0.22
branching,artifact,pragmatic,couch,1.9,furniture,0.27
branching,artifact,pragmatic,couch,1.9,couch,0.31
branching,artifact,literal,chair,1.9,thing,0.25
branching,artifact,literal,chair,1.9,seat,0.25
branching,artifact,literal,chair,1.9,furniture,0.25
branching,artifact,literal,chair,1.9,couch,0.25
branching,artifact,explicit,chair,1.9,thing,0.20
branching,artifact,explicit,chair,1.9,seat,0.45
branching,artifact,explicit,chair,1.9,furniture,0.19
branching,artifact,explicit,chair,1.9,couch,0.16
branching,artifact,pragmatic,chair,1.9,thing,0.23
branching,artifact,pragmatic,chair,1.9,seat,0.32
branching,artifact,pragmatic,chair,1.9,furniture,0.23
branching,artifact,pragmatic,chair,1.9,couch,0.22
branching,artifact,literal,table,1.9,thing,0.25
branching,artifact,literal,table,1.9,seat,0.25
branching,artifact,literal,table,1.9,furniture,0.25
branching,artifact,literal,table,1.9,couch,0.25
branching,artifact,explicit,table,1.9,thing,0.29
branching,artifact,explicit,table,1.9,seat,0.22
branching,artifact,explicit,table,1.9,furniture,0.27
branching,artifact,explicit,table,1.9,couch,0.22
branching,artifact,pragmatic,table,1.9,thing,0.26
branching,artifact,pragmatic,table,1.9,seat,0.24
branching,artifact,pragmatic,table,1.9,furniture,0.26
branching,artifact,pragmatic,table,1.9,couch,0.24
branching,artifact,literal,lawnmower,1.9,thing,0.25
branching,artifact,literal,lawnmower,1.9,seat,0.25
branching,artifact,literal,lawnmower,1.9,furniture,0.25
branching,artifact,literal,lawnmower,1.9,couch,0.25
branching,artifact,explicit,lawnmower,1.9,thing,0.43
branching,artifact,explicit,lawnmower,1.9,seat,0.19
branching,artifact,explicit,lawnmower,1.9,furniture,0.19
branching,artifact,explicit,lawnmower,1.9,couch,0.19
branching,artifact,pragmatic,lawnmower,1.9,thing,0.31
branching,artifact,pragmatic,lawnmower,1.9,seat,0.23
branching,artifact,pragmatic,lawnmower,1.9,furniture,0.23
branching,artifact,pragmatic,lawnmower,1.9,couch,0.23
branching,artifact,literal,couch,2.0,thing,0.25
branching,artifact,literal,couch,2.0,seat,0.25
branching,artifact,literal,couch,2.0,furniture,0.25
branching,artifact,literal,couch,2.0,couch,0.25
branching,artifact,explicit,couch,2.0,thing,0.11
branching,artifact,explicit,couch,2.0,seat,0.15
branching,artifact,explicit,couch,2.0,furniture,0.30
branching,artifact,explicit,couch,2.0,couch,0.45
branching,artifact,pragmatic,couch,2.0,thing,0.20
branching,artifact,pragmatic,couch,2.0,seat,0.21
branching,artifact,pragmatic,couch,2.0,furniture,0.27
branching,artifact,pragmatic,couch,2.0,couch,0.33
branching,artifact,literal,chair,2.0,thing,0.25
branching,artifact,literal,chair,2.0,seat,0.25
branching,artifact,literal,chair,2.0,furniture,0.25
branching,artifact,literal,chair,2.0,couch,0.25
branching,artifact,explicit,chair,2.0,thing,0.19
branching,artifact,explicit,chair,2.0,seat,0.47
branching,artifact,explicit,chair,2.0,furniture,0.18
branching,artifact,explicit,chair,2.0,couch,0.15
branching,artifact,pragmatic,chair,2.0,thing,0.22
branching,artifact,pragmatic,chair,2.0,seat,0.34
branching,artifact,pragmatic,chair,2.0,furniture,0.23
branching,artifact,pragmatic,chair,2.0,couch,0.21
branching,artifact,literal,table,2.0,thing,0.25
branching,artifact,literal,table,2.0,seat,0.25
branching,artifact,literal,table,2.0,furniture,0.25
branching,artifact,literal,table,2.0,couch,0.25
branching,artifact,explicit,table,2.0,thing,0.29
branching,artifact,explicit,table,2.0,seat,0.22
branching,artifact,explicit,table,2.0,furniture,0.27
branching,artifact,explicit,table,2.0,couch,0.22
branching,artifact,pragmatic,table,2.0,thing,0.26
branching,artifact,pragmatic,table,2.0,seat,0.24
branching,artifact,pragmatic,table,2.0,furniture,0.27
branching,artifact,pragmatic,table,2.0,couch,0.24
branching,artifact,literal,lawnmower,2.0,thing,0.25
branching,artifact,literal,lawnmower,2.0,seat,0.25
branching,artifact,literal,lawnmower,2.0,furniture,0.25
branching,artifact,literal,lawnmower,2.0,couch,0.25
branching,artifact,explicit,lawnmower,2.0,thing,0.45
branching,artifact,explicit,lawnmower,2.0,seat,0.18
branching,artifact,explicit,lawnmower,2.0,furniture,0.18
branching,artifact,explicit,lawnmower,2.0,couch,0.18
branching,artifact,pragmatic,lawnmower,2.0,thing,0.32
branching,artifact,pragmatic,lawnmower,2.0,seat,0.22
branching,artifact,pragmatic,lawnmower,2.0,furniture,0.23
branching,artifact,pragmatic,lawnmower,2.0,couch,0.22
branching,artifact,literal,couch,2.1,thing,0.25
branching,artifact,literal,couch,2.1,seat,0.25
branching,artifact,literal,couch,2.1,furniture,0.25
branching,artifact,literal,couch,2.1,couch,0.25
branching,artifact,explicit,couch,2.1,thing,0.10
branching,artifact,explicit,couch,2.1,seat,0.14
branching,artifact,explicit,couch,2.1,furniture,0.30
