iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	text	timeFromRoundStart	eventType	cardAskedAbout
pilot0	4088-9de6a0f7-018a-4f82-8776-cc0812be7927	1544485491739	4	overlap	AD,5D	8H,5D	Where is the where is the eight s?	4452	chatMessage	8S
pilot0	4088-9de6a0f7-018a-4f82-8776-cc0812be7927	1544485535686	4	overlap	AD,5D	8H,5D	Where is the where is the five of diamonds?	6580	chatMessage	5D
pilot0	4088-9de6a0f7-018a-4f82-8776-cc0812be7927	1544485563295	4	overlap	AD,5D	8H,5D	Where is the ace of diamonds?	3226	chatMessage	AD
pilot0	4088-9de6a0f7-018a-4f82-8776-cc0812be7927	1544485590510	5	catch	9C	4H	Where is the nine of clubs?	4164	chatMessage	9C
pilot0	1697-ae209004-cc11-43d2-b371-d30b660daf3b	1544510053235	0	baseline	5C,KS	8S,10H	Where is the king of spades?	3620	chatMessage	KS
pilot0	1697-ae209004-cc11-43d2-b371-d30b660daf3b	1544510080772	0	baseline	5C,KS	8S,10H	Where is the five of clubs?	1907	chatMessage	5C
pilot0	1697-ae209004-cc11-43d2-b371-d30b660daf3b	1544510103164	0	baseline	5C,KS	8S,10H	Where is the hello??	2681	chatMessage	NA
pilot0	1697-ae209004-cc11-43d2-b371-d30b660daf3b	1544510165186	0	baseline	5C,KS	8S,10H	Where is the eight of spades?	2402	chatMessage	8S
pilot0	1697-ae209004-cc11-43d2-b371-d30b660daf3b	1544510195345	0	baseline	5C,KS	8S,10H	Where is the ten of hearts??	2908	chatMessage	10H
pilot0	1813-5354035c-6c03-436e-a5af-65bd562767b4	1544545993859	0	baseline	8S,JS	QD,2H	Where is the Where is the jack of spades?	6872	chatMessage	JS
pilot0	1813-5354035c-6c03-436e-a5af-65bd562767b4	1544546010634	1	catch	9S	JS	Where is the nine of spades?	2957	chatMessage	9S
pilot0	1813-5354035c-6c03-436e-a5af-65bd562767b4	1544546031997	2	overlap	10C,9D	QC,9D	Where is the where is the 10 of clubs?	8183	chatMessage	10C
pilot0	1813-5354035c-6c03-436e-a5af-65bd562767b4	1544546045755	3	overlap	JD,AD	4C,AD	Where is the jack of diamonds?	2217	chatMessage	JD
pilot0	1813-5354035c-6c03-436e-a5af-65bd562767b4	1544546060330	3	overlap	JD,AD	4C,AD	Where is the ace of diamonds?	2565	chatMessage	AD
pilot0	1813-5354035c-6c03-436e-a5af-65bd562767b4	1544546078427	4	catch	7H	7D	Where is the where is the 7 of hearts?	5902	chatMessage	7H
pilot0	1813-5354035c-6c03-436e-a5af-65bd562767b4	1544546093222	5	baseline	6S,9S	10D,5D	Where is the 6 of spades?	2179	chatMessage	6S
pilot0	1813-5354035c-6c03-436e-a5af-65bd562767b4	1544546102350	5	baseline	6S,9S	10D,5D	Where is the nine of spades?	1761	chatMessage	9S
pilot0	3211-507fe450-8a58-41df-9bf0-d1413abf4bfe	1544546032567	0	catch	AH	3C	Where is the 3 of clubs?	3702	chatMessage	3C
pilot0	3211-507fe450-8a58-41df-9bf0-d1413abf4bfe	1544546056428	0	catch	AH	3C	Where is the ace of hearts?	4271	chatMessage	AH
pilot0	3211-507fe450-8a58-41df-9bf0-d1413abf4bfe	1544546089287	1	catch	QD	7S	Where is the queen of diamonds?	8480	chatMessage	QD
pilot0	3211-507fe450-8a58-41df-9bf0-d1413abf4bfe	1544546125852	2	overlap	JD,4C	3C,4C	Where is the jack of diamonds?	8286	chatMessage	JD
pilot0	3211-507fe450-8a58-41df-9bf0-d1413abf4bfe	1544546152671	3	baseline	5C,10C	AS,8D	Where is the 5 of clubs?	7048	chatMessage	5C
pilot0	3211-507fe450-8a58-41df-9bf0-d1413abf4bfe	1544546173026	4	baseline	KC,AC	AD,10H	Where is the ace of clubs?	2949	chatMessage	AC
pilot0	3211-507fe450-8a58-41df-9bf0-d1413abf4bfe	1544546199530	5	overlap	7C,5H	QH,5H	Where is the 7 of clubs?	3791	chatMessage	7C
pilot0	7266-1974a33f-6fed-436e-b2ca-ab3082f6df4f	1544546095352	0	catch	JS	KC	Where is the Jack of clubs?	5568	chatMessage	JC
pilot0	7266-1974a33f-6fed-436e-b2ca-ab3082f6df4f	1544546144975	1	overlap	QS,10S	8D,10S	Where is the Where is the queen of spades??	5873	chatMessage	QS
pilot0	7266-1974a33f-6fed-436e-b2ca-ab3082f6df4f	1544546162283	2	overlap	9S,JS	5H,JS	Where is the nine of spades?	3584	chatMessage	9S
pilot0	7266-1974a33f-6fed-436e-b2ca-ab3082f6df4f	1544546181074	2	overlap	9S,JS	5H,JS	Where is the jack of spades?	3606	chatMessage	JS
pilot0	7266-1974a33f-6fed-436e-b2ca-ab3082f6df4f	1544546208881	3	baseline	9H,KH	10H,AS	Where is the nine of hearts?	1657	chatMessage	9H
pilot0	7266-1974a33f-6fed-436e-b2ca-ab3082f6df4f	1544546233557	4	baseline	KH,7S	8D,5D	Where is the king of hearts?	10797	chatMessage	KH
pilot0	7266-1974a33f-6fed-436e-b2ca-ab3082f6df4f	1544546246629	4	baseline	KH,7S	8D,5D	Where is the seven of spades?	5704	chatMessage	7S
pilot0	7266-1974a33f-6fed-436e-b2ca-ab3082f6df4f	1544546269461	5	catch	AC	2C	Where is the ace of clubs??	1628	chatMessage	AC
pilot0	4496-a709f39c-e92a-4353-b573-a1c4fe5f340d	1544546317475	0	overlap	5D,10H	AD,10H	Where is the 5 of diamonds?	9689	chatMessage	5D
pilot0	4496-a709f39c-e92a-4353-b573-a1c4fe5f340d	1544546344919	1	overlap	7D,JH	AH,JH	Where is the 7 of diamonds?	1384	chatMessage	7D
pilot0	4496-a709f39c-e92a-4353-b573-a1c4fe5f340d	1544546387995	2	catch	4C	AC	Where is the 4 of clubs?	11107	chatMessage	4C
pilot0	4496-a709f39c-e92a-4353-b573-a1c4fe5f340d	1544546420950	3	baseline	AC,9D	10C,6D	Where is the 9 of diamonds?	1105	chatMessage	9D
pilot0	4496-a709f39c-e92a-4353-b573-a1c4fe5f340d	1544546449540	4	baseline	5D,KH	4C,10C	Where is the king of hearts?	7780	chatMessage	KH
pilot0	4496-a709f39c-e92a-4353-b573-a1c4fe5f340d	1544546493123	5	catch	JC	8S	Where is the jack of clubs?	15899	chatMessage	JC
pilot0	8103-3539f1bb-6c02-410e-9284-8c3e88d027d3	1544546353527	0	baseline	9S,3D	4C,6D	Where is the 3 of diamonds?	3395	chatMessage	3D
pilot0	8103-3539f1bb-6c02-410e-9284-8c3e88d027d3	1544546371189	0	baseline	9S,3D	4C,6D	Where is the 9 of spades?	2878	chatMessage	9S
pilot0	8103-3539f1bb-6c02-410e-9284-8c3e88d027d3	1544546386162	1	catch	9H	6H	Where is the 9 of hearts?	1604	chatMessage	9H
pilot0	8103-3539f1bb-6c02-410e-9284-8c3e88d027d3	1544546406009	2	overlap	3C,3H	2C,3H	Where is the 3 of clubs?	3268	chatMessage	3C
pilot0	8103-3539f1bb-6c02-410e-9284-8c3e88d027d3	1544546417437	2	overlap	3C,3H	2C,3H	Where is the 3 of hearts?	2019	chatMessage	3H
pilot0	8103-3539f1bb-6c02-410e-9284-8c3e88d027d3	1544546430757	3	baseline	5C,5D	AH,3S	Where is the 5 of clubs?	1364	chatMessage	5C
pilot0	8103-3539f1bb-6c02-410e-9284-8c3e88d027d3	1544546448278	4	catch	5H	3S	Where is the 5 of hearts?	2566	chatMessage	5H
pilot0	8103-3539f1bb-6c02-410e-9284-8c3e88d027d3	1544546459957	5	overlap	JH,9C	5H,9C	Where is the jack of hearts?	2281	chatMessage	JH
pilot0	1709-20f1d731-c5fc-47b4-91b1-ad1f51c1db9d	1544546666395	0	overlap	3S,9H	9D,9H	Where is the Nine of hearts?	4870	chatMessage	9H
pilot0	1709-20f1d731-c5fc-47b4-91b1-ad1f51c1db9d	1544546711624	0	overlap	3S,9H	9D,9H	Where is the three of spades?	3240	chatMessage	3S
pilot0	1709-20f1d731-c5fc-47b4-91b1-ad1f51c1db9d	1544546739089	1	overlap	JD,7H	6S,7H	Where is the Where is the Jack of Diamonds??	11622	chatMessage	JD
pilot0	1709-20f1d731-c5fc-47b4-91b1-ad1f51c1db9d	1544546774843	1	overlap	JD,7H	6S,7H	Where is the 7 of hearts?	4815	chatMessage	7H
pilot0	1709-20f1d731-c5fc-47b4-91b1-ad1f51c1db9d	1544546803278	2	baseline	9H,8S	7C,5D	Where is the Nine of hearts?	6944	chatMessage	9H
pilot0	1709-20f1d731-c5fc-47b4-91b1-ad1f51c1db9d	1544546839459	3	baseline	7D,4S	JC,QD	Where is the 7 of diamonds?	4410	chatMessage	7D
pilot0	1709-20f1d731-c5fc-47b4-91b1-ad1f51c1db9d	1544546865225	4	catch	4D	3H	Where is the four of diamonds?	4600	chatMessage	4D
pilot0	1709-20f1d731-c5fc-47b4-91b1-ad1f51c1db9d	1544546880873	5	catch	4C	QS	Where is the 4 of clubs?	3861	chatMessage	4C
pilot0	2142-a1f73180-db9f-4cd6-a418-12022541fd5e	1544546926594	0	overlap	8H,7S	6H,7S	Where is the 8 of hearts?	9283	chatMessage	8H
pilot0	2142-a1f73180-db9f-4cd6-a418-12022541fd5e	1544546939648	0	overlap	8H,7S	6H,7S	Where is the 7 of spades?	3959	chatMessage	7S
pilot0	2142-a1f73180-db9f-4cd6-a418-12022541fd5e	1544546963886	1	baseline	6C,4S	KD,AD	Where is the king of diamonds?	6893	chatMessage	KD
pilot0	2142-a1f73180-db9f-4cd6-a418-12022541fd5e	1544546985200	1	baseline	6C,4S	KD,AD	Where is the Where is the Ace of Diamonds?	6825	chatMessage	AD
pilot0	2142-a1f73180-db9f-4cd6-a418-12022541fd5e	1544547002089	1	baseline	6C,4S	KD,AD	Where is the Where is the four of spades?	4488	chatMessage	4S
pilot0	2142-a1f73180-db9f-4cd6-a418-12022541fd5e	1544547020671	2	baseline	4H,10C	7H,8H	Where is the 10 of clubs?	2367	chatMessage	10C
pilot0	2142-a1f73180-db9f-4cd6-a418-12022541fd5e	1544547031505	2	baseline	4H,10C	7H,8H	Where is the 4 of hearts?	4013	chatMessage	4H
pilot0	2142-a1f73180-db9f-4cd6-a418-12022541fd5e	1544547047194	3	catch	4H	7C	Where is the where is the 4 of hearts?	5531	chatMessage	4H
pilot0	2142-a1f73180-db9f-4cd6-a418-12022541fd5e	1544547060894	4	catch	6D	5C	Where is the 6 of diamonds?	2550	chatMessage	6D
pilot0	2142-a1f73180-db9f-4cd6-a418-12022541fd5e	1544547075270	5	overlap	7S,KC	JC,KC	Where is the where is the 7 of spades?	3822	chatMessage	7S
