alpha,beta,modelType,logLikelihood,posteriorProb
13.5,0.7,Q2_emp,-569.7283480021889,-265.64965748133807
13.5,0.6,Q2_emp,-579.3745369421362,-275.29584642128526
13.5,0.5,Q2_emp,-595.4987904784447,-291.4200999575938
13.5,0.4,Q2_emp,-621.6510468010587,-317.5723562802078
13.5,0.3,Q2_emp,-667.3644226772998,-363.2857321564489
13.5,0.2,Q2_emp,-695.2744943369678,-391.1958038161168
13.5,0.1,Q2_emp,-709.1607675220396,-405.08207700118857
13.5,0,Q2_emp,-735.1913750404372,-431.11268451958614
13.4,1,Q2_emp,-702.8876508365564,-398.8089603157055
13.4,0.9,Q2_emp,-642.8455354593511,-338.7668449385001
13.4,0.8,Q2_emp,-592.1952165466557,-288.1165260258048
13.4,0.7,Q2_emp,-565.0415139411872,-260.9628234203363
13.4,0.6,Q2_emp,-574.3398436345686,-270.26115311371774
13.4,0.5,Q2_emp,-590.1885529214819,-286.1098624006309
13.4,0.4,Q2_emp,-615.8782788129007,-311.7995882920498
13.4,0.3,Q2_emp,-660.9870048993622,-356.9083143785113
13.4,0.2,Q2_emp,-688.8675835557925,-384.7888930349417
13.4,0.1,Q2_emp,-703.0352267111629,-398.95653619031197
13.4,0,Q2_emp,-729.1078745815038,-425.0291840606529
13.3,1,Q2_emp,-696.4814965498149,-392.4028060289639
13.3,0.9,Q2_emp,-636.9398817774882,-332.8611912566372
13.3,0.8,Q2_emp,-587.0408750925936,-282.96218457174274
13.3,0.7,Q2_emp,-560.3742641669705,-256.2955736461195
13.3,0.6,Q2_emp,-569.3218890551866,-265.2431985343356
13.3,0.5,Q2_emp,-584.8911048329053,-280.8124143120543
13.3,0.4,Q2_emp,-610.1217658804243,-306.0430753595734
13.3,0.3,Q2_emp,-654.6205260096295,-350.5418354887787
13.3,0.2,Q2_emp,-682.4661346776469,-378.387444156796
13.3,0.1,Q2_emp,-696.909739034838,-392.8310485139871
13.3,0,Q2_emp,-723.0183704492531,-418.9396799284021
13.2,1,Q2_emp,-690.1133863623496,-386.0346958414987
13.2,0.9,Q2_emp,-631.0738917034006,-326.9952011825497
13.2,0.8,Q2_emp,-581.9196685576654,-277.84097803681453
13.2,0.7,Q2_emp,-555.7268012435427,-251.64811072269168
13.2,0.6,Q2_emp,-564.321030058529,-260.242339537678
13.2,0.5,Q2_emp,-579.6067986430868,-275.5281081222359
13.2,0.4,Q2_emp,-604.3817163272528,-300.3030258064019
13.2,0.3,Q2_emp,-648.2653411425995,-344.18665062174847
13.2,0.2,Q2_emp,-676.0704020914421,-371.99171157059124
13.2,0.1,Q2_emp,-690.7844160290164,-386.7057255081655
13.2,0,Q2_emp,-716.9229831432178,-412.8442926223668
13.1,1,Q2_emp,-683.7839394023664,-379.70524888151556
13.1,0.9,Q2_emp,-625.2481323466808,-321.1694418258299
13.1,0.8,Q2_emp,-576.8317903566513,-272.75309983580024
13.1,0.7,Q2_emp,-551.0993408646817,-247.02065034383085
13.1,0.6,Q2_emp,-559.3376355653683,-255.25894504451736
13.1,0.5,Q2_emp,-574.3360007729195,-270.2573102520685
13.1,0.4,Q2_emp,-598.6583478082206,-294.5796572873697
13.1,0.3,Q2_emp,-641.9218222943286,-337.84313177347764
13.1,0.2,Q2_emp,-669.6806529841245,-365.6019624632737
13.1,0.1,Q2_emp,-684.6593792078997,-380.58068868704873
13.1,0,Q2_emp,-710.8218446298035,-406.7431541089525
13,1,Q2_emp,-677.493777299477,-373.41508677862595
13,0.9,Q2_emp,-619.4631707738913,-315.38448025304035
13,0.8,Q2_emp,-571.7774386206944,-267.6987480998435
13,0.7,Q2_emp,-546.4921124283052,-242.41342190745428
13,0.6,Q2_emp,-554.3720871430003,-250.2933966221493
13,0.5,Q2_emp,-569.0790922688986,-265.00040174804764
13,0.4,Q2_emp,-592.9518883365977,-288.87319781574666
13,0.3,Q2_emp,-635.5903591474143,-331.51166862656333
13,0.2,Q2_emp,-663.2971680614685,-359.2184775406175
13,0.1,Q2_emp,-678.5347607605169,-374.45607023966596
13,0,Q2_emp,-704.7150990278457,-400.63640850699477
12.9,1,Q2_emp,-671.2435237605441,-367.1648332396931
12.9,0.9,Q2_emp,-613.7195735384081,-309.6408830175572
12.9,0.8,Q2_emp,-566.7568169227545,-262.6781264019035
12.9,0.7,Q2_emp,-541.9053596394051,-237.8266691185541
12.9,0.6,Q2_emp,-549.4247796237004,-245.3460891028495
12.9,0.5,Q2_emp,-563.836469482278,-259.75777896142705
12.9,0.4,Q2_emp,-587.2625773786683,-283.1838868578173
12.9,0.3,Q2_emp,-629.2713599359499,-325.1926694150989
12.9,0.2,Q2_emp,-656.9202423240267,-352.8415518031758
12.9,0.1,Q2_emp,-672.410704302779,-368.3320137819281
12.9,0,Q2_emp,-698.6029033458294,-394.52421282497846
12.8,1,Q2_emp,-665.0338041565229,-360.95511363567203
12.8,0.9,Q2_emp,-608.0179062319202,-303.93921571106927
12.8,0.8,Q2_emp,-561.7701350357588,-257.6914445149078
12.8,0.7,Q2_emp,-537.3393411434838,-233.26065062263282
12.8,0.6,Q2_emp,-544.4961217640147,-240.41743124316378
12.8,0.5,Q2_emp,-558.6085447959792,-254.52985427512823
12.8,0.4,Q2_emp,-581.5906670177116,-277.51197649686065
12.8,0.3,Q2_emp,-622.965252353238,-318.88656183238714
12.8,0.2,Q2_emp,-650.5501859032445,-346.4714953823935
12.8,0.1,Q2_emp,-666.2873656901744,-362.20867516932356
12.8,0,Q2_emp,-692.4854282759584,-388.4067377551074
12.7,1,Q2_emp,-658.8652451284422,-354.7865546075912
12.7,0.9,Q2_emp,-602.3587330650512,-298.28004254420017
12.7,0.8,Q2_emp,-556.8176097236818,-252.7389192028309
12.7,0.7,Q2_emp,-532.7943311925633,-228.71564067171226
12.7,0.6,Q2_emp,-539.5865369476494,-235.50784642679838
12.7,0.5,Q2_emp,-553.3957474032158,-249.31705688236485
12.7,0.4,Q2_emp,-575.9364231896332,-271.85773266878215
12.7,0.3,Q2_emp,-616.6724845053958,-312.5937939845449
12.7,0.2,Q2_emp,-644.1873249631564,-340.1086344423055
12.7,0.1,Q2_emp,-660.1649138967998,-356.0862233759488
12.7,0,Q2_emp,-686.3628590508566,-382.28416853000573
12.6,1,Q2_emp,-652.7384742218561,-348.6597837010052
12.6,0.9,Q2_emp,-596.7426164852152,-292.6639259643642
12.6,0.8,Q2_emp,-551.8994655660891,-247.82077504523826
12.6,0.7,Q2_emp,-528.2706203460699,-224.191929825219
12.6,0.6,Q2_emp,-534.6964639350201,-230.6177734141691
12.6,0.5,Q2_emp,-548.1985241421182,-244.11983362126722
12.6,0.4,Q2_emp,-570.3001269926982,-266.2214364718473
12.6,0.3,Q2_emp,-610.3935259143121,-306.31483539346124
12.6,0.2,Q2_emp,-637.832002673629,-333.75331215277794
12.6,0.1,Q2_emp,-654.0435319669909,-349.9648414461399
12.6,0,Q2_emp,-680.2353963693065,-376.1567058484555
12.5,1,Q2_emp,-646.6541195599598,-342.57542903910877
12.5,0.9,Q2_emp,-591.1701168404215,-287.09142631957053
12.5,0.8,Q2_emp,-547.0159358169221,-242.93724529607113
12.5,0.7,Q2_emp,-523.7685162090846,-219.68982568823373
12.5,0.6,Q2_emp,-529.8263576626806,-225.7476671418297
12.5,0.5,Q2_emp,-543.0173403909502,-238.93864987009925
12.5,0.4,Q2_emp,-564.6820760740515,-260.60338555320055
12.5,0.3,Q2_emp,-604.1288685738509,-300.0501780529999
12.5,0.2,Q2_emp,-631.4845802616048,-327.4058897407538
12.5,0.1,Q2_emp,-647.923418046463,-343.844727525612
12.5,0,Q2_emp,-674.1032573981128,-370.02456687726186
12.4,1,Q2_emp,-640.612809566747,-336.5341190458961
12.4,0.9,Q2_emp,-585.6417920983818,-281.56310157753074
12.4,0.8,Q2_emp,-542.1672632987099,-238.08857277785893
12.4,0.7,Q2_emp,-519.2883442107351,-215.2096536898842
12.4,0.6,Q2_emp,-524.9766900961532,-220.89799957530235
12.4,0.5,Q2_emp,-537.8526810289044,-233.77399050805352
12.4,0.4,Q2_emp,-559.0825860960504,-255.00389557519935
12.4,0.3,Q2_emp,-597.8790280636275,-293.8003375427766
12.4,0.2,Q2_emp,-625.1454381474439,-321.06674762659287
12.4,0.1,Q2_emp,-641.8047865005626,-337.7260959797116
12.4,0,Q2_emp,-667.9666768579582,-363.8879863371072
12.3,1,Q2_emp,-634.6151727525823,-330.5364822317313
12.3,0.9,Q2_emp,-580.1581976309476,-276.0795071100966
12.3,0.8,Q2_emp,-537.3537013338084,-233.27501081295745
12.3,0.7,Q2_emp,-514.830448425791,-210.75175790494004
12.3,0.6,Q2_emp,-520.1479511399637,-216.06926061911264
12.3,0.5,Q2_emp,-532.7050514678313,-228.62636094698024
12.3,0.4,Q2_emp,-553.5019922857707,-249.4233017649197
12.3,0.3,Q2_emp,-591.6445447252079,-287.56585420435687
12.3,0.2,Q2_emp,-618.8149771740582,-314.73628665320723
12.3,0.1,Q2_emp,-635.6878691279979,-331.60917860714704
12.3,0,Q2_emp,-661.825908201949,-357.747217681098
12.2,1,Q2_emp,-628.6618375755922,-324.58314705474123
12.2,0.9,Q2_emp,-574.7198860745169,-270.641195553666
12.2,0.8,Q2_emp,-532.5755147147635,-228.4968241939126
12.2,0.7,Q2_emp,-510.3951924428632,-206.31650192201226
12.2,0.6,Q2_emp,-515.3406496089418,-211.26195908809092
12.2,0.5,Q2_emp,-527.5749787606591,-223.49628823980817
12.2,0.4,Q2_emp,-547.9406510714712,-243.86196055062015
12.2,0.3,Q2_emp,-585.4259849061202,-281.3472943852692
12.2,0.2,Q2_emp,-612.4936199372494,-308.41492941639837
12.2,0.1,Q2_emp,-629.5729164792692,-325.4942259584182
12.2,0,Q2_emp,-655.6812248964641,-351.6025343756131
12.1,1,Q2_emp,-622.7534323934054,-318.67474187255453
12.1,0.9,Q2_emp,-569.3274072777892,-265.2487167569382
12.1,0.8,Q2_emp,-527.8329807165019,-223.75429019565087
12.1,0.7,Q2_emp,-505.9829602830139,-201.90426976216287
12.1,0.6,Q2_emp,-510.5553142652805,-206.4766237444296
12.1,0.5,Q2_emp,-522.4630127927348,-218.38432227188386
12.1,0.4,Q2_emp,-542.3989418103014,-238.3202512894505
12.1,0.3,Q2_emp,-579.2239422777658,-275.1452517569149
12.1,0.2,Q2_emp,-606.1818122264258,-302.1031217055748
12.1,0.1,Q2_emp,-623.4601992899265,-319.38150876907554
12.1,0,Q2_emp,-649.5329218149533,-345.4542312941024
12,1,Q2_emp,-616.8905855207039,-312.811894999853
12,0.9,Q2_emp,-563.9813083488813,-259.9026178280304
12,0.8,Q2_emp,-523.12639015371,-219.04769963285895
12,0.7,Q2_emp,-501.5941573730198,-197.51546685216886
12,0.6,Q2_emp,-505.792494926162,-201.71380440531115
12,0.5,Q2_emp,-517.3697275627727,-213.29103704192184
12,0.4,Q2_emp,-536.8772686120561,-232.79857809120526
12,0.3,Q2_emp,-573.0390392339383,-268.9603487130874
12,0.2,Q2_emp,-599.8800245856753,-295.8013340648243
12,0.1,Q2_emp,-617.3500100398203,-313.2713195189693
12,0,Q2_emp,-643.3813167564149,-339.3026262355639
11.9,1,Q2_emp,-611.0739254090709,-306.99523488821984
11.9,0.9,Q2_emp,-558.6821338145828,-254.6034432937318
11.9,0.8,Q2_emp,-518.4560484875329,-214.37735796668204
11.9,0.7,Q2_emp,-497.22921157806076,-193.1505210572098
11.9,0.6,Q2_emp,-501.0527636472349,-196.97407312638393
11.9,0.5,Q2_emp,-512.2957225606167,-208.2170320397657
11.9,0.4,Q2_emp,-531.3760622644481,-227.29737174359713
11.9,0.3,Q2_emp,-566.87192837754,-262.79323785668913
11.9,0.2,Q2_emp,-593.5887540060901,-289.51006348523913
11.9,0.1,Q2_emp,-611.2426646506088,-307.16397412975795
11.9,0,Q2_emp,-637.2267521015214,-333.14806158067046
11.8,1,Q2_emp,-605.3040809665446,-301.2253904456937
11.8,0.9,Q2_emp,-553.4304259052215,-249.35173538437044
11.8,0.8,Q2_emp,-513.8222769865923,-209.74358646574143
11.8,0.7,Q2_emp,-492.8885742991829,-188.80988377833194
11.8,0.6,Q2_emp,-496.33671598769615,-192.2580254668452
11.8,0.5,Q2_emp,-507.2416242495956,-203.16293372874458
11.8,0.4,Q2_emp,-525.8957822660255,-221.81709174517465
11.8,0.3,Q2_emp,-560.7232941038936,-256.64460358304274
11.8,0.2,Q2_emp,-587.3085257611945,-283.2298352403435
11.8,0.1,Q2_emp,-605.1385043349973,-301.05981381414637
11.8,0,Q2_emp,-631.069596620676,-326.99090609982505
11.7,1,Q2_emp,-599.5816820351,-295.5029915142491
11.7,0.9,Q2_emp,-548.226724979413,-244.14803445856214
11.7,0.8,Q2_emp,-509.2254139482868,-205.1467234274358
11.7,0.7,Q2_emp,-488.5727216415615,-184.49403112071056
11.7,0.6,Q2_emp,-491.6449723632679,-187.56628184241697
11.7,0.5,Q2_emp,-502.20808766180994,-198.129397140959
11.7,0.4,Q2_emp,-520.4369189736955,-216.35822845284457
11.7,0.3,Q2_emp,-554.593854290065,-250.5151637692141
11.7,0.2,Q2_emp,-581.0398953983918,-276.96120487754075
11.7,0.1,Q2_emp,-599.0378976125305,-294.9592070916795
11.7,0,Q2_emp,-624.910247449729,-320.83155692887806
11.6,1,Q2_emp,-593.9073600451333,-289.82866952428236
11.6,0.9,Q2_emp,-543.0715701037369,-238.99287958288602
11.6,0.8,Q2_emp,-504.6658159874438,-200.5871254665929
11.6,0.7,Q2_emp,-484.2821556603491,-180.20346513949815
11.6,0.6,Q2_emp,-486.9781794939988,-182.8994889731479
11.6,0.5,Q2_emp,-497.1957981153896,-193.11710759453865
11.6,0.4,Q2_emp,-514.9999958726568,-210.92130535180587
11.6,0.3,Q2_emp,-548.4843621006682,-244.40567157981727
11.6,0.2,Q2_emp,-574.7834509004879,-270.70476037963687
11.6,0.1,Q2_emp,-592.9412425081971,-288.8625519873461
11.6,0,Q2_emp,-618.7491322506835,-314.67044172983253
11.5,1,Q2_emp,-588.2817488666499,-284.20305834579887
11.5,0.9,Q2_emp,-537.9654998032231,-233.8868092823721
11.5,0.8,Q2_emp,-500.1438594005812,-196.06516887973027
11.5,0.7,Q2_emp,-480.01740569176434,-175.93871517091338
11.5,0.6,Q2_emp,-482.3370119544624,-178.25832143361146
11.5,0.5,Q2_emp,-492.20547306341086,-188.12678254255994
11.5,0.4,Q2_emp,-509.5855719775372,-205.50688145668624
11.5,0.3,Q2_emp,-542.3956079218287,-238.31691740097773
11.5,0.2,Q2_emp,-568.5398150325849,-264.461124511734
11.5,0.1,Q2_emp,-586.8489689516889,-282.7702784308379
11.5,0,Q2_emp,-612.5867115764024,-308.5080210555514
11.4,1,Q2_emp,-582.7054858774452,-278.6267953565942
11.4,0.9,Q2_emp,-532.909052999388,-228.83036247853698
11.4,0.8,Q2_emp,-495.65994161539464,-191.5812510945437
11.4,0.7,Q2_emp,-475.77902977802773,-171.70033925717678
11.4,0.6,Q2_emp,-477.72217383472173,-173.64348331387077
11.4,0.5,Q2_emp,-487.2378640849472,-183.15917356409625
11.4,0.4,Q2_emp,-504.19424437460367,-200.11555385375271
11.4,0.3,Q2_emp,-536.3284214362836,-232.24973091543262
11.4,0.2,Q2_emp,-562.3096478910064,-258.2309573701556
11.4,0.1,Q2_emp,-580.7615413968891,-276.68285087603823
11.4,0,Q2_emp,-606.4234814602352,-302.34479093938427
11.3,1,Q2_emp,-577.1792132690916,-273.1005227482406
11.3,0.9,Q2_emp,-527.9027701534897,-223.82407963263864
11.3,0.8,Q2_emp,-491.2144827365532,-187.13579221570222
11.3,0.7,Q2_emp,-471.56761619589196,-167.488925675041
11.3,0.6,Q2_emp,-473.13440052130574,-169.05571000045478
11.3,0.5,Q2_emp,-482.2937590295528,-178.21506850870185
11.3,0.4,Q2_emp,-498.8266509161015,-194.74796039525057
11.3,0.3,Q2_emp,-530.2836738540633,-226.2049833332124
11.3,0.2,Q2_emp,-556.0936496723411,-252.01495915149013
11.3,0.1,Q2_emp,-574.6794616830227,-270.6007711621718
11.3,0,Q2_emp,-600.2599762534725,-296.1812857326216
11.2,1,Q2_emp,-571.7035796118208,-267.62488909097
11.2,0.9,Q2_emp,-522.9471946335765,-218.8685041127256
11.2,0.8,Q2_emp,-486.8079272005029,-182.72923667965196
11.2,0.7,Q2_emp,-467.3837850997099,-163.30509457885893
11.2,0.6,Q2_emp,-468.5744606083788,-164.49577008752783
11.2,0.5,Q2_emp,-477.3739843273613,-173.2952938065104
11.2,0.4,Q2_emp,-493.4834730790791,-189.40478255822816
11.2,0.3,Q2_emp,-524.2622803147552,-220.18358979390433
11.2,0.2,Q2_emp,-549.8925636823177,-245.8138731614668
11.2,0.1,Q2_emp,-568.603272160941,-264.52458164009005
11.2,0,Q2_emp,-594.0967717357358,-290.01808121488494
11.1,1,Q2_emp,-566.2792416996466,-262.2005511787957
11.1,0.9,Q2_emp,-518.0428743249458,-213.96418380409483
11.1,0.8,Q2_emp,-482.44074555375647,-178.36205503290552
11.1,0.7,Q2_emp,-463.2281902913988,-159.14949977054783
11.1,0.6,Q2_emp,-464.04315795042373,-159.96446742957278
11.1,0.5,Q2_emp,-472.479407477954,-168.40071695710304
11.1,0.4,Q2_emp,-488.1654390024859,-184.08674848163497
11.1,0.3,Q2_emp,-518.2652024791236,-214.18651195827266
11.1,0.2,Q2_emp,-543.7071796058871,-239.6284890850362
11.1,0.1,Q2_emp,-562.533559110219,-258.4548685893681
11.1,0,Q2_emp,-587.9344885257836,-283.85579800493275
11,1,Q2_emp,-560.9068666971377,-256.8281761762867
11,0.9,Q2_emp,-513.1903635046071,-209.11167298375614
