workerid	trial_type	other	response	sentence_type
20	car_conv	 	0.59	sup
20	car_conv	 	1	sub
20	car_conv	 	1	id
20	car_conv	 	1	sib
20	dog_prANY	 	1	sub
20	dog_prANY	 	1	id
20	dog_prANY	 	0	sib
20	dog_prANY	 	0	sup
21	dog_info	 	0.04	sup
21	dog_info	 	0.69	sub
21	dog_info	 	0.89	id
21	dog_info	 	0.1	sib
21	shirt_prANY	 	0.85	sub
21	shirt_prANY	 	0.95	id
21	shirt_prANY	 	0.04	sup
21	shirt_prANY	 	0.11	sib
21	car_prANY	 	1	id
21	car_prANY	 	0.88	sub
21	car_prANY	 	0.7	sib
21	car_prANY	 	0.1	sup
21	food_info	 	0.69	sub
21	food_info	 	0	sup
21	food_info	 	1	id
21	food_info	 	0.16	sib
22	food_info	 	0.46	sib
22	food_info	 	0.71	sub
22	food_info	 	0.97	id
22	food_info	 	0.24	sup
22	dog_conv	 	0.95	id
22	dog_conv	 	0.61	sib
22	dog_conv	 	0.4	sup
22	dog_conv	 	0.8	sub
22	car_info	 	0.99	sup
22	car_info	 	0.84	sib
22	car_info	 	0.65	sub
22	car_info	 	0.83	id
22	shirt_prBASIC	 	0.91	sub
22	shirt_prBASIC	 	0.29	sib
22	shirt_prBASIC	 	0.49	sup
22	shirt_prBASIC	 	0.93	id
23	shirt_prANY	 	0.54	sib
23	shirt_prANY	 	1	id
23	shirt_prANY	 	0.9	sub
23	shirt_prANY	 	0.47	sup
23	food_prANY	 	0.61	sib
23	food_prANY	 	0.83	sub
23	food_prANY	 	0.44	sup
23	food_prANY	 	1	id
23	dog_prANY	 	1	id
23	dog_prANY	 	0.75	sib
23	dog_prANY	 	1	sub
23	dog_prANY	 	0.53	sup
23	car_prANY	 	0.81	sup
23	car_prANY	 	0.92	sub
23	car_prANY	 	1	id
23	car_prANY	 	0.89	sib
24	dog_conv	 	0.98	sib
24	dog_conv	 	0.54	sup
24	dog_conv	 	1	sub
24	dog_conv	 	0.98	id
24	shirt_prANY	 	0.99	id
24	shirt_prANY	 	0.99	sup
24	shirt_prANY	 	0.98	sub
24	shirt_prANY	 	0.99	sib
24	food_info	 	0.99	sub
24	food_info	 	0.99	id
24	food_info	 	0.99	sup
24	food_info	 	0.98	sib
24	car_conv	 	0.99	id
24	car_conv	 	0.99	sup
24	car_conv	 	0.98	sub
24	car_conv	 	0.97	sib
25	dog_info	 Yes I do have a dog.	0.94	sub
25	dog_info	 Yes I do have a dog.	0.93	id
25	dog_info	 Yes I do have a dog.	0.29	sib
25	dog_info	 Yes I do have a dog.	0.21	sup
25	shirt_prBASIC	 	0.24	sib
