workerid,language,enjoyment,gender,age,comments,asses,education
97,English,2,Female,51,fun!,Yes,4
98,english,2,Male,28,,Yes,3
99,,2,Female,24,,Yes,-1
100,Bulgarian,2,Male,31,,Yes,3
101,English,2,Female,27,It was fast and easy,Confused,3
102,english,2,Male,20,,Yes,2
103,English,2,Male,22,None,Yes,2
104,ENGLISH,2,Male,27,,Yes,2
105,english,2,Male,22,,Yes,3
106,English,2,Male,38,Fun!,Yes,4
107,English,2,Male,24,,Yes,2
108,English,2,Female,29,,No,3
109,english,2,Male,29,,Yes,3
110,English,2,Male,28,,Yes,2
111,English,2,Male,25,,Yes,2
112,English,2,Male,20,,Yes,2
113,English,2,Female,48,,Yes,3
114,English,1,Male,23,,Yes,2
115,English,2,Male,34,,Yes,3
116,english,1,Male,27,,Yes,3
117,English,1,Male,38,I couldn&quotechart get it to work in Firefox. It worked when I switched to Chrome.,Yes,1
118,ENGLISH,1,Female,35,,Yes,3
119,english,2,Female,34,,Yes,1
120,English,2,Female,26,"Fun, thanks!",Yes,2
121,English,2,Male,27,,Yes,4
122,English,2,Male,28,,Yes,3
123,English,2,Male,32,,Yes,1
124,english,1,Female,30,thanks.,Yes,3
125,English,2,Male,27,,Yes,2
126,English,2,Male,29,,Yes,1
127,english,2,Male,24,,Yes,1
128,english,2,Male,24,Fun!,Yes,3
129,english,2,Female,30,thank you,Yes,3
130,English,2,Female,33,,Yes,3
131,English,2,Male,27,,Yes,3
132,english,2,Male,59,ty,Yes,2
133,English,2,Male,24,,Yes,3
134,English,2,Female,30,This was fun! :),Yes,2
135,English,2,Male,37,,Yes,1
136,English,2,Female,40,I would be interested in knowing what this was studying.,Yes,3
137,english,2,Female,31,,Yes,2
138,English,2,Female,23,"Some of the images lagged, but otherwise very fun!",Confused,1
139,English,1,Male,25,,Yes,3
140,english,1,Female,57,,Yes,3
141,english,1,Male,35,thx,Yes,1
142,English,1,Male,21,,Confused,2
143,English,2,Male,27,,Yes,2
144,English,1,Male,28,,Yes,3
145,English,2,Male,42,,Yes,3
146,English,2,Male,49,,Yes,3
147,English,2,Female,66,It was fun!,Yes,3
148,English,2,Male,27,"No comments, thanks for asking.",Yes,2
149,english ,2,Male,24,fun !,Yes,3
150,English,2,Female,34,,Yes,2
151,English,2,Male,26,,Yes,3
152,English,2,Male,27,,Yes,3
153,english,2,Female,57,it didn&quotechart work in Firefox.  Thank you!,Yes,2
154,english,1,Male,20,,Yes,2
155,Mandarin,2,Female,32,,Yes,4
156,English,2,Female,29,Thank you,Yes,3
157,english,1,Male,21,,Yes,4
158,english,1,Male,28,thanks,Yes,3
159,English,2,Male,28,,Yes,3
160,english,1,Male,24,,Yes,3
161,English,2,Male,32,,Confused,2
162,,2,Male,24,,Yes,2
163,English,2,Male,50,I have never done a HIT like this before.  I had a great time.  Thank you.,Yes,3
164,English,2,Male,29,,No,3
165,English,2,Male,47,,Yes,3
166,English,2,Male,23,,Yes,3
167,english,2,Male,22,,Yes,2
168,English,1,Male,28,,Yes,3
169,English,2,Female,31,,Yes,3
170,English,2,Male,31,,Yes,3
171,English,1,Male,28,,Yes,3
172,English,2,Male,28,,Yes,4
173,English,2,Female,35,,Yes,2
174,english,2,Male,36,,Yes,2
175,Tagalog,2,Male,29,Thanks!,Yes,3
176,english,2,Female,31,fun!,No,3
177,english,1,Female,37,,Yes,3
178,English,1,Female,27,,Yes,2
179,english,2,Male,male,,Yes,1
180,English,2,Female,26,,Confused,3
181,english,2,Male,33,,Yes,2
182,english,2,Male,46,,Yes,1
183,english,2,Male,23,,Yes,2
184,English,2,Male,29,,Yes,1
185,English,1,Male,18,,Yes,2
186,English,2,Female,59,,Yes,3
187,english,2,Female,33,none,Yes,3
188,english,2,Female,31,,Yes,2
189,english,2,Female,24,,Yes,1
190,english,2,Male,29,,Yes,1
191,english,2,Female,33,I enjoyed this,Yes,1
