iterationName,gameid,time,trialNum,trialType,targetGoalSet,distractorGoalSet,firstRole,sender,timeFromMessage,revealedObjs
pilot0,4088-9de6a0f7-018a-4f82-8776-cc0812be7927,1.544485419284e+12,3,overlap,"[""5H"",""7S""]","[""8H"",""7S""]",,,,"[""5H""]"
pilot0,4088-9de6a0f7-018a-4f82-8776-cc0812be7927,1.544485479879e+12,3,overlap,"[""5H"",""7S""]","[""8H"",""7S""]",,,,"[""7S""]"
pilot0,4088-9de6a0f7-018a-4f82-8776-cc0812be7927,1.544485498313e+12,4,overlap,"[""AD"",""5D""]","[""8H"",""5D""]",,,,"[""8H"",""5D""]"
pilot0,4088-9de6a0f7-018a-4f82-8776-cc0812be7927,1.544485574395e+12,4,overlap,"[""AD"",""5D""]","[""8H"",""5D""]",,,,"[""AD""]"
pilot0,4088-9de6a0f7-018a-4f82-8776-cc0812be7927,1.544485614884e+12,5,catch,"[""9C""]","[""4H""]",,,,"[""9C""]"
pilot0,6675-08654b22-d4e4-4cf8-b84c-fe886e75d14f,1.544511589668e+12,0,overlap,"[""8H"",""10C""]","[""4C"",""10C""]",,,,"[""8H"",""10C""]"
pilot0,6675-08654b22-d4e4-4cf8-b84c-fe886e75d14f,1.544511612014e+12,1,catch,"[""5C""]","[""JH""]",,,,"[""5C""]"
pilot0,6675-08654b22-d4e4-4cf8-b84c-fe886e75d14f,1.544511634641e+12,2,baseline,"[""JC"",""6C""]","[""KC"",""8D""]",,,,"[""JC"",""6C""]"
pilot0,6675-08654b22-d4e4-4cf8-b84c-fe886e75d14f,1.54451165827e+12,3,overlap,"[""10S"",""3C""]","[""9D"",""3C""]",,,,"[""10S"",""3C""]"
pilot0,6675-08654b22-d4e4-4cf8-b84c-fe886e75d14f,1.544511675064e+12,4,catch,"[""8S""]","[""6S""]",,,,"[""8S"",""9S""]"
pilot0,6675-08654b22-d4e4-4cf8-b84c-fe886e75d14f,1.544511699994e+12,5,baseline,"[""6H"",""4H""]","[""7D"",""2D""]",,,,"[""4H"",""7D""]"
pilot0,6675-08654b22-d4e4-4cf8-b84c-fe886e75d14f,1.54451171059e+12,5,baseline,"[""6H"",""4H""]","[""7D"",""2D""]",,,,"[""2D"",""6H""]"
pilot0,1813-5354035c-6c03-436e-a5af-65bd562767b4,1.544546000577e+12,0,baseline,"[""8S"",""JS""]","[""QD"",""2H""]",,,,"[""JS"",""8S""]"
pilot0,1813-5354035c-6c03-436e-a5af-65bd562767b4,1.544546015196e+12,1,catch,"[""9S""]","[""JS""]",,,,"[""9S""]"
pilot0,1813-5354035c-6c03-436e-a5af-65bd562767b4,1.544546035864e+12,2,overlap,"[""10C"",""9D""]","[""QC"",""9D""]",,,,"[""10C"",""9D""]"
pilot0,3211-507fe450-8a58-41df-9bf0-d1413abf4bfe,1.544546041272e+12,0,catch,"[""AH""]","[""3C""]",,,,"[""3C""]"
pilot0,1813-5354035c-6c03-436e-a5af-65bd562767b4,1.544546050261e+12,3,overlap,"[""JD"",""AD""]","[""4C"",""AD""]",,,,"[""JD""]"
pilot0,1813-5354035c-6c03-436e-a5af-65bd562767b4,1.544546064194e+12,3,overlap,"[""JD"",""AD""]","[""4C"",""AD""]",,,,"[""AD""]"
pilot0,3211-507fe450-8a58-41df-9bf0-d1413abf4bfe,1.544546065247e+12,0,catch,"[""AH""]","[""3C""]",,,,"[""AH""]"
pilot0,1813-5354035c-6c03-436e-a5af-65bd562767b4,1.544546081528e+12,4,catch,"[""7H""]","[""7D""]",,,,"[""7H""]"
pilot0,3211-507fe450-8a58-41df-9bf0-d1413abf4bfe,1.544546093309e+12,1,catch,"[""QD""]","[""7S""]",,,,"[""QD""]"
pilot0,1813-5354035c-6c03-436e-a5af-65bd562767b4,1.544546096381e+12,5,baseline,"[""6S"",""9S""]","[""10D"",""5D""]",,,,"[""6S""]"
pilot0,1813-5354035c-6c03-436e-a5af-65bd562767b4,1.544546105726e+12,5,baseline,"[""6S"",""9S""]","[""10D"",""5D""]",,,,"[""9S""]"
pilot0,7266-1974a33f-6fed-436e-b2ca-ab3082f6df4f,1.544546116267e+12,0,catch,"[""JS""]","[""KC""]",,,,"[""JS""]"
pilot0,3211-507fe450-8a58-41df-9bf0-d1413abf4bfe,1.544546132239e+12,2,overlap,"[""JD"",""4C""]","[""3C"",""4C""]",,,,"[""JD"",""4C""]"
pilot0,7266-1974a33f-6fed-436e-b2ca-ab3082f6df4f,1.544546149867e+12,1,overlap,"[""QS"",""10S""]","[""8D"",""10S""]",,,,"[""QS"",""10S""]"
pilot0,3211-507fe450-8a58-41df-9bf0-d1413abf4bfe,1.544546162339e+12,3,baseline,"[""5C"",""10C""]","[""AS"",""8D""]",,,,"[""5C"",""10C""]"
pilot0,7266-1974a33f-6fed-436e-b2ca-ab3082f6df4f,1.544546168824e+12,2,overlap,"[""9S"",""JS""]","[""5H"",""JS""]",,,,"[""9S""]"
pilot0,3211-507fe450-8a58-41df-9bf0-d1413abf4bfe,1.544546184975e+12,4,baseline,"[""KC"",""AC""]","[""AD"",""10H""]",,,,"[""AC"",""KC""]"
pilot0,7266-1974a33f-6fed-436e-b2ca-ab3082f6df4f,1.544546190757e+12,2,overlap,"[""9S"",""JS""]","[""5H"",""JS""]",,,,"[""JS""]"
pilot0,3211-507fe450-8a58-41df-9bf0-d1413abf4bfe,1.544546203651e+12,5,overlap,"[""7C"",""5H""]","[""QH"",""5H""]",,,,"[""7C"",""5H""]"
pilot0,7266-1974a33f-6fed-436e-b2ca-ab3082f6df4f,1.544546214873e+12,3,baseline,"[""9H"",""KH""]","[""10H"",""AS""]",,,,"[""9H"",""KH""]"
pilot0,7266-1974a33f-6fed-436e-b2ca-ab3082f6df4f,1.544546237013e+12,4,baseline,"[""KH"",""7S""]","[""8D"",""5D""]",,,,"[""KH""]"
pilot0,7266-1974a33f-6fed-436e-b2ca-ab3082f6df4f,1.544546252422e+12,4,baseline,"[""KH"",""7S""]","[""8D"",""5D""]",,,,"[""7S""]"
pilot0,7266-1974a33f-6fed-436e-b2ca-ab3082f6df4f,1.544546274225e+12,5,catch,"[""AC""]","[""2C""]",,,,"[""AC""]"
pilot0,4496-a709f39c-e92a-4353-b573-a1c4fe5f340d,1.54454632997e+12,0,overlap,"[""5D"",""10H""]","[""AD"",""10H""]",,,,"[""5D"",""10H""]"
pilot0,8103-3539f1bb-6c02-410e-9284-8c3e88d027d3,1.544546358029e+12,0,baseline,"[""9S"",""3D""]","[""4C"",""6D""]",,,,"[""3D""]"
pilot0,4496-a709f39c-e92a-4353-b573-a1c4fe5f340d,1.544546369733e+12,1,overlap,"[""7D"",""JH""]","[""AH"",""JH""]",,,,"[""7D"",""JH""]"
pilot0,8103-3539f1bb-6c02-410e-9284-8c3e88d027d3,1.544546374997e+12,0,baseline,"[""9S"",""3D""]","[""4C"",""6D""]",,,,"[""9S""]"
pilot0,8103-3539f1bb-6c02-410e-9284-8c3e88d027d3,1.544546391938e+12,1,catch,"[""9H""]","[""6H""]",,,,"[""9H""]"
pilot0,4496-a709f39c-e92a-4353-b573-a1c4fe5f340d,1.544546400083e+12,2,catch,"[""4C""]","[""AC""]",,,,"[""4C""]"
pilot0,8103-3539f1bb-6c02-410e-9284-8c3e88d027d3,1.544546409341e+12,2,overlap,"[""3C"",""3H""]","[""2C"",""3H""]",,,,"[""3C""]"
pilot0,8103-3539f1bb-6c02-410e-9284-8c3e88d027d3,1.544546420531e+12,2,overlap,"[""3C"",""3H""]","[""2C"",""3H""]",,,,"[""3H""]"
pilot0,4496-a709f39c-e92a-4353-b573-a1c4fe5f340d,1.54454643238e+12,3,baseline,"[""AC"",""9D""]","[""10C"",""6D""]",,,,"[""9D"",""AC""]"
pilot0,8103-3539f1bb-6c02-410e-9284-8c3e88d027d3,1.544546437532e+12,3,baseline,"[""5C"",""5D""]","[""AH"",""3S""]",,,,"[""5C"",""5D""]"
pilot0,8103-3539f1bb-6c02-410e-9284-8c3e88d027d3,1.544546450275e+12,4,catch,"[""5H""]","[""3S""]",,,,"[""5H""]"
pilot0,4496-a709f39c-e92a-4353-b573-a1c4fe5f340d,1.544546454998e+12,4,baseline,"[""5D"",""KH""]","[""4C"",""10C""]",,,,"[""KH"",""5D""]"
pilot0,8103-3539f1bb-6c02-410e-9284-8c3e88d027d3,1.544546466636e+12,5,overlap,"[""JH"",""9C""]","[""5H"",""9C""]",,,,"[""JH"",""9C""]"
pilot0,4496-a709f39c-e92a-4353-b573-a1c4fe5f340d,1.544546497269e+12,5,catch,"[""JC""]","[""8S""]",,,,"[""JC""]"
pilot0,1709-20f1d731-c5fc-47b4-91b1-ad1f51c1db9d,1.544546685995e+12,0,overlap,"[""3S"",""9H""]","[""9D"",""9H""]",,,,"[""9H""]"
pilot0,1709-20f1d731-c5fc-47b4-91b1-ad1f51c1db9d,1.544546716783e+12,0,overlap,"[""3S"",""9H""]","[""9D"",""9H""]",,,,"[""3S""]"
pilot0,1709-20f1d731-c5fc-47b4-91b1-ad1f51c1db9d,1.544546747224e+12,1,overlap,"[""JD"",""7H""]","[""6S"",""7H""]",,,,"[""JD""]"
pilot0,1709-20f1d731-c5fc-47b4-91b1-ad1f51c1db9d,1.544546783162e+12,1,overlap,"[""JD"",""7H""]","[""6S"",""7H""]",,,,"[""7H"",""6S""]"
pilot0,1709-20f1d731-c5fc-47b4-91b1-ad1f51c1db9d,1.544546824795e+12,2,baseline,"[""9H"",""8S""]","[""7C"",""5D""]",,,,"[""9H"",""8S""]"
pilot0,1709-20f1d731-c5fc-47b4-91b1-ad1f51c1db9d,1.544546848522e+12,3,baseline,"[""7D"",""4S""]","[""JC"",""QD""]",,,,"[""7D"",""4S""]"
pilot0,1709-20f1d731-c5fc-47b4-91b1-ad1f51c1db9d,1.544546868313e+12,4,catch,"[""4D""]","[""3H""]",,,,"[""4D""]"
pilot0,1709-20f1d731-c5fc-47b4-91b1-ad1f51c1db9d,1.544546886825e+12,5,catch,"[""4C""]","[""QS""]",,,,"[""4C"",""QS""]"
pilot0,2142-a1f73180-db9f-4cd6-a418-12022541fd5e,1.544546931034e+12,0,overlap,"[""8H"",""7S""]","[""6H"",""7S""]",,,,"[""8H""]"
pilot0,2142-a1f73180-db9f-4cd6-a418-12022541fd5e,1.544546942238e+12,0,overlap,"[""8H"",""7S""]","[""6H"",""7S""]",,,,"[""7S""]"
pilot0,2142-a1f73180-db9f-4cd6-a418-12022541fd5e,1.544546968322e+12,1,baseline,"[""6C"",""4S""]","[""KD"",""AD""]",,,,"[""KD""]"
pilot0,2142-a1f73180-db9f-4cd6-a418-12022541fd5e,1.544546987105e+12,1,baseline,"[""6C"",""4S""]","[""KD"",""AD""]",,,,"[""AD""]"
pilot0,2142-a1f73180-db9f-4cd6-a418-12022541fd5e,1.544547010207e+12,1,baseline,"[""6C"",""4S""]","[""KD"",""AD""]",,,,"[""4S"",""6C""]"
pilot0,2142-a1f73180-db9f-4cd6-a418-12022541fd5e,1.544547024317e+12,2,baseline,"[""4H"",""10C""]","[""7H"",""8H""]",,,,"[""10C""]"
pilot0,2142-a1f73180-db9f-4cd6-a418-12022541fd5e,1.544547034074e+12,2,baseline,"[""4H"",""10C""]","[""7H"",""8H""]",,,,"[""4H""]"
pilot0,2142-a1f73180-db9f-4cd6-a418-12022541fd5e,1.544547051194e+12,3,catch,"[""4H""]","[""7C""]",,,,"[""4H""]"
pilot0,2142-a1f73180-db9f-4cd6-a418-12022541fd5e,1.544547064459e+12,4,catch,"[""6D""]","[""5C""]",,,,"[""6D""]"
pilot0,2142-a1f73180-db9f-4cd6-a418-12022541fd5e,1.544547079376e+12,5,overlap,"[""7S"",""KC""]","[""JC"",""KC""]",,,,"[""7S"",""KC""]"
pilot0,6432-ef46aa77-8d32-49ae-939b-3deee6df9cb1,1.545245861503e+12,0,overlap,"[""2H"",""JD""]","[""9H"",""JD""]",,,,"[""2H"",""JD""]"
pilot0,6432-ef46aa77-8d32-49ae-939b-3deee6df9cb1,1.545245890138e+12,1,overlap,"[""3D"",""QC""]","[""KC"",""QC""]",,,,"[""3D"",""QC""]"
pilot0,6432-ef46aa77-8d32-49ae-939b-3deee6df9cb1,1.545245913325e+12,2,baseline,"[""KH"",""2S""]","[""JC"",""2H""]",,,,"[""2S""]"
pilot0,6432-ef46aa77-8d32-49ae-939b-3deee6df9cb1,1.545245924307e+12,2,baseline,"[""KH"",""2S""]","[""JC"",""2H""]",,,,"[""KH""]"
pilot0,6654-f88f496f-4683-4167-a0f0-150e232d00cc,1.545246093018e+12,0,baseline,"[""2C"",""QD""]","[""8C"",""KS""]",,,,"[""2C""]"
pilot0,6654-f88f496f-4683-4167-a0f0-150e232d00cc,1.545246107978e+12,0,baseline,"[""2C"",""QD""]","[""8C"",""KS""]",,,,"[""QD""]"
pilot0,6506-047d5ed0-ed22-4b42-bc23-f2034553a9e4,1.545247486756e+12,0,baseline,"[""JS"",""KD""]","[""2C"",""6C""]",,,,"[""JS"",""KD""]"
pilot0,6506-047d5ed0-ed22-4b42-bc23-f2034553a9e4,1.545247502665e+12,1,overlap,"[""3S"",""JC""]","[""4D"",""JC""]",,,,"[""JC""]"
pilot0,6506-047d5ed0-ed22-4b42-bc23-f2034553a9e4,1.545247510917e+12,1,overlap,"[""3S"",""JC""]","[""4D"",""JC""]",,,,"[""10H""]"
pilot0,6506-047d5ed0-ed22-4b42-bc23-f2034553a9e4,1.54524751727e+12,1,overlap,"[""3S"",""JC""]","[""4D"",""JC""]",,,,"[""3S""]"
pilot0,6506-047d5ed0-ed22-4b42-bc23-f2034553a9e4,1.545247546399e+12,2,overlap,"[""10S"",""AD""]","[""10H"",""AD""]",,,,"[""10S""]"
pilot0,6506-047d5ed0-ed22-4b42-bc23-f2034553a9e4,1.54524755321e+12,2,overlap,"[""10S"",""AD""]","[""10H"",""AD""]",,,,"[""AD""]"
pilot0,4096-29d5bbbe-788e-41cc-b49a-9106580ec1ba,1.545247652515e+12,0,catch,"[""5D""]","[""10H""]",,,,"[""5D""]"
pilot0,2130-f9f7d277-69a8-4e53-9260-abd3d1f95cd1,1.545247840175e+12,0,baseline,"[""10D"",""AS""]","[""4H"",""8D""]",,,,"[""AS"",""10D""]"
pilot0,8177-d50b4971-283a-416e-b7dc-ea1fdf0738a9,1.545247988267e+12,0,overlap,"[""9C"",""AC""]","[""AS"",""AC""]",,,,"[""9C""]"
pilot0,8177-d50b4971-283a-416e-b7dc-ea1fdf0738a9,1.545247998062e+12,0,overlap,"[""9C"",""AC""]","[""AS"",""AC""]",,,,"[""AC""]"
pilot0,8177-d50b4971-283a-416e-b7dc-ea1fdf0738a9,1.545248014366e+12,1,overlap,"[""6S"",""KD""]","[""6D"",""KD""]",,,,"[""6S"",""KD""]"
pilot0,8177-d50b4971-283a-416e-b7dc-ea1fdf0738a9,1.545248030957e+12,2,baseline,"[""KH"",""7H""]","[""9C"",""4C""]",,,,"[""7H"",""KH""]"
full_sample,8637-f7bbd0b4-8865-4396-b120-f322dc363f6e,1.545251539162e+12,0,overlap,"[""2C"",""4H""]","[""6D"",""4H""]",,,,"[""2C""]"
full_sample,8637-f7bbd0b4-8865-4396-b120-f322dc363f6e,1.545251561449e+12,0,overlap,"[""2C"",""4H""]","[""6D"",""4H""]",,,,"[""4H""]"
full_sample,8637-f7bbd0b4-8865-4396-b120-f322dc363f6e,1.545251607125e+12,1,catch,"[""3S""]","[""5H""]",,,,"[""3S"",""5H""]"
full_sample,8637-f7bbd0b4-8865-4396-b120-f322dc363f6e,1.545251634629e+12,2,catch,"[""6C""]","[""QH""]",,,,"[""6C""]"
full_sample,8637-f7bbd0b4-8865-4396-b120-f322dc363f6e,1.545251654055e+12,3,overlap,"[""8D"",""QD""]","[""10S"",""QD""]",,,,"[""QD""]"
full_sample,8637-f7bbd0b4-8865-4396-b120-f322dc363f6e,1.545251660145e+12,3,overlap,"[""8D"",""QD""]","[""10S"",""QD""]",,,,"[""8D""]"
full_sample,6294-eb085f1a-fcfc-4ea4-8388-3ffff4d57226,1.545251680523e+12,0,baseline,"[""AH"",""10S""]","[""2S"",""3C""]",,,,"[""AH"",""10S""]"
full_sample,8637-f7bbd0b4-8865-4396-b120-f322dc363f6e,1.545251687107e+12,4,baseline,"[""QH"",""KS""]","[""4S"",""10C""]",,,,"[""QH""]"
full_sample,8637-f7bbd0b4-8865-4396-b120-f322dc363f6e,1.545251700756e+12,4,baseline,"[""QH"",""KS""]","[""4S"",""10C""]",,,,"[""KS""]"
full_sample,6294-eb085f1a-fcfc-4ea4-8388-3ffff4d57226,1.545251705322e+12,1,baseline,"[""10C"",""JD""]","[""KS"",""4S""]",,,,"[""JD""]"
full_sample,8637-f7bbd0b4-8865-4396-b120-f322dc363f6e,1.545251717073e+12,5,baseline,"[""5H"",""6C""]","[""AD"",""4S""]",,,,"[""5H""]"
full_sample,8637-f7bbd0b4-8865-4396-b120-f322dc363f6e,1.545251728412e+12,5,baseline,"[""5H"",""6C""]","[""AD"",""4S""]",,,,"[""6C""]"
full_sample,6294-eb085f1a-fcfc-4ea4-8388-3ffff4d57226,1.545251747875e+12,1,baseline,"[""10C"",""JD""]","[""KS"",""4S""]",,,,"[""10C""]"
full_sample,7747-7880dfce-9ef5-41aa-9063-954c5c9c5604,1.545251755744e+12,0,baseline,"[""2S"",""6H""]","[""JH"",""7D""]",,,,"[""6H""]"
full_sample,6294-eb085f1a-fcfc-4ea4-8388-3ffff4d57226,1.545251760595e+12,2,catch,"[""JS""]","[""10S""]",,,,"[""JS""]"
full_sample,7747-7880dfce-9ef5-41aa-9063-954c5c9c5604,1.545251771542e+12,0,baseline,"[""2S"",""6H""]","[""JH"",""7D""]",,,,"[""2S""]"
full_sample,6294-eb085f1a-fcfc-4ea4-8388-3ffff4d57226,1.545251789497e+12,3,catch,"[""3C""]","[""10D""]",,,,"[""3C""]"
full_sample,7747-7880dfce-9ef5-41aa-9063-954c5c9c5604,1.545251793775e+12,1,catch,"[""7H""]","[""9S""]",,,,"[""7H""]"
full_sample,6294-eb085f1a-fcfc-4ea4-8388-3ffff4d57226,1.545251809996e+12,4,overlap,"[""5D"",""4H""]","[""9C"",""4H""]",,,,"[""4H"",""9C""]"
full_sample,7747-7880dfce-9ef5-41aa-9063-954c5c9c5604,1.545251814078e+12,2,catch,"[""QS""]","[""KD""]",,,,"[""QS"",""KD""]"
full_sample,8206-ddbd09d1-50f3-4798-97b5-74c3d05e577c,1.545251818138e+12,0,catch,"[""QH""]","[""JD""]",,,,"[""QH""]"
full_sample,7747-7880dfce-9ef5-41aa-9063-954c5c9c5604,1.545251832228e+12,3,overlap,"[""10C"",""5H""]","[""QH"",""5H""]",,,,"[""10C""]"
full_sample,8206-ddbd09d1-50f3-4798-97b5-74c3d05e577c,1.545251835849e+12,1,catch,"[""10H""]","[""JD""]",,,,"[""10H"",""JD""]"
full_sample,6294-eb085f1a-fcfc-4ea4-8388-3ffff4d57226,1.545251836616e+12,4,overlap,"[""5D"",""4H""]","[""9C"",""4H""]",,,,"[""5D""]"
full_sample,7747-7880dfce-9ef5-41aa-9063-954c5c9c5604,1.54525184435e+12,3,overlap,"[""10C"",""5H""]","[""QH"",""5H""]",,,,"[""5H""]"
full_sample,6294-eb085f1a-fcfc-4ea4-8388-3ffff4d57226,1.545251853167e+12,5,overlap,"[""8H"",""KC""]","[""3C"",""KC""]",,,,"[""8H""]"
full_sample,8206-ddbd09d1-50f3-4798-97b5-74c3d05e577c,1.545251853724e+12,2,overlap,"[""JS"",""2H""]","[""5S"",""2H""]",,,,"[""JS"",""5S""]"
full_sample,8206-ddbd09d1-50f3-4798-97b5-74c3d05e577c,1.545251869045e+12,2,overlap,"[""JS"",""2H""]","[""5S"",""2H""]",,,,"[""2H""]"
full_sample,7747-7880dfce-9ef5-41aa-9063-954c5c9c5604,1.545251871936e+12,4,overlap,"[""JD"",""3H""]","[""5D"",""3H""]",,,,"[""3H"",""JD""]"
full_sample,6294-eb085f1a-fcfc-4ea4-8388-3ffff4d57226,1.545251881255e+12,5,overlap,"[""8H"",""KC""]","[""3C"",""KC""]",,,,"[""KC""]"
full_sample,7747-7880dfce-9ef5-41aa-9063-954c5c9c5604,1.545251887653e+12,5,baseline,"[""3C"",""10D""]","[""JD"",""8D""]",,,,"[""3C""]"
full_sample,8206-ddbd09d1-50f3-4798-97b5-74c3d05e577c,1.545251888371e+12,3,overlap,"[""QC"",""9H""]","[""6S"",""9H""]",,,,"[""QC"",""9H""]"
full_sample,7747-7880dfce-9ef5-41aa-9063-954c5c9c5604,1.545251900927e+12,5,baseline,"[""3C"",""10D""]","[""JD"",""8D""]",,,,"[""10D""]"
full_sample,8206-ddbd09d1-50f3-4798-97b5-74c3d05e577c,1.545251905779e+12,4,baseline,"[""8H"",""AS""]","[""8C"",""3D""]",,,,"[""AS"",""8H""]"
full_sample,8206-ddbd09d1-50f3-4798-97b5-74c3d05e577c,1.545251924478e+12,5,baseline,"[""4H"",""JD""]","[""AH"",""AS""]",,,,"[""JD"",""4H""]"
full_sample,8190-995eb1c4-2245-4af1-88ba-a0605202ecc5,1.545252373346e+12,0,baseline,"[""KD"",""KS""]","[""JH"",""KH""]",,,,"[""KD""]"
full_sample,8190-995eb1c4-2245-4af1-88ba-a0605202ecc5,1.545252393838e+12,0,baseline,"[""KD"",""KS""]","[""JH"",""KH""]",,,,"[""KS""]"
full_sample,8190-995eb1c4-2245-4af1-88ba-a0605202ecc5,1.545252412809e+12,1,catch,"[""6C""]","[""3C""]",,,,"[""6C""]"
full_sample,8190-995eb1c4-2245-4af1-88ba-a0605202ecc5,1.545252430035e+12,2,catch,"[""KD""]","[""5C""]",,,,"[""KD""]"
full_sample,8190-995eb1c4-2245-4af1-88ba-a0605202ecc5,1.545252451683e+12,3,overlap,"[""JD"",""KS""]","[""8H"",""KS""]",,,,"[""KS""]"
full_sample,8190-995eb1c4-2245-4af1-88ba-a0605202ecc5,1.545252466001e+12,3,overlap,"[""JD"",""KS""]","[""8H"",""KS""]",,,,"[""JD""]"
full_sample,8190-995eb1c4-2245-4af1-88ba-a0605202ecc5,1.54525248669e+12,4,overlap,"[""3H"",""6S""]","[""10D"",""6S""]",,,,"[""3H"",""6S""]"
